DO_ID,bulk_density_g_cm3,bulk_density_notes
DO_T02_0-7.5,1.07380080929943,cores taken 50 cm (40-50) from trunk on N side of dead tree
DO_T02_7.5-15,0.9143181702712367,NA
DO_T02_15-22.5,1.1387950983507003,NA
DO_T02_22.5-30,1.1082458355246596,NA
DO_T02_30-37.5,1.336783325580458,NA
DO_T02_37.5-45,1.3429997796965383,hit a root ~4 cm down Shifted core 2cm farher from tree; bulk density might be slight underestimate
DO_T03_0-7.5,0.9567735597225774,"no oak roots in top core, ash layer @ top, Augered to 8.5cm with huge root, no roots"
DO_T03_7.5-15,1.0760494141265435,yes root
DO_T03_15-22.5,0.9110936391831985,yes roots
DO_T03_22.5-30,1.0834541003906046,yes roots
DO_T03_30-37.5,1.213315007256279,"yes roots, hole in large bag, soil got wet w/ ice water"
DO_T03_37.5-45,1.1889560014097995,"just a couple roots, large bag has a hole but doesn't seem to have gotten wet"
DO_T04_0-7.5,0.9727394537755044,NA
DO_T04_7.5-15,1.0767829935814086,Lots of potential oak roots
DO_T04_15-22.5,1.259658793624907,ditto
DO_T04_22.5-30,1.376515909835718,Lost about 50% of sample after seiving
DO_T05_0-7.5,0.9773760379749796,thick sod
DO_T05_7.5-15,1.15205584966699,losts of grass roots
DO_T05_15-22.5,1.2573424473689387,"Bag mislabled 7.5-15, one huge root"
DO_T05_22.5-30,0.9801822669739,"One big oak root, straight rocks, lots of grass root"
DO_T05_30-37.5,0.9180572050997711,NA
DO_T05_37.5-45,1.2838851863081586,dense
DO_T06_0-7.5,0.9003921189642641,NA
DO_T06_7.5-15,1.1775750922301376,Lots of roots and ectos
DO_T06_15-22.5,1.2991291822508104,"Lots of rooots, some sample spilled"
DO_T06_22.5-30,1.235952626045819,"Scooped off loose material. One side flush, other side 1.5cm from flush"
DO_T06_30-37.5,1.1569352873367642,"Lots of roots! Almost dropped, some loose material fell out"
DO_T06_37.5-45,1.1052050552670871,"Roots, easy core"
DO_T07_0-7.5,0.8658749605579729,"Some roots, fire layer"
DO_T07_7.5-15,1.3118620707257622,some roots
DO_T07_15-22.5,1.1346604741949817,lots of mycorrhizas on roots. Are they alive?
DO_T07_22.5-30,1.3602002857423603,Very dense
DO_T07_30-37.5,1.3357788977155476,NA
