Seq_ID,methanotrophy,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,aerobic_ammonia_oxidation,aerobic_nitrite_oxidation,nitrification,sulfate_respiration,dark_sulfite_oxidation,sulfite_respiration,thiosulfate_respiration,respiration_of_sulfur_compounds,arsenate_detoxification,dissimilatory_arsenate_reduction,nitrate_denitrification,nitrite_denitrification,denitrification,chitinolysis,knallgas_bacteria,dark_hydrogen_oxidation,nitrogen_fixation,nitrate_ammonification,nitrite_ammonification,nitrite_respiration,cellulolysis,xylanolysis,dark_sulfur_oxidation,dark_thiosulfate_oxidation,dark_oxidation_of_sulfur_compounds,manganese_oxidation,ligninolysis,fermentation,aerobic_chemoheterotrophy,invertebrate_parasites,human_pathogens_septicemia,human_pathogens_pneumonia,human_pathogens_nosocomia,human_pathogens_meningitis,human_pathogens_gastroenteritis,human_pathogens_diarrhea,human_pathogens_all,human_gut,human_associated,mammal_gut,animal_parasites_or_symbionts,plant_pathogen,aromatic_hydrocarbon_degradation,aromatic_compound_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon_degradation,iron_respiration,nitrate_respiration,nitrate_reduction,nitrogen_respiration,fumarate_respiration,intracellular_parasites,chlorate_reducers,predatory_or_exoparasitic,chloroplasts,nonphotosynthetic_cyanobacteria,photosynthetic_cyanobacteria,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,oxygenic_photoautotrophy,photoautotrophy,aerobic_anoxygenic_phototrophy,photoheterotrophy,phototrophy,plastic_degradation,ureolysis,chemoheterotrophy,anaerobic_chemoheterotrophy
DO_PCR_R_bc003_PCR_F_bc020_R1.fastq.gz,0.0034999999999999996,0,0,0,0.0055000000000000005,0.006,0.0096,0.001,0.0106,0,0,0,0,0,0.0015,0.0015,0.0034999999999999996,0.0034999999999999996,0.004,0.002,0,0.0141,0.0106,0,0,0.0045000000000000005,0.006999999999999999,0.001,0,5e-4,0.002,0.0025,5e-4,0.0181,0.37,0.0025,0,0.003,5e-4,0,0,0,0.015600000000000001,0,0.015600000000000001,0,0.0196,5e-4,0.0015,0.0101,0.0025,0.006,0,0.0075,0.0231,0.008,0,0.013600000000000001,0,0.0191,0.005,0.0034999999999999996,0.0055000000000000005,0,0.002,0.002,0.0055000000000000005,0.0075,0,0.0055000000000000005,0.0111,0.002,0.0322,0.4007,0.030699999999999998
DO_PCR_R_bc003_PCR_F_bc021_R1.fastq.gz,0,3e-4,3e-4,3e-4,3e-4,5e-4,0.0132,3e-4,0.013500000000000002,0,0,0,0,0,3e-4,3e-4,0.0034999999999999996,0.0034999999999999996,0.0038,8e-4,0,0.0108,0.0022,0,3e-4,0.0038,0.004,5e-4,0,0,3e-4,5e-4,0,0.006999999999999999,0.1769,5e-4,3e-4,3e-4,0,0,5e-4,3e-4,0.0016,5e-4,0.0016,5e-4,0.0038,5e-4,0,0.0027,0,0,3e-4,0.0043,0.0143,0.0046,3e-4,0.0013,0,0.0175,3e-4,0.0054,5e-4,0,0.0032,0.0032,5e-4,0.0038,0,0.0038,0.0043,3e-4,0.0118,0.21059999999999998,0.0337
DO_PCR_R_bc003_PCR_F_bc022_R1.fastq.gz,0.0011,0,0,0,0.002,0.0023,0.0111,6e-4,0.011699999999999999,0,0,0,0,0,6e-4,6e-4,0.004,0.004,0.0043,0.0014000000000000002,0,0.0174,0.0054,0,0,0.0043,0.005699999999999999,6e-4,0,3e-4,0.0011,0.0017000000000000001,3e-4,0.0143,0.294,9e-4,3e-4,0.0011,6e-4,3e-4,0,0,0.0097,6e-4,0.0097,6e-4,0.0108,3e-4,3e-4,0.0063,6e-4,0.0017000000000000001,3e-4,0.0054,0.02,0.005699999999999999,0,0.0088,0,0.0277,0.0066,0.0046,0.0088,0,0.0034000000000000002,0.0034000000000000002,0.0088,0.0123,0,0.0069,0.015700000000000002,6e-4,0.022000000000000002,0.33030000000000004,0.0363
DO_PCR_R_bc004_PCR_F_bc001_R1.fastq.gz,2e-4,0,0,0,2e-4,2e-4,0.0127,2e-4,0.0129,0,0,0,0,0,0,0,0.0023,0.0023,0.0025,2e-4,0,0.0103,0.0032,0,0,0.0023,0.012,4e-4,0,0,0,0.0011,0,0.0076,0.1888,2e-4,0,6e-4,2e-4,0,0,0,0.0023,0,0.0023,0,0.003,0,0,0.0025,2e-4,4e-4,0.0013,0.0032,0.0097,0.0034000000000000002,0,0.0063,0,0.0403,8e-4,0.0051,0.0023,2e-4,0.0023,0.0025,0.0023,0.0049,2e-4,0.0027,0.0051,0,0.009899999999999999,0.22149999999999997,0.0327
DO_PCR_R_bc004_PCR_F_bc002_R1.fastq.gz,3e-4,0.0033,0.0033,0.0033,3e-4,0.0036,0.0126,0,0.0126,0,0,0,0,0,3e-4,3e-4,0.0021,0.0021,0.0024,9e-4,0,0.009899999999999999,0.0024,0,0,0.0021,0.0096,3e-4,0,0,0,3e-4,0,0.0039000000000000003,0.1416,3e-4,0,6e-4,0,0,0,0,0.0012,0,0.0012,0,0.0024,0,0,0.0024,0,3e-4,9e-4,0.0024,0.009899999999999999,0.0027,0,9e-4,0,0.0159,3e-4,0.0045000000000000005,3e-4,0,0.0021,0.0021,3e-4,0.0024,0,0.0024,0.0027,3e-4,0.005699999999999999,0.1743,0.032799999999999996
DO_PCR_R_bc004_PCR_F_bc003_R1.fastq.gz,0.0016,0,0,0,0.0039000000000000003,0.0039000000000000003,0.0105,4e-4,0.0109,8e-4,0,4e-4,0,8e-4,8e-4,8e-4,0.0016,0.0016,0.0019,8e-4,0,0.009300000000000001,0.009300000000000001,0,0,0.0016,0.0062,8e-4,0,4e-4,8e-4,0.0016,4e-4,0.0268,0.2644,4e-4,4e-4,0.0034999999999999996,8e-4,0,0,0,0.006999999999999999,4e-4,0.006999999999999999,4e-4,0.0124,4e-4,4e-4,0.0066,8e-4,0.0023,0.0012,0.0043,0.0171,0.004699999999999999,0,0.0027,4e-4,0.031,0.004699999999999999,0.0085,0.011200000000000002,8e-4,0.0012,0.0019,0.011200000000000002,0.0132,4e-4,0.0043,0.0155,4e-4,0.0147,0.3048,0.0403
DO_PCR_R_bc004_PCR_F_bc004_R1.fastq.gz,0,0,0,0,0,0,0.013500000000000002,4e-4,0.0139,0,0,0,0,0,2e-4,2e-4,0.0036,0.0036,0.0038,0.0015,0,0.0126,0.0015,0,0,0.0036,0.0039000000000000003,4e-4,0,2e-4,6e-4,0.0021,2e-4,0.0077,0.1862,4e-4,0,4e-4,2e-4,0,0,0,0.0019,0,0.0019,0,0.0026,2e-4,2e-4,0.0045000000000000005,6e-4,6e-4,6e-4,0.0039000000000000003,0.013300000000000001,0.0040999999999999995,0,0.0055000000000000005,0,0.031,2e-4,0.0038,2e-4,0,0.0036,0.0036,2e-4,0.0038,0,0.0058,0.006,4e-4,0.0075,0.2214,0.0351
DO_PCR_R_bc004_PCR_F_bc005_R1.fastq.gz,4e-4,0,0,0,4e-4,4e-4,0.0072,0,0.0072,0,0,0,0,0,0,0,0.0017000000000000001,0.0017000000000000001,0.0017000000000000001,4e-4,0,0.0143,0.0038,0,0,0.0017000000000000001,0.0177,4e-4,0,0,0,8e-4,0,0.0059,0.2121,4e-4,0,4e-4,0,0,0,0,0.0021,0,0.0021,0,0.0055000000000000005,0,0,0.0013,0,4e-4,0.0017000000000000001,0.0025,0.0084,0.0025,0,0.0169,0,0.018600000000000002,8e-4,0.0038,8e-4,0,0.0017000000000000001,0.0017000000000000001,8e-4,0.0025,0,0.003,0.0038,0,0.0202,0.2278,0.015600000000000001
DO_PCR_R_bc004_PCR_F_bc006_R1.fastq.gz,3e-4,0,0,0,3e-4,3e-4,0.0125,0,0.0125,0,0,0,0,0,0,0,0.0016,0.0016,0.0016,3e-4,0,0.0103,0.0034000000000000002,0,0,0.0016,0.0131,3e-4,0,0,0,3e-4,0,0.0078000000000000005,0.1718,3e-4,0,0.0013,3e-4,0,0,0,0.0034000000000000002,0,0.0034000000000000002,0,0.0044,0,0,0.0025,0,3e-4,0.0022,0.0019,0.0097,0.0019,3e-4,0.0106,0,0.040999999999999995,6e-4,0.0072,0.0013,0,0.0016,0.0016,0.0013,0.0028000000000000004,0,0.0022,0.0034000000000000002,0,0.009399999999999999,0.2006,0.0288
DO_PCR_R_bc004_PCR_F_bc007_R1.fastq.gz,0.0016,0,0,0,0.0024,0.0026,0.0134,5e-4,0.013999999999999999,0,0,3e-4,3e-4,3e-4,3e-4,3e-4,0.0042,0.0042,0.0045000000000000005,0.0018,0,0.0148,0.0042,3e-4,3e-4,0.0045000000000000005,0.0066,5e-4,0,0,5e-4,0.0024,5e-4,0.0137,0.2784,5e-4,3e-4,0.0011,0,3e-4,5e-4,0,0.0066,5e-4,0.0066,5e-4,0.0079,5e-4,0,0.0063,3e-4,0.0018,5e-4,0.005,0.0182,0.0053,0,0.0058,0,0.0232,0.0018,0.004699999999999999,0.0021,0,0.004,0.004,0.0021,0.0060999999999999995,0,0.0070999999999999995,0.0092,0,0.019,0.3079,0.029500000000000002
