Comment_on_lifestyle_template,,CHEGD_symbiotrophs,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",animal_parasite_some_species_mycoparasite_some_species,animal_pathogen_one_species,attine_ants-associated_some_Neotropical_species,dung_saprotroph_P._coprophila,dung_saprotroph_some_species,ectomycorrhizal_1%_of_species/Orchid_Mycorrhizal_most_species,ectomycorrhizal_1%_of_species;_Orchid_Mycorrhizal_most_species,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,ectomycorrhizal_1-2_species_in_E.pisiformis_complex,ectomycorrhizal_C._finlandica,"ectomycorrhizal_H._Bicolor,_H._Finlandica,_ericoid_mycorrhizal_H._Variabilis,_plant_pathogen_some_species",ectomycorrhizal_many_species,ectomycorrhizal_many_species_in_several_lineages,ericoid_mycorrhizal_O._maius,extremophile,extremophile_cryophile,extremophile_thermophile,extremophile_xerophile_and_heat_resistant,fish_parasite_B._oncorhynchi,foliar_endophyte_C._asteris,hypervariable,"hypervariable,_parasite_on_algae,mycoparasite,saprobic_on_a_variety_of_plant_and_animal_derived_materials_including_keratin,chitin,cellulose,and_pollen","hypervariable,_parasite_on_algae,protists,and_plants;_Saprobic_on_plant_and_animal_matter","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","hypervariable,_saprotroph_and_epiphyte","hypervariable,_saprotroph_animal_pathogen_endophyte",hyperviariable,"hyperviariable,_thermophile,_some_species_animal_parasite_some_species_various_saprotrophs",invertebrate-associated_some_species,lichen_parasite_one_species,lichen_parasite_some_species,lichenized_some_species,litter_saprotroph_many_species,litter_saprotroph_or_dung_saprotroph_some_species,litter_saprotroph_some_species,moss-associated_many_species,mycoparasite_and_litter_saprotroph_some_species,mycoparasite_one_species,mycoparasite_some_species,"mycoparasite_some_species,animal_pathogen_some_species",plant_pathogen_weak,"rock-inhabiting_some_species,animal_parasite_some_species",saprotroph_some_species,saprotroph_unspecified_some_species,sediments_marine,soil_saprotroph_ca_25%_of_species,soil_saprotroph_some_species,toxin-producing,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",wood_pathogen_some_species,wood_saprotroph_many_species,wood_saprotroph_some_species,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,5.044794e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.527923e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.171407e-04,0.000000e+00,2.062696e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.728641e-02,0.000000e+00,0.000000e+00,5.913061e-03,0.000000e+00,0.000000e+00,2.831750e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.746925e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.958899e-04,0.000000e+00,0.000000e+00,2.597469e-04,0.000000e+00,0.000000e+00,3.055846e-05,2.037230e-05,0.000000e+00,4.680537e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,2.491766e-01,6.977588e-06,0.000000e+00,0.000000e+00,0.000000e+00,8.070976e-02,0.000000e+00,0.000000e+00,1.311787e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.163415e-04,1.374585e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.615116e-03,0.000000e+00,0.000000e+00,9.349968e-04,0.000000e+00,1.116414e-04,6.977588e-04,0.000000e+00,2.609618e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.302967e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.173519e-02,2.581708e-04,0.000000e+00,5.212258e-03,8.512657e-04,1.043847e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.414608e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.084945e-01
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,4.396652e-01,0.000000e+00,0.000000e+00,2.100620e-04,0.000000e+00,0.000000e+00,2.211179e-05,0.000000e+00,4.256519e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.054185e-02,0.000000e+00,0.000000e+00,5.306829e-04,0.000000e+00,0.000000e+00,8.798832e-02,0.000000e+00,0.000000e+00,4.097314e-02,8.844714e-05,2.907700e-03,4.715338e-03,0.000000e+00,0.000000e+00,6.522977e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.985091e-04,1.879502e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.111117e-03,0.000000e+00,0.000000e+00,1.658384e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.739125e-05,1.791276e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.186192e-01
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,4.511054e-01,0.000000e+00,2.748688e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.731673e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.748688e-05,2.373034e-03,0.000000e+00,3.390048e-04,1.685862e-03,4.612298e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.536122e-02,0.000000e+00,1.099475e-04,1.209423e-03,0.000000e+00,4.123031e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.581146e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.740835e-04,2.318060e-03,0.000000e+00,2.931933e-04,2.382196e-04,5.497375e-05,0.000000e+00,1.557590e-04,0.000000e+00,0.000000e+00,9.373024e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.561813e-01
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,5.078081e-01,3.002033e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.004067e-04,1.081865e-03,2.509247e-03,4.706962e-03,4.588013e-04,1.416054e-04,0.000000e+00,2.339320e-03,0.000000e+00,4.236832e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.475630e-02,0.000000e+00,1.132843e-05,8.156468e-03,2.832107e-05,0.000000e+00,7.992206e-03,0.000000e+00,0.000000e+00,2.265686e-05,0.000000e+00,8.564292e-03,0.000000e+00,1.925833e-04,2.197715e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.486590e-03,1.931497e-03,0.000000e+00,2.832107e-04,6.230635e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.209043e-04,6.287278e-04,1.297671e-02,0.000000e+00,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,6.994921e-01,1.385216e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.056836e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.007430e-04,0.000000e+00,2.476598e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.899593e-03,0.000000e+00,0.000000e+00,9.612559e-04,0.000000e+00,0.000000e+00,3.358099e-05,0.000000e+00,3.651933e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.083407e-02,0.000000e+00,4.407505e-04,0.000000e+00,3.777862e-05,1.595097e-04,0.000000e+00,0.000000e+00,2.644503e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.163078e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,7.176774e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.345837e-03,0.000000e+00,0.000000e+00,4.252273e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.406085e-02,5.173599e-04,0.000000e+00,1.559167e-04,4.252273e-05,0.000000e+00,0.000000e+00,7.512349e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.087122e-06,0.000000e+00,0.000000e+00,1.417424e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.960985e-05,0.000000e+00,0.000000e+00,7.087122e-06,0.000000e+00,0.000000e+00,3.401819e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.252989e-03,0.000000e+00,1.339466e-03,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,3.701678e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.738906e-03,0.000000e+00,0.000000e+00,5.956517e-05,0.000000e+00,2.213839e-03,0.000000e+00,0.000000e+00,5.063040e-04,2.786657e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.600814e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.927529e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.339124e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.927529e-06,6.899633e-03,0.000000e+00,0.000000e+00,5.956517e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.871736e-04,0.000000e+00,1.364042e-02,0.000000e+00,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,5.539636e-01,1.720411e-04,0.000000e+00,8.072698e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.370859e-02,0.000000e+00,1.161939e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.786272e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.311968e-02,0.000000e+00,0.000000e+00,1.014160e-02,0.000000e+00,0.000000e+00,1.080771e-03,0.000000e+00,3.529048e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.749305e-04,1.388239e-02,3.308483e-04,2.646786e-04,7.058097e-05,1.323393e-05,2.324761e-03,0.000000e+00,3.087917e-05,9.969562e-04,0.000000e+00,0.000000e+00,1.323393e-05,0.000000e+00,0.000000e+00,2.760598e-02,0.000000e+00,0.000000e+00,3.705501e-04,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,8.263460e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.339515e-05,0.000000e+00,0.000000e+00,1.526360e-03,2.682103e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.217909e-04,0.000000e+00,0.000000e+00,1.950620e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.388895e-05,5.851860e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.246246e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.754944e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.877165e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.622428e-01
