Decay_substrate_template,,animal_material,"animal_material,dung","animal_material,protist_material",dung,"dung,animal_material",fungal_material,"fungal_material,algal_material",leaf/fruit/seed,"leaf/fruit/seed,algal_material","leaf/fruit/seed,algal_material,fungal_material,protist_material","leaf/fruit/seed,animal_material","leaf/fruit/seed,dung","leaf/fruit/seed,roots","leaf/fruit/seed,roots,algal_material,animal_material","leaf/fruit/seed,roots,algal_material,fungal_material,animal_material","leaf/fruit/seed,roots,animal_material,sugar-rich_substrates","leaf/fruit/seed,roots,soil","leaf/fruit/seed,roots,soil,animal_material","leaf/fruit/seed,soil","leaf/fruit/seed,soil,animal_material","leaf/fruit/seed,soil,dung,animal_material","leaf/fruit/seed,soil,fungal_material","leaf/fruit/seed,wood",pollen,"pollen,animal_material","pollen,soil","roots,soil",soil,"soil,animal_material","soil,dung","soil,dung,burnt_material","soil,roots",sugar-rich_substrates,wood,"wood,animal_material","wood,fungal_material","wood,leaf/fruit/seed","wood,leaf/fruit/seed,fungal_material,animal_material","wood,leaf/fruit/seed,roots","wood,leaf/fruit/seed,roots,algal_material","wood,leaf/fruit/seed,roots,soil","wood,leaf/fruit/seed,soil","wood,leaf/fruit/seed,soil,animal_material","wood,leaf/fruit/seed,soil,dung","wood,leaf/fruit/seed,soil,dung,animal_material","wood,leaf/fruit/seed,soil,fungal_material","wood,pollen",NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,1.646591e-02,1.981207e-03,0.000000e+00,0.000000e+00,7.537752e-04,0.000000e+00,6.620999e-05,7.639614e-05,5.668594e-02,0.000000e+00,0.000000e+00,4.787491e-04,7.297869e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.831750e-03,0.000000e+00,6.641371e-03,7.583590e-03,2.037230e-05,1.461713e-03,4.991214e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.699559e-02,3.083552e-01,1.069546e-04,0.000000e+00,6.559882e-03,0.000000e+00,0.000000e+00,9.900940e-03,0.000000e+00,0.000000e+00,1.449489e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.310499e-04,1.685808e-03,3.291146e-02,1.731646e-04,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,9.476262e-02,5.993748e-03,5.337855e-03,0.000000e+00,3.349242e-04,0.000000e+00,0.000000e+00,1.043847e-02,6.547071e-02,6.628709e-04,0.000000e+00,8.791761e-04,1.207123e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.977588e-04,1.311787e-03,1.081526e-03,4.744760e-04,0.000000e+00,4.395880e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.391471e-03,9.379972e-02,0.000000e+00,1.325742e-04,0.000000e+00,2.632644e-02,0.000000e+00,5.209467e-02,0.000000e+00,0.000000e+00,1.191074e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.925814e-03,9.824444e-03,6.977588e-06,0.000000e+00,6.084945e-01
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,1.003212e-01,3.095650e-04,2.321738e-04,0.000000e+00,1.082925e-02,0.000000e+00,4.637947e-03,7.186330e-04,9.073019e-02,3.869563e-05,0.000000e+00,2.542855e-04,3.079619e-02,0.000000e+00,0.000000e+00,0.000000e+00,4.715338e-03,6.799374e-04,4.246016e-02,7.168088e-02,2.321738e-04,6.749623e-03,0.000000e+00,0.000000e+00,4.145960e-04,0.000000e+00,0.000000e+00,2.023228e-03,2.044622e-01,2.266458e-04,0.000000e+00,3.924842e-04,0.000000e+00,0.000000e+00,3.880618e-02,0.000000e+00,0.000000e+00,8.674454e-02,0.000000e+00,1.105589e-05,0.000000e+00,0.000000e+00,8.844714e-05,2.985091e-04,3.759004e-03,7.864610e-02,1.216148e-04,0.000000e+00,2.186192e-01
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,1.425103e-01,2.849473e-03,0.000000e+00,0.000000e+00,1.924081e-04,0.000000e+00,3.664917e-04,1.374344e-04,1.735338e-02,1.658375e-03,1.099475e-04,1.933244e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.786647e-03,1.209423e-03,3.023556e-04,5.772244e-04,8.319361e-03,3.802351e-03,0.000000e+00,1.997380e-03,0.000000e+00,0.000000e+00,4.429052e-02,1.587642e-01,2.748688e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.765830e-02,0.000000e+00,0.000000e+00,2.084421e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.418185e-02,1.164527e-02,1.291883e-03,9.162292e-06,0.000000e+00,4.561813e-01
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,1.061360e-01,1.189485e-04,0.000000e+00,0.000000e+00,3.539001e-02,0.000000e+00,2.265686e-03,9.708463e-03,1.466918e-01,7.703331e-04,1.132843e-05,1.421718e-03,2.655384e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.992206e-03,6.910341e-04,9.210012e-03,2.351215e-02,4.395430e-03,4.556860e-02,2.537568e-03,0.000000e+00,9.119385e-04,0.000000e+00,0.000000e+00,7.833608e-03,1.625913e-01,6.060709e-04,0.000000e+00,5.046815e-03,7.363478e-05,1.132843e-05,5.686304e-02,0.000000e+00,0.000000e+00,1.569554e-02,0.000000e+00,2.741480e-03,0.000000e+00,0.000000e+00,5.381003e-04,7.420120e-04,5.890783e-04,2.491688e-02,4.701298e-04,0.000000e+00,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,5.876590e-01,1.136297e-02,6.296436e-05,0.000000e+00,7.392016e-03,0.000000e+00,1.007430e-04,0.000000e+00,3.422323e-02,2.027452e-03,0.000000e+00,2.140788e-04,2.643244e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.358099e-05,2.056836e-04,9.612559e-04,0.000000e+00,0.000000e+00,1.679050e-04,0.000000e+00,0.000000e+00,3.240566e-03,0.000000e+00,0.000000e+00,7.165344e-03,1.043529e-02,0.000000e+00,2.098812e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.137430e-02,0.000000e+00,0.000000e+00,1.783990e-03,4.407505e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.133359e-04,4.827268e-04,3.110439e-03,9.864417e-04,7.975486e-05,0.000000e+00,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,6.914338e-01,1.247333e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.677501e-03,4.039660e-04,0.000000e+00,1.417424e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.252273e-05,7.795834e-05,0.000000e+00,0.000000e+00,2.409621e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.252273e-05,2.251579e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.271430e-02,0.000000e+00,0.000000e+00,6.711505e-03,4.960985e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.984394e-04,2.338750e-04,0.000000e+00,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.1614116946,0.0046163010,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002481882,0.0000000000,0.0289486747,0.0003375360,0.0000000000,0.0003673186,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0097389060,0.0003077534,0.0002680433,0.0003077534,0.0041099970,0.0050928224,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0352030180,0.0856944307,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0326714981,0.0000000000,0.0000000000,0.0215427380,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0518713392,0.0551275687,0.0010721731,0.0000000000,0.0000000000,0.5010622456
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,1.060788e-01,3.087917e-04,0.000000e+00,0.000000e+00,8.866734e-03,0.000000e+00,1.217522e-03,4.808329e-04,3.726808e-01,6.484627e-04,0.000000e+00,1.676298e-03,1.415590e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.080771e-03,7.370859e-02,1.569544e-02,5.408267e-03,3.661388e-04,2.130663e-03,0.000000e+00,0.000000e+00,5.293573e-04,0.000000e+00,0.000000e+00,1.574838e-03,4.773038e-02,1.543959e-04,0.000000e+00,5.734704e-05,3.087917e-05,0.000000e+00,4.584234e-02,0.000000e+00,0.000000e+00,8.919670e-03,2.646786e-04,0.000000e+00,7.058097e-05,0.000000e+00,4.411311e-06,8.602056e-04,1.126208e-02,4.208390e-03,0.000000e+00,0.000000e+00,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,8.149642e-01,3.754944e-04,4.145068e-04,0.000000e+00,2.048151e-04,0.000000e+00,2.925930e-05,0.000000e+00,1.278144e-02,0.000000e+00,0.000000e+00,2.389510e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.950620e-05,1.950620e-04,4.388895e-05,2.243213e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.832968e-03,2.252966e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.315440e-04,0.000000e+00,0.000000e+00,1.292286e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.096917e-04,1.462965e-04,0.000000e+00,0.000000e+00,1.622428e-01
