Decay_type_template,,brown_rot,chitinolytic,keratinolytic,mold,other,soft_rot,white_rot,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,4.959077e-01,0.000000e+00,1.699559e-02,1.018615e-05,1.434210e-02,0.000000e+00,3.278413e-02,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.361271596,0.000000000,0.006342627,0.006091434,0.011031567,0.002211895,0.004556365,0.000000000,0.608494516
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.5125622585,0.0000000000,0.0020232284,0.0002321738,0.1844288802,0.0000000000,0.0821342296,0.0000000000,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,4.557874e-01,0.000000e+00,2.787169e-02,1.099475e-04,3.167404e-02,0.000000e+00,2.834813e-02,2.748688e-05,4.561813e-01
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,5.605873e-01,0.000000e+00,7.403128e-03,1.132843e-05,4.326893e-02,0.000000e+00,7.310235e-02,1.823311e-02,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.6812869916,0.0000000000,0.0051252991,0.0001343240,0.0008101415,0.0000000000,0.0327204802,0.0000000000,0.2799227637
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,7.352180e-01,0.000000e+00,4.252273e-05,4.535758e-04,3.578997e-03,9.709357e-04,3.401819e-04,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,3.904596e-01,0.000000e+00,1.424600e-02,0.000000e+00,2.426288e-02,7.942023e-05,6.629604e-02,3.593766e-03,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.3632317261,0.0000000000,0.0014027968,0.0000838149,0.0277074419,0.0000000000,0.3335877189,0.0000000000,0.2739865014
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8328269849,0.0000000000,0.0038329684,0.0004145068,0.0003364820,0.0000000000,0.0003462351,0.0000000000,0.1622428229
