Ectomycorrhiza_exploration_type_template,,contact,long-distance,mat,medium-distance_fringe,medium-distance_smooth,short-distance_coarse,short-distance_delicate,unknown,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,0.5576867249,0.0001884438,0.0000000000,0.0000000000,0.0002444676,0.0001986300,0.0014464336,0.0002750261,0.0000000000,0.4399602740
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.3489491752,0.0332551843,0.0001883949,0.0000000000,0.0000000000,0.0020862988,0.0051773703,0.0018490608,0.0000000000,0.6084945156
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.7807505846,0.0002487576,0.0000000000,0.0000000000,0.0000000000,0.0001768943,0.0000000000,0.0002045340,0.0000000000,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.4844286853,0.0010811504,0.0029227710,0.0000000000,0.0002748688,0.0048743392,0.0186819127,0.0315549325,0.0000000000,0.4561813401
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,6.968343e-01,2.492254e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.548896e-04,9.062742e-05,5.177092e-03,0.000000e+00,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,6.552953e-01,1.804978e-04,2.938337e-05,0.000000e+00,0.000000e+00,6.934475e-03,2.304496e-03,5.533308e-02,0.000000e+00,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,5.024769e-02,1.481492e-01,3.294803e-02,0.000000e+00,1.417424e-05,3.505291e-01,1.582271e-01,4.890114e-04,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.3759753797,0.0061550680,0.0007644197,0.0000000000,0.0000000000,0.0078923856,0.0468082994,0.0613422019,0.0000000000,0.5010622456
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,7.037143e-01,2.139486e-03,2.646786e-05,0.000000e+00,1.323393e-05,1.177820e-03,2.179187e-03,1.676298e-02,0.000000e+00,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.02845467,0.22028352,0.00000000,0.00000000,0.01643885,0.26360192,0.20314245,0.08669531,0.01914046,0.16224282
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,2.523972e-01,6.282633e-04,0.000000e+00,0.000000e+00,0.000000e+00,9.393451e-04,6.526619e-04,4.879715e-05,3.659786e-05,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,1.236266e-01,2.429723e-01,5.929334e-05,0.000000e+00,0.000000e+00,4.097170e-02,1.551588e-01,1.543406e-02,0.000000e+00,4.217773e-01
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.051733926,0.103407882,0.155685534,0.000000000,0.346193518,0.104963099,0.044209718,0.002154914,0.000000000,0.191651408
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.4738618800,0.0010210857,0.0000000000,0.0000000000,0.0000000000,0.0002120287,0.0143175186,0.0424057449,0.0000000000,0.4681817421
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.050863569,0.457088718,0.000000000,0.000000000,0.083349901,0.104473161,0.135064612,0.013792247,0.001720924,0.153646869
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.175662701,0.031499367,0.128801511,0.000000000,0.000000000,0.197243011,0.165145956,0.005964152,0.000000000,0.295683302
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.1685089,0.2250248,0.0000000,0.0000000,0.0000000,0.2961119,0.0407546,0.0214491,0.0000000,0.2481507
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,5.387188e-01,1.052713e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.965373e-05,0.000000e+00,3.017777e-04,0.000000e+00,4.609093e-01
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,2.735359e-01,1.375877e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.754773e-01,4.900301e-02,1.912810e-02,1.223546e-05,2.452557e-01
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,8.010321e-01,6.150537e-04,0.000000e+00,0.000000e+00,7.087374e-04,1.173083e-03,5.621021e-04,2.635770e-02,2.851243e-05,1.695227e-01
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.4614997621,0.0043102862,0.0005710789,0.0000000000,0.0000000000,0.0050173363,0.0039703583,0.1737711605,0.0001767625,0.3506832551
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,8.434404e-01,3.703851e-04,0.000000e+00,0.000000e+00,8.693336e-04,7.499533e-04,4.744603e-04,8.417843e-04,4.285448e-05,1.532109e-01
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,3.776593e-01,3.048235e-01,3.421178e-06,0.000000e+00,0.000000e+00,3.230732e-03,1.131726e-02,5.859337e-03,2.965021e-05,2.970768e-01
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,6.905582e-01,9.273267e-04,2.972201e-05,0.000000e+00,0.000000e+00,6.954950e-04,4.131359e-04,1.126464e-03,2.674981e-05,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,6.524149e-01,2.981821e-04,1.901349e-02,5.262037e-05,2.300262e-03,2.623000e-02,5.479033e-02,8.945463e-02,1.252866e-05,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,0.0491560739,0.1095867436,0.0001103842,0.0000000000,0.0000000000,0.4612683920,0.1300805634,0.0187405072,0.0387397370,0.1923175986
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,0.8337197656,0.0004852064,0.0007174123,0.0000000000,0.0009253579,0.0008941661,0.0007728645,0.0022284837,0.0000519864,0.1602047571
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.3015552066,0.0019144314,0.0003226570,0.0000000000,0.0007313558,0.0457097378,0.0357826583,0.2236765687,0.0001505733,0.3901568113
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,9.464517e-02,2.074258e-01,7.754266e-02,0.000000e+00,8.748808e-03,3.702382e-01,1.422951e-01,9.651910e-04,3.386635e-05,9.810518e-02
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.473492723,0.070686071,0.001559252,0.000000000,0.000000000,0.111746362,0.051455301,0.073804574,0.007796258,0.209459459
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,6.551932e-01,1.515862e-03,5.316423e-04,0.000000e+00,3.326172e-04,2.887226e-03,4.678452e-03,2.118117e-02,8.451749e-05,3.135953e-01
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,2.168997e-02,3.692482e-01,2.744177e-06,0.000000e+00,1.362484e-02,2.278408e-01,1.698618e-01,1.190150e-02,5.495763e-02,1.308725e-01
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,1.842763e-01,3.689141e-01,6.638196e-05,0.000000e+00,3.655433e-02,4.963158e-02,2.524211e-01,3.017429e-02,7.375774e-05,7.788817e-02
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,9.462116e-01,4.333801e-04,4.924774e-05,0.000000e+00,3.595085e-04,3.447342e-04,4.974022e-04,1.319839e-03,5.909729e-05,5.072517e-02
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,1.350174e-01,1.484977e-01,2.261156e-05,0.000000e+00,0.000000e+00,2.121793e-01,3.150582e-01,5.025419e-02,7.537187e-05,1.388953e-01
DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz,0.058727636,0.074675405,0.096666365,0.000000000,0.611786693,0.080660964,0.034172025,0.002704616,0.000000000,0.040606295
DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz,4.302983e-01,2.131460e-02,2.295567e-04,0.000000e+00,9.156476e-05,3.198318e-04,2.491980e-02,1.879799e-01,0.000000e+00,3.348465e-01
DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz,4.310727e-02,4.583023e-01,4.182735e-05,0.000000e+00,5.641255e-02,2.870193e-02,1.283891e-01,1.655192e-01,2.003530e-03,1.175223e-01
DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz,0.2215673249,0.0284150070,0.2762630332,0.0000000000,0.0005182641,0.1105834240,0.0742389763,0.0077880959,0.0000000000,0.2806258746
DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz,0.7783168396,0.0001206855,0.0001367769,0.0000000000,0.0012913348,0.0003660793,0.0013758146,0.0136696436,0.0000000000,0.2047228256
DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz,0.0813920074,0.3550088126,0.0001772099,0.0000000000,0.0005004981,0.0562976551,0.0550140810,0.1038808958,0.0000000000,0.3477288402
DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz,9.333365e-01,1.093016e-04,2.980952e-05,0.000000e+00,1.009340e-04,3.242439e-05,6.432580e-05,5.334335e-04,0.000000e+00,6.579327e-02
DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz,2.922232e-01,1.616205e-02,1.610479e-04,0.000000e+00,3.042016e-04,1.667132e-01,3.162980e-02,5.738673e-02,5.010379e-05,4.353697e-01
DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz,0.0660056632,0.0121305343,0.0001573124,0.0000000000,0.0004457185,0.3135192533,0.0556230445,0.3768374963,0.0000000000,0.1752809774
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.0321187837,0.5673869083,0.0001310665,0.0000000000,0.0003857100,0.0844442780,0.1067892451,0.0083994907,0.0505092870,0.1498352307
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,5.952492e-01,5.046852e-04,8.411419e-05,0.000000e+00,6.089868e-04,8.438336e-03,1.147318e-03,4.594317e-02,1.143953e-04,3.479098e-01
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,8.515524e-01,3.931693e-04,1.703734e-04,0.000000e+00,2.621129e-04,9.173951e-05,4.718032e-04,3.145355e-03,0.000000e+00,1.439131e-01
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,6.011587e-01,7.875411e-04,1.984520e-04,0.000000e+00,7.938080e-05,3.421730e-04,9.747126e-04,7.031467e-04,2.715659e-05,3.957287e-01
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.4290803912,0.0002731739,0.0669482577,0.0000000000,0.0023116478,0.0119530784,0.0168449566,0.0045590193,0.0000000000,0.4680294752
