Endophytic_interaction_capability_template,,foliar_endophyte,moss-associated,no_endophytic_capacity,root-associated,root_endophyte,root_endophyte_dark_septate,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,4.260918e-01,8.895566e-02,2.953984e-04,2.675393e-02,1.699559e-02,2.546538e-05,9.218467e-04,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.279808256,0.025328644,0.000000000,0.015127411,0.006391471,0.038048787,0.026800915,0.608494516
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.218879043,0.427210764,0.000409068,0.125661281,0.002023228,0.005699313,0.001498074,0.218619230
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.402673557,0.055844168,0.000000000,0.020294476,0.044070623,0.015612545,0.005323291,0.456181340
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.4395486754,0.1822347590,0.0001869191,0.0364888670,0.0089154729,0.0253926716,0.0098387398,0.2973938951
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.1707719431,0.0174663141,0.0000000000,0.0064979222,0.0071653444,0.5180162028,0.0001595097,0.2799227637
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.702270005,0.010247978,0.000000000,0.011481138,0.001381989,0.014075024,0.001148114,0.259395752
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.352238658,0.077524074,0.000000000,0.004755286,0.048843443,0.007713690,0.007862603,0.501062246
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.199558869,0.370664785,0.000000000,0.078653668,0.001574838,0.071577926,0.003983413,0.273986501
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8219815374,0.0094263714,0.0000000000,0.0007509887,0.0038329684,0.0015263602,0.0002389510,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,2.488045e-01,5.446982e-03,0.000000e+00,6.099644e-05,1.219929e-05,1.097936e-04,2.683843e-04,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.5589524052,0.0078326505,0.0000000000,0.0024843910,0.0006996614,0.0078326505,0.0004209827,0.4217772586
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.7747095464,0.0096431399,0.0000000000,0.0022628595,0.0016231819,0.0194621911,0.0006476736,0.1916514077
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.230307832,0.073696721,0.000000000,0.005618761,0.001104781,0.208089454,0.013000709,0.468181742
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.8224838469,0.0065357853,0.0000000000,0.0006336978,0.0066662525,0.0085300696,0.0015034791,0.1536468688
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.5871955135,0.0250011127,0.0000000000,0.0729432261,0.0048768702,0.0140265653,0.0002734099,0.2956833023
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,6.395145e-01,5.224847e-02,0.000000e+00,1.157278e-03,2.150170e-03,5.677238e-02,6.575443e-06,2.481507e-01
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.4782334075,0.0023721129,0.0000000000,0.0005368835,0.0317217469,0.0260932423,0.0001333436,0.4609092632
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,0.5981304218,0.0589300499,0.0003833777,0.0500430280,0.0006199299,0.0433869382,0.0032505537,0.2452557007
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.232217411,0.100864741,0.000000000,0.146228010,0.003975447,0.342890427,0.004301303,0.169522661
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.318675641,0.026731933,0.000000000,0.006281868,0.008606975,0.287347882,0.001672445,0.350683255
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,6.769017e-01,1.238800e-01,3.214086e-04,1.828049e-02,2.666161e-02,3.061034e-05,7.132209e-04,1.532109e-01
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.596394535,0.049253556,0.000000000,0.007104646,0.004423583,0.015508199,0.030238650,0.297076832
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,0.1288805799,0.5278064265,0.0003031645,0.0352711093,0.0008114109,0.0003150533,0.0003893583,0.3062228972
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,0.580289913,0.187085458,0.000000000,0.028342333,0.033662002,0.010421339,0.004765902,0.155433053
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,0.7750591497,0.0201395633,0.0000000000,0.0011021311,0.0005348074,0.0072528441,0.0035939058,0.1923175986
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,0.554895906,0.179127807,0.000100507,0.080287797,0.006619602,0.006560684,0.012202941,0.160204757
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.4802533933,0.0412463163,0.0000000000,0.0216825486,0.0104003098,0.0560562714,0.0002043494,0.3901568113
