Fruitbody_type_template,,None,agaricoid,apothecium_(hymenium_on_surface),chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_,clavarioid,"cleistothecium_(closed,_spherical)",corticioid,gasteroid,gasteroid-hypogeous,hysterothecium_(opening_slith-like),none,other,"perithecium_(hymenium_hidden,_narrow_opening)",polyporoid,smut,"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)",tremelloid,zoosporangium,zygosporangium,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,5.196975e-02,8.148922e-05,2.925310e-01,8.820698e-02,0.000000e+00,1.476992e-04,2.490514e-03,3.035473e-03,0.000000e+00,4.074461e-05,0.000000e+00,3.322723e-02,4.074461e-05,8.366396e-02,0.000000e+00,1.171407e-04,4.487000e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,8.697563e-02,5.156438e-03,1.195470e-01,1.485528e-02,0.000000e+00,9.768623e-05,5.951883e-03,3.335287e-03,8.373106e-05,1.123392e-03,0.000000e+00,8.100980e-02,2.428201e-03,7.015267e-02,0.000000e+00,0.000000e+00,1.255966e-04,0.000000e+00,6.628709e-04,0.000000e+00,6.084945e-01
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,3.348941e-01,0.000000e+00,1.194036e-03,1.080714e-01,0.000000e+00,1.326707e-04,1.850204e-02,6.522977e-04,0.000000e+00,0.000000e+00,0.000000e+00,6.690474e-02,8.844714e-05,2.492606e-01,0.000000e+00,4.035401e-04,8.236640e-04,0.000000e+00,4.532916e-04,0.000000e+00,2.186192e-01
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.043044446,0.019304949,0.001209423,0.096607203,0.000000000,0.004269628,0.001475129,0.002006542,0.002620415,0.032691057,0.000000000,0.269160642,0.003179315,0.064484209,0.000000000,0.000000000,0.000000000,0.000000000,0.003765702,0.000000000,0.456181340
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,1.065948e-01,5.194084e-03,5.379304e-02,4.738115e-02,1.472696e-04,1.812548e-03,2.717690e-02,3.016194e-02,0.000000e+00,1.869191e-04,0.000000e+00,1.764629e-01,4.671844e-02,1.996805e-01,5.097793e-05,2.152401e-04,6.287278e-04,0.000000e+00,1.693600e-03,4.706962e-03,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,1.801620e-02,9.990345e-04,3.912186e-02,1.920833e-02,2.098812e-05,6.309029e-03,5.792721e-04,1.015825e-03,2.938337e-05,2.941275e-02,0.000000e+00,5.586492e-01,0.000000e+00,4.143475e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.259287e-05,5.268018e-03,0.000000e+00,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,1.952502e-02,1.458104e-01,3.933282e-01,3.435128e-02,0.000000e+00,4.595999e-02,3.543561e-05,2.939738e-02,3.294803e-02,1.256547e-02,0.000000e+00,2.048178e-03,2.147398e-03,2.200551e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.795834e-05,4.039660e-04,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,3.318773e-02,3.668222e-02,1.954730e-02,6.012112e-02,0.000000e+00,7.157748e-03,1.687680e-04,1.530825e-02,7.644197e-04,7.172640e-02,0.000000e+00,1.507892e-01,7.842748e-04,1.023032e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.375360e-04,5.956517e-05,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,1.169659e-01,3.264370e-04,4.267943e-02,1.024747e-02,0.000000e+00,3.264370e-04,5.884688e-03,7.522167e-02,2.646786e-05,1.730998e-02,0.000000e+00,3.829547e-01,7.411002e-04,7.058538e-02,0.000000e+00,0.000000e+00,1.235167e-03,0.000000e+00,1.177820e-03,3.308483e-04,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.0042621048,0.0203839796,0.0272452856,0.0709976934,0.0000000000,0.2245114916,0.0006193219,0.1854698312,0.0000000000,0.2811916338,0.0000000000,0.0046717350,0.0000000000,0.0184041002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,3.635388e-03,3.720783e-04,2.298529e-01,2.476455e-03,0.000000e+00,5.855658e-04,3.787879e-03,5.977651e-04,0.000000e+00,2.439858e-04,0.000000e+00,7.624555e-04,0.000000e+00,1.238228e-02,0.000000e+00,0.000000e+00,6.099644e-06,0.000000e+00,0.000000e+00,0.000000e+00,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,1.969725e-02,1.526092e-01,9.990928e-03,9.676673e-03,0.000000e+00,2.758623e-01,2.964667e-05,9.955352e-03,5.929334e-05,5.775172e-03,0.000000e+00,8.066266e-02,2.312440e-04,1.231523e-02,1.541627e-04,0.000000e+00,2.015974e-04,0.000000e+00,1.002057e-03,0.000000e+00,4.217773e-01
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,2.639470e-02,3.849660e-02,4.315905e-01,2.794592e-03,0.000000e+00,1.132709e-01,8.395769e-05,8.527702e-03,1.556855e-01,7.624157e-03,0.000000e+00,8.191871e-03,7.316313e-04,1.412888e-02,0.000000e+00,1.199396e-05,3.598187e-05,0.000000e+00,7.796071e-04,0.000000e+00,1.916514e-01
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,7.114680e-02,1.427846e-02,1.202426e-02,4.421357e-02,1.221955e-03,9.485496e-05,2.484642e-02,5.590863e-03,0.000000e+00,2.031012e-03,0.000000e+00,2.301795e-01,1.456303e-03,1.244274e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.068837e-04,0.000000e+00,4.681817e-01
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.0174950298,0.0991302187,0.1262052684,0.2010002485,0.0000000000,0.3116488569,0.0001863817,0.0238195825,0.0012114811,0.0386742048,0.0000000000,0.0151093439,0.0000000000,0.0118725149,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1536468688
