Growth_form_template,dimorphic_yeast,filamentous_mycelium,thallus_photosynthetic,yeast,zoosporic-plasmodium_(aphelid),zoosporic-rhizomycelial_(chytrid-like),zoosporic_only,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,7.654893e-03,5.475159e-01,9.676844e-05,4.772212e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.0037818527,0.3806413799,0.0000000000,0.0064193809,0.0000000000,0.0006628709,0.0000000000,0.6084945156
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.0396906561,0.7025301411,0.0044776367,0.0342290449,0.0000000000,0.0004532916,0.0000000000,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.005882191,0.329833338,0.002519630,0.201817799,0.000000000,0.003765702,0.000000000,0.456181340
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.020430820,0.587214736,0.003007698,0.090259251,0.000000000,0.001693600,0.000000000,0.297393895
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.0004197624,0.7085841414,0.0001804978,0.0056248164,0.0000000000,0.0052680183,0.0000000000,0.2799227637
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.0002551364,0.7384993728,0.0000000000,0.0014457729,0.0000000000,0.0004039660,0.0000000000,0.2593957520
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,7.703763e-03,3.835799e-01,7.942023e-05,1.072372e-01,0.000000e+00,3.375360e-04,0.000000e+00,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.006378755,0.706250827,0.001080771,0.011125325,0.000000000,0.001177820,0.000000000,0.273986501
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.0002389510,0.8370598304,0.0000000000,0.0004583957,0.0000000000,0.0000000000,0.0000000000,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.0001219929,0.2545808325,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7452971746
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.002792716,0.561158118,0.000000000,0.013269850,0.000000000,0.001002057,0.000000000,0.421777259
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.0014592645,0.8008643644,0.0000000000,0.0052453563,0.0000000000,0.0007796071,0.0000000000,0.1916514077
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.0065784702,0.5192750850,0.0001673911,0.0054625295,0.0000000000,0.0003347822,0.0000000000,0.4681817421
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,1.528330e-03,8.431287e-01,4.348907e-05,1.652584e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.536469e-01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.003172827,0.686030024,0.000000000,0.013613271,0.000000000,0.001500575,0.000000000,0.295683302
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.0010849482,0.7487588851,0.0005260355,0.0005852145,0.0000000000,0.0008942603,0.0000000000,0.2481506566
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.0004702117,0.5379608250,0.0000000000,0.0006597000,0.0000000000,0.0000000000,0.0000000000,0.4609092632
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,0.0078347724,0.7363666396,0.0017904555,0.0080550106,0.0000000000,0.0006974212,0.0000000000,0.2452557007
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.020822217,0.800795904,0.001071253,0.005906145,0.000000000,0.001881820,0.000000000,0.169522661
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.0011421579,0.6231286967,0.0008158270,0.0239853151,0.0000000000,0.0002447481,0.0000000000,0.3506832551
