Primary_lifestyle,,algal_parasite,animal_parasite,arbuscular_mycorrhizal,dung_saprotroph,ectomycorrhizal,epiphyte,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_saprotroph,wood_saprotroph,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,0.000000e+00,0.000000e+00,1.981207e-03,2.546538e-05,2.500700e-03,2.353001e-03,0.000000e+00,4.329115e-04,7.639614e-05,9.676844e-05,1.344114e-01,2.953984e-04,5.653314e-04,0.000000e+00,5.706282e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.349410e-01,2.831750e-03,0.000000e+00,1.762204e-02,4.843515e-03,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.0000000000,0.0000000000,0.0113316029,0.0370021491,0.0004674984,0.0425563091,0.0000000000,0.0000000000,0.0104384716,0.0000000000,0.0521853806,0.0000000000,0.0000000000,0.0000000000,0.0503014318,0.0000000000,0.0000000000,0.0007466019,0.1208308912,0.0006977588,0.0000000000,0.0144436071,0.0505037819,0.6084945156
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.0000000000,0.0000000000,0.0005749064,0.0056882570,0.0109785018,0.0006301859,0.0000000000,0.0011166452,0.0007186330,0.0044776367,0.1608024367,0.0004090680,0.0046379471,0.0000000000,0.2262533237,0.0004145960,0.0000000000,0.0000000000,0.0999563292,0.0047153384,0.0000000000,0.2361096523,0.0238973129,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.000000e+00,1.099475e-04,4.782716e-03,1.237826e-02,1.924081e-04,5.911511e-02,9.162292e-05,2.748688e-05,1.374344e-04,2.519630e-03,2.135730e-02,0.000000e+00,4.168843e-03,0.000000e+00,2.776174e-02,1.997380e-03,0.000000e+00,2.373034e-03,1.921241e-01,0.000000e+00,0.000000e+00,8.434806e-02,1.303336e-01,4.561813e-01
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.000000e+00,1.132843e-05,1.648286e-03,1.514044e-02,5.736716e-02,1.064872e-03,1.268784e-03,8.003534e-03,9.708463e-03,3.007698e-03,7.558327e-02,1.869191e-04,4.803254e-03,1.132843e-05,1.146890e-01,9.119385e-04,0.000000e+00,2.696166e-03,2.010513e-01,7.992206e-03,2.039117e-04,1.376008e-01,5.965550e-02,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.000000e+00,0.000000e+00,1.142593e-02,5.180162e-01,1.822608e-02,6.478193e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.804978e-04,4.301725e-02,0.000000e+00,1.007430e-04,0.000000e+00,1.706334e-02,3.240566e-03,0.000000e+00,0.000000e+00,1.710532e-02,3.358099e-05,0.000000e+00,3.668724e-03,2.321706e-02,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.000000000,0.000000000,0.001247333,0.000000000,0.000000000,0.690356553,0.000000000,0.000000000,0.000000000,0.000000000,0.004939724,0.000000000,0.000000000,0.000000000,0.007122558,0.000000000,0.000000000,0.001155201,0.018150119,0.000000000,0.000000000,0.004259360,0.013373399,0.259395752
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.000000e+00,0.000000e+00,4.983620e-03,1.558622e-03,0.000000e+00,1.229028e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.942023e-05,7.499255e-02,0.000000e+00,5.341011e-03,0.000000e+00,4.062345e-02,0.000000e+00,0.000000e+00,4.725504e-03,1.163506e-01,0.000000e+00,0.000000e+00,4.046461e-02,8.691552e-02,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.000000e+00,0.000000e+00,1.773347e-03,5.962769e-02,2.274913e-02,2.229918e-02,0.000000e+00,8.822621e-06,4.808329e-04,1.080771e-03,6.344347e-02,0.000000e+00,1.217522e-03,0.000000e+00,1.616922e-01,5.293573e-04,0.000000e+00,1.161939e-02,1.595571e-02,1.080771e-03,0.000000e+00,3.354934e-01,2.696193e-02,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.0000000000,0.0000000000,0.0010289521,0.0000000000,0.0002048151,0.8093025070,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016433974,0.0000000000,0.0000292593,0.0000000000,0.0169362586,0.0000000000,0.0000000000,0.0000000000,0.0059932801,0.0000000000,0.0000000000,0.0017653111,0.0008533963,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.000000e+00,0.000000e+00,1.793295e-03,1.097936e-04,0.000000e+00,2.305665e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.323623e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.513736e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.323659e-01,1.219929e-04,0.000000e+00,1.621285e-02,1.829893e-05,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.0000000000,0.0000000000,0.0599337100,0.0063206703,0.0009249761,0.4545961234,0.0000000000,0.0001126573,0.0000000000,0.0000000000,0.0131512632,0.0000000000,0.0005692161,0.0000000000,0.0076903465,0.0001126573,0.0000000000,0.0001956680,0.0031306885,0.0003201840,0.0000000000,0.0259230491,0.0052415314,0.4217772586
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.000000e+00,0.000000e+00,2.602688e-03,9.195366e-05,3.198388e-05,7.566147e-01,0.000000e+00,0.000000e+00,3.997985e-05,0.000000e+00,5.597179e-03,0.000000e+00,3.198388e-05,0.000000e+00,9.719102e-03,1.399295e-04,0.000000e+00,9.515204e-04,2.474753e-02,8.475728e-04,0.000000e+00,3.598187e-03,3.334320e-03,1.916514e-01
