core_top_depth_cm,core_bottom_depth_cm,Sample_Date_yr.mo.dy,latitude,longitude,Trees_within_10m_count,Closest_Tree_Distance_m,Closest_Tree_Location_degrees,Second_Closest_Tree_Distance_m,Second_Closest_Tree_Location_degrees,PerCMoisture,FM_AD_correction,FM_OD_correction,AD_OD_correction,bulk_density_g_cm3,Value_dry,Value_wet,Chroma_dry,Chroma_wet,clay_percent,silt_percent,sand_percent,pH_FM_CaCl2,Total_Exchange_Capacity_meq_per_100_g,pH_AD_H20,organic_matter_percent,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3-N_ppm,NH4-N_ppm,Bray_I_P_ppm,carbon_percent,nitrogen_percent,C_per_N_Ratio,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_Percent_of_Total_Biomass
0,7.5,230508,38.48673,-122.15038,NA,NA,NA,NA,NA,29.50257289879932,0.8030565461029037,0.7721854304635761,0.961557980208069,1.07380080929943,5,3,3,3,17.67,36.69,45.64,6.76,18.28,7,3.77,7,42,2410,549,285,28,65.92,25.03,4,0.67,4.4,0,0.67,216,157,3.2,3.3,760,6.8,2.4,21,1.33,0.09,14.78,5202.31,1481.23,28.47,541.06,10.4,183.73,3.53,940.17,18.07,963.6,158.07,15.48,805.53,2.34,121.86,50.66,2635.63,0.65,0.08,0.58,1.13,2.23,3.038457915810476
7.5,15,230508,38.48673,-122.15038,NA,NA,NA,NA,NA,21.655426118945428,0.8523334341296239,0.8219937506299768,0.964403973509934,0.9143181702712369,5,3,4,3,23.02,49,27.98,6.25,17.71,6.8,5.1,5,33,2685,306,129,14,75.8,14.4,1.87,0.34,4.6,3,0.49,116,122,2.9,4.17,426,0,1.5,17,2.53,0.15,16.87,2927.52,960.48,32.81,302.94,10.35,123.55,4.22,657.54,22.46,233.04,54.77,6.09,178.26,1.1,32.09,58.14,1701.92,0.24,0.03,0.46,1.82,10.71,1.8708668087664644
15,22.5,230508,38.48673,-122.15038,NA,NA,NA,NA,NA,20.730976632714217,0.8527047146401985,0.8282878411910669,0.971365382376906,1.1387950983507005,5,4,4,3,27.03,39.28,33.69,5.91,17.54,6.6,4.73,5,13,2407,381,148,12,68.61,18.1,2.16,0.3,4.8,6,0.37,81,56,2.24,1.94,437,1.8,2.4,7,2.03,0.15,13.53,2797.66,1037.18,37.07,372.69,13.32,159.53,5.7,664.49,23.75,232.46,42.54,6.79,189.92,1.66,46.41,52.51,1469.15,0.22,0.04,0.56,1.76,9.12,1.5205564650457883
22.5,30,230508,38.48673,-122.15038,NA,NA,NA,NA,NA,28.636421079236698,0.8122605363984674,0.7773848118675705,0.9570633768746976,1.1082458355246596,6,4,4,4,27.64,38.48,33.88,5.61,13.78,6.3,3.91,5,11,1642,355,159,12,59.58,21.47,2.96,0.38,5.1,10.5,0.27,82,34,2.64,1.61,462,0.8,2,3,1.74,0.11,15.82,2398.18,1014.46,42.3,356.65,14.87,168.26,7.02,657.81,27.43,216.74,45.29,7.15,171.46,1.36,32.64,47.3,1134.33,0.21,0.03,0.54,1.92,13.5,1.8885154575553127
30,37.5,230508,38.48673,-122.15038,NA,NA,NA,NA,NA,21.61805305485537,0.8471180418476114,0.822246348203711,0.9706396364907376,1.336783325580458,6,4,4,4,30.68,39.8,29.52,5.2,19.36,5.9,3.26,6,10,2033,480,209,20,52.51,20.66,2.77,0.45,5.6,18,0.29,126,80,3.99,1.6,811,0.8,3.8,2,1.32,0.1,13.2,2386.02,683.05,28.63,277.49,11.63,142.06,5.95,405.56,17,161.89,27.03,5.65,134.86,0.47,11.29,64.11,1529.79,0.24,0.02,0.68,2.18,6.77,1.1328488445193252
37.5,45,230508,38.48673,-122.15038,NA,NA,NA,NA,NA,22.94980119284294,0.8390096008084892,0.8133400707427995,0.9694049626596,1.3429997796965385,5,4,4,4,27.36,42.73,29.91,4.98,17.99,5.9,2.93,6,7,1933,418,198,21,53.72,19.36,2.82,0.51,5.6,18,0.22,103,123,4.4,1.22,760,0,2.5,1,1.07,0.08,13.38,2273.05,634.89,27.93,308.25,13.56,188.39,8.29,326.64,14.37,148.44,26.18,5.38,122.26,0.44,10.05,65.1,1479.67,0.23,0.02,0.94,2.92,3.43,1.151756450584017
0,7.5,230520,38.486593,-122.150304,2,3.05,344,6.68,290,6.194968553459115,0.9758167999210344,0.9416641989931892,0.9650010115314588,0.9567735597225774,6,4,3,3,17.53,39.64,42.83,6.77,18.23,7.2,7.04,7,28,2718,366,304,11,74.55,16.73,4.28,0.26,4.2,0,0.61,73,107,2.59,3.52,401,0,2,14,3.7,0.27,13.7,6135.09,2040.66,33.26,741.01,12.08,300.01,4.89,1299.65,21.18,1177.17,173.78,16.36,1003.39,1.67,102.21,45.88,2815.04,0.58,0.05,0.57,1.03,4.08,2.832558283578562
7.5,15,230520,38.486593,-122.150304,2,3.05,344,6.68,290,10.359268238924406,0.9371879368883564,0.9061314160175752,0.9668620138518912,1.0760494141265435,5,4,4,3,23.34,39.13,37.53,6.81,19.54,6.9,4.39,6,12,2807,411,330,14,71.83,17.53,4.33,0.31,4.5,1.5,0.5,66,52,3.23,1.93,475,0,1.4,3,2.44,0.15,16.27,3408.07,1270.03,37.27,536.08,15.73,252.57,7.41,733.95,21.54,336.15,68.09,7.87,268.06,1.16,39.59,51.71,1762.3,0.26,0.03,0.73,1.97,10.21,1.9979049726091307
15,22.5,230520,38.486593,-122.150304,2,3.05,344,6.68,290,12.017406828832844,0.9229006873194542,0.8927183982468374,0.9672962763086886,0.9110936391831984,5,4,4,3,18.39,42.42,39.19,6.09,16.18,6.7,4.53,7,13,2189,363,257,14,67.65,18.7,4.07,0.38,4.7,4.5,0.32,69,59,3.29,2.87,419,0,2.6,2,2.29,0.18,12.72,3397.46,1270.86,37.41,450.36,13.26,208.86,6.15,820.5,24.15,386.92,56.94,9.71,329.98,0.99,33.69,50.21,1705.98,0.3,0.03,0.55,1.65,4.05,1.675957921506066
22.5,30,230520,38.486593,-122.150304,2,3.05,344,6.68,290,13.643982567884672,0.9095378564405112,0.8799410029498526,0.9674594594594595,1.0834541003906046,5,4,4,3,22.56,43.09,34.35,6.47,21.43,6.7,3.61,5,12,2858,503,349,18,66.68,19.56,4.18,0.37,4.7,4.5,0.43,86,77,4.84,2.7,582,0,0,3,1.74,0.14,12.43,2187.26,813.67,37.2,335.14,15.32,183.15,8.37,478.52,21.88,219.42,40.49,8.18,178.92,1.3,28.5,50.96,1114.67,0.27,0.04,0.7,2.44,4.13,1.8511745288625951
