core_bottom_depth_cm,latitude,longitude,PerCMoisture,bulk_density_g_cm3,Value_dry,Value_wet,Chroma_dry,Chroma_wet,clay_percent,sand_percent,pH_FM_CaCl2,Total_Exchange_Capacity_meq_per_100_g,organic_matter_percent,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3-N_ppm,NH4-N_ppm,Bray_I_P_ppm,carbon_percent,nitrogen_percent,C_per_N_Ratio,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Fungi_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g
7.5,38.48673,-122.15038,29.50257289879932,1.07380080929943,5,3,3,3,17.67,45.64,6.76,18.28,3.77,7,42,2410,549,285,28,0.67,216,157,3.2,3.3,760,6.8,2.4,21,1.33,0.09,14.78,5202.31,1481.23,963.6,0.65
15,38.48673,-122.15038,21.655426118945428,0.9143181702712369,5,3,4,3,23.02,27.98,6.25,17.71,5.1,5,33,2685,306,129,14,0.49,116,122,2.9,4.17,426,0,1.5,17,2.53,0.15,16.87,2927.52,960.48,233.04,0.24
22.5,38.48673,-122.15038,20.730976632714217,1.1387950983507005,5,4,4,3,27.03,33.69,5.91,17.54,4.73,5,13,2407,381,148,12,0.37,81,56,2.24,1.94,437,1.8,2.4,7,2.03,0.15,13.53,2797.66,1037.18,232.46,0.22
30,38.48673,-122.15038,28.636421079236698,1.1082458355246596,6,4,4,4,27.64,33.88,5.61,13.78,3.91,5,11,1642,355,159,12,0.27,82,34,2.64,1.61,462,0.8,2,3,1.74,0.11,15.82,2398.18,1014.46,216.74,0.21
37.5,38.48673,-122.15038,21.61805305485537,1.336783325580458,6,4,4,4,30.68,29.52,5.2,19.36,3.26,6,10,2033,480,209,20,0.29,126,80,3.99,1.6,811,0.8,3.8,2,1.32,0.1,13.2,2386.02,683.05,161.89,0.24
45,38.48673,-122.15038,22.94980119284294,1.3429997796965385,5,4,4,4,27.36,29.91,4.98,17.99,2.93,6,7,1933,418,198,21,0.22,103,123,4.4,1.22,760,0,2.5,1,1.07,0.08,13.38,2273.05,634.89,148.44,0.23
7.5,38.486593,-122.150304,6.194968553459115,0.9567735597225774,6,4,3,3,17.53,42.83,6.77,18.23,7.04,7,28,2718,366,304,11,0.61,73,107,2.59,3.52,401,0,2,14,3.7,0.27,13.7,6135.09,2040.66,1177.17,0.58
15,38.486593,-122.150304,10.359268238924406,1.0760494141265435,5,4,4,3,23.34,37.53,6.81,19.54,4.39,6,12,2807,411,330,14,0.5,66,52,3.23,1.93,475,0,1.4,3,2.44,0.15,16.27,3408.07,1270.03,336.15,0.26
22.5,38.486593,-122.150304,12.017406828832844,0.9110936391831984,5,4,4,3,18.39,39.19,6.09,16.18,4.53,7,13,2189,363,257,14,0.32,69,59,3.29,2.87,419,0,2.6,2,2.29,0.18,12.72,3397.46,1270.86,386.92,0.3
30,38.486593,-122.150304,13.643982567884672,1.0834541003906046,5,4,4,3,22.56,34.35,6.47,21.43,3.61,5,12,2858,503,349,18,0.43,86,77,4.84,2.7,582,0,0,3,1.74,0.14,12.43,2187.26,813.67,219.42,0.27
37.5,38.486593,-122.150304,12.9151291512915,1.213315007256279,5,3,4,4,30.93,32.64,6.01,25.95,2.71,6,8,3302,666,377,27,0.35,88,56,4.32,1.31,744,0,1.9,2,1.06,0.09,11.78,2536.9,709.15,193.54,0.27
45,38.486593,-122.150304,14.219759926131124,1.1889560014097995,5,4,4,4,33.54,30.12,6.31,18.7,2.7,4,6,2340,508,259,19,0.23,64,45,3.5,0.87,596,0,0.8,3,0.88,0.1,8.8,1918.66,502.85,92.13,0.18
7.5,38.488092,-122.150914,7.40106951871658,0.9727394537755044,4,3,2.5,2,22.86,39.43,7.03,19.65,5.91,11,70,3232,228,310,12,0.62,104,176,2.53,6.39,350,0,3.8,41,3.76,0.36,10.44,3320.2,972.89,484.2,0.5
15,38.488092,-122.150914,8.64344439636522,1.0767829935814086,6,4,3,3,22.38,37.68,6.4,19.09,4.73,7,23,2813,394,353,17,0.62,88,76,2.98,2.94,469,0,1.8,9,2.34,0.19,12.32,3086.37,1163.04,307.92,0.26
22.5,38.488092,-122.150914,8.670831538130113,1.259658793624907,6,4,3,3,27.92,35.42,6.21,20.96,3.26,6,12,2702,671,339,20,0.4,83,42,3.93,1.68,568,0,1.5,5,1.27,0.12,10.58,2896.32,974.81,250.68,0.26
30,38.488092,-122.150914,8.299638220898062,1.376515909835718,6,4,3,3,29.48,33,5.78,23.21,2.78,5,7,2298,929,236,28,0.23,97,37,4.06,0.87,688,0,1.4,3,0.74,0.08,9.25,788.51,292.29,95.47,0.33
37.5,38.488092,-122.150914,10.83912228470614,NA,6,5,6,6,37.08,28.01,4.32,36.07,2.52,6,4,2096,1150,142,47,0.25,125,33,5.49,1.07,1062,0,1.7,2,0.62,0.06,10.33,1782.17,442.13,121.26,0.27
45,38.488092,-122.150914,12.098572702943793,NA,6,4,6,6,39.98,23.95,4.16,30.68,2.59,5,3,1551,892,93,36,0,87,10,2.43,0.72,852,0,0,2,0.8,0.06,13.33,1556.76,262.71,64.21,0.24
7.5,38.488087,-122.151009,4.039357845675822,0.9773760379749796,5,3,4,3,23.22,36.1,7.06,21.59,4.31,16,50,3559,244,319,19,0.64,102,192,2.81,4.98,426,0.9,3.2,25,2.28,0.23,9.91,2371.19,666.08,229.92,0.35
15,38.488087,-122.151009,5.329284891634388,1.15205584966699,6,4,4,3,20.31,40.99,6.85,13.91,3.22,9,15,2110,269,200,18,0.48,63,86,2.31,1.78,397,0,0.9,6,1.41,0.12,11.75,2494.43,871.01,229.34,0.26
22.5,38.488087,-122.151009,5.803152071808791,1.2573424473689387,6,4,4,4,23.25,34.56,6.6,19.99,2.74,8,9,2875,470,312,19,0.46,71,81,4.83,1.47,597,0,1.4,3,1.04,0.08,13,3409.3,1465.35,226.52,0.15
30,38.488087,-122.151009,5.709178845547253,0.9801822669739,6,4,4,4,22.83,44.08,6.63,22.65,2.92,4,8,3162,616,277,16,0.51,73,56,3.98,0.93,608,0,0,4,0.81,0.07,11.57,3112.49,1189.63,162.67,0.14
37.5,38.488087,-122.151009,7.848775292864739,0.9180572050997712,6,5,6,4,28.33,35.52,6.61,24.18,2.72,4,5,2942,951,193,19,0.39,68,38,4.28,0.75,655,0,0,3,0.58,0.06,9.67,3132.4,1080,178.78,0.17
45,38.488087,-122.151009,9.763572679509634,1.2838851863081586,6,5,6,6,27.46,34.73,6.42,25.57,2.6,3,5,3018,1079,109,31,0.28,67,14,2.66,0.53,632,0,0.7,2,0.39,0.05,7.8,2335.39,863.92,169.47,0.2
7.5,38.488087,-122.151882,4.708566687409243,0.9003921189642641,4,3,3,2,22.29,38.75,6.95,19.17,4.27,10,66,3027,303,250,24,0.71,206,133,2.95,5.21,774,0,2.1,36,2.3,0.22,10.45,5158.41,1361.89,1187.7,0.87
15,38.488087,-122.151882,8.620876149269874,1.1775750922301376,6,4,3,3,28.05,24.54,5.95,25,4.94,8,19,3502,546,217,20,0.44,149,108,3.32,2.28,639,0,2.6,8,2.29,0.18,12.72,2531.4,603.88,315.92,0.52
22.5,38.488087,-122.151882,7.714592274678108,1.2991291822508104,6,4,3,3,33.39,24.57,4.67,33.94,3.52,7,11,2842,663,255,25,0.25,182,62,3.66,1.49,906,0,4,3,1.36,0.11,12.36,2620.3,612.73,324.94,0.53
30,38.488087,-122.151882,8.56526429341963,1.235952626045819,6,4,4,3,35.59,23.65,4.66,26.59,3.73,7,11,2443,592,201,22,0,108,43,3.45,1.36,751,0,3.2,3,1.24,0.12,10.33,3402.67,1124.26,330.25,0.29
37.5,38.488087,-122.151882,9.844223279965377,1.1569352873367642,6,5,4,4,34.68,23.28,4.61,27.27,2.45,7,11,2241,571,160,22,0,94,30,3.16,1.16,674,0,4.3,3,0.94,0.09,10.44,2196.33,796.91,158.64,0.2
45,38.488087,-122.151882,10.395554102647914,1.1052050552670871,7,5,3,3,33.64,22.71,4.7,39.81,2.74,6,8,3354,934,238,36,0.27,144,50,4.9,1.03,968,0,3.8,3,0.85,0.08,10.63,1477.28,474.49,112.24,0.24
7.5,38.488857,-122.151742,5.981367774719464,0.8658749605579729,5,3,3,2,27.92,36.09,6.94,25.84,7.36,17,64,4192,327,411,16,1.09,138,124,2.74,4,442,3.5,4,43,4.41,0.34,12.97,5620.31,1570.77,1177.81,0.75
15,38.488857,-122.151742,8.547008547008554,1.3118620707257622,6,4,3,3,27.99,27.89,6.48,23.84,4.3,7,23,3597,404,562,15,0.68,84,49,3.22,1.57,558,0,2.1,9,1.71,0.15,11.4,2739.73,639.57,278.16,0.43
22.5,38.488857,-122.151742,9.31521739130434,1.1346604741949815,6,4,3,4,32.9,28.3,6.43,21.1,3.55,7,15,3102,402,515,13,0.65,71,47,3.7,1.21,556,0.6,3.1,6,1.44,0.13,11.08,2890.26,723.67,311.02,0.43
30,38.488857,-122.151742,14.364890849451422,1.3602002857423603,6,4,4,4,31.93,28.21,6.28,25.71,2.71,5,7,3745,500,649,17,0.62,69,47,4.79,0.94,690,0,2,3,0.79,0.08,9.88,3222.14,904.94,340.53,0.38
37.5,38.488857,-122.151742,9.697499180954456,1.3357788977155476,6,5,4,4,31.64,35.12,6.36,24.92,2.62,6,4,3732,452,534,17,0.45,71,55,3.47,0.69,658,0,0.6,2,0.58,0.06,9.67,2733.93,795.75,297.65,0.37
45,38.488857,-122.151742,9.01790558871404,NA,6,5,4,4,22.04,47.78,6.55,29.93,2.8,5,4,4687,491,431,17,0.57,85,65,2.94,0.77,677,0,0.9,1,0.51,0.06,8.5,2828.21,992.49,323.26,0.33
