baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
301.06510643588325,3.401611890168293,0.5205494059582648,6.534657135774386,6.37554260830985e-11,2.9659024213857425e-8,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__JG30a-KF-32,s__,unassigned
99.00007778472434,1.4648300820391484,0.4127168414166252,3.5492374796512043,3.8634848083968074e-4,0.01633902848060177,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__,s__,unassigned
158.6302023361715,1.5302456174086745,0.4883276661390508,3.133645139353908,0.0017264951097618396,0.03926886015670464,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
59.09998392025791,-1.5637857963096118,0.4253633835153037,-3.676352636153389,2.3659242201016392e-4,0.011963347252079159,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__,s__,unassigned
72.82984400373454,3.980184084682208,0.8237119827255842,4.832009450089775,1.351618376605802e-6,2.4183571876808428e-4,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Catenulisporales,f__Catenulisporaceae,g__Catenulispora,s__acidiphila,unassigned
79.66967250183583,2.1416414628547447,0.6220421619184316,3.4429201008654102,5.754693042694138e-4,0.02141050756367719,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__,s__,unassigned
51.27406386841018,1.8344427850202596,0.5337991454912364,3.4365787216314985,5.891111281493294e-4,0.02141050756367719,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__,s__,unassigned
55.987894176283774,6.179134112456318,0.9059654887933748,6.820496132458755,9.07266304899922e-12,7.034338083990729e-9,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__,aerobic_chemoheterotrophy
68.43407569047,-2.390461904082293,0.6802401030534206,-3.5141443342609944,4.4117302749798604e-4,0.018002955472987994,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__albus,aerobic_chemoheterotrophyaromatic_compound_degradation
102.45400305995166,4.532548726662254,0.6735824904187026,6.729018035853036,1.708118839697537e-11,9.932711052841179e-9,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
