baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
52.44158,7.57190,1.04291,7.26034,3.86E-13,4.49E-10,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Ellin516,s__,unassigned
55.98789,6.17913,0.90597,6.82050,9.07E-12,7.03E-09,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__,aerobic_chemoheterotrophy
68.58322,5.93009,0.96128,6.16894,6.87E-10,2.67E-07,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,s__,unassigned
32.46173,5.60231,0.95701,5.85398,4.80E-09,1.40E-06,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,g__Candidatus Brownia,s__rhizoecola,unassigned
39.24658,5.29879,1.01671,5.21172,1.87E-07,3.96E-05,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
32.62675,4.94216,1.02998,4.79830,1.60E-06,2.49E-04,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__,unassigned
15.28378,4.85335,1.04161,4.65946,3.17E-06,4.10E-04,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
23.97129,4.76844,0.80962,5.88974,3.87E-09,1.29E-06,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
49.30368,4.74820,0.85777,5.53550,3.10E-08,8.02E-06,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__,g__,s__,unassigned
71.44230,4.63357,0.96719,4.79077,1.66E-06,2.49E-04,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__URHD0088,g__,s__,aerobic_chemoheterotrophy
17.71275,4.54921,1.04019,4.37343,1.22E-05,1.24E-03,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus Solibacter,s__,unassigned
