Primary_lifestyle,algal_parasite,animal_parasite,arbuscular_mycorrhizal,dung_saprotroph,ectomycorrhizal,epiphyte,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_saprotroph,wood_saprotroph,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,  0.000000,  0.455519,  0.005855,  0.574961,  0.541002,  0.000000,  0.099535,  0.017565,  0.022249, 30.903862,  0.067918,  0.129981,  0.000000, 13.119884,  0.000000,  0.000000, 77.009646,  0.651076,  0.000000,  4.051660,  1.113621,101.155666
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,  0.0000000,  3.5243551, 11.5084084,  0.1454014, 13.2358633,  0.0000000,  0.0000000,  3.2465734,  0.0000000, 16.2306971,  0.0000000,  0.0000000,  0.0000000, 15.6447513,  0.0000000,  0.2322081, 37.5808238,  0.2170169,  0.0000000,  4.4922507, 15.7076862,189.2539642
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,  0.0000000,  0.6771306,  6.6996860, 12.9305892,  0.7422393,  0.0000000,  1.3151959,  0.8464132,  5.2738053,189.3947180,  0.4818044,  5.4626205,  0.0000000,266.4834272,  0.4883153,  0.0000000,117.7295641,  5.5537727,  0.0000000,278.0923096, 28.1464941,257.4919147
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz, 0.023830021, 1.036605921, 2.682863216, 0.041702537,12.812608046, 0.019858351, 0.005957505, 0.029787526, 0.546104652, 4.628981611, 0.000000000, 0.903554969, 0.000000000, 6.017080344, 0.432912051, 0.514331290,41.640976151, 0.000000000, 0.000000000,18.281597904,28.248504256,98.872743648
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,  0.01091607,  1.58828867, 14.58933202, 55.27899539,  1.02611089,  1.22260021,  7.71220581,  9.35507485,  2.89821747, 72.83204133,  0.18011521,  4.62841510,  0.01091607,110.51432650,  0.87874390,  2.59802545,193.73301161,  7.70128974,  0.19648932,132.59208483, 57.48404221,286.56875733
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,  0.00000000,  3.51827327,159.50754918,  5.61217580, 19.94765294,  0.00000000,  0.00000000,  0.00000000,  0.05557889, 13.24587231,  0.00000000,  0.03102078,  0.00000000,  5.25414431,  0.99783503,  0.00000000,  5.26706964,  0.01034026,  0.00000000,  1.12967334,  7.14899685, 86.19381740
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,  0.0000000,  0.4119319,  0.0000000,  0.0000000,227.9902517,  0.0000000,  0.0000000,  0.0000000,  0.0000000,  1.6313439,  0.0000000,  0.0000000,  0.0000000,  2.3522246,  0.0000000,  0.3815051,  5.9940769,  0.0000000,  0.0000000,  1.4066537,  4.4165651, 85.6654471
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz, 0.00000000, 0.80679817, 0.25232533, 0.00000000,19.89673583, 0.00000000, 0.00000000, 0.00000000, 0.01285734,12.14054462, 0.00000000, 0.86465621, 0.00000000, 6.57653013, 0.00000000, 0.76501181,18.83600516, 0.00000000, 0.00000000, 6.55081545,14.07075300,81.11696694
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,  0.00000000,  2.10620407, 70.81980193, 27.01914024, 26.48473025,  0.00000000,  0.01047863,  0.57108518,  1.28363183, 75.35180820,  0.00000000,  1.44605055,  0.00000000,192.04180070,  0.62871763, 13.80035202, 18.95059729,  1.28363183,  0.00000000,398.46551723, 32.02268472,325.41376770
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.000000e+00,2.257727e-01,0.000000e+00,4.494053e-02,1.775772e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.605943e-01,0.000000e+00,6.420076e-03,0.000000e+00,3.716154e+00,0.000000e+00,0.000000e+00,1.315046e+00,0.000000e+00,0.000000e+00,3.873446e-01,1.872522e-01,3.559932e+01
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.000000e+00,4.112743e-01,2.518006e-02,0.000000e+00,5.287813e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.035596e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.035180e-01,0.000000e+00,0.000000e+00,5.329080e+01,2.797785e-02,0.000000e+00,3.718256e+00,4.196677e-03,1.709265e+02
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz, 0.00000000, 5.72187130, 0.60343439, 0.08830747,43.40029190, 0.00000000, 0.01075540, 0.00000000, 0.00000000, 1.25555110, 0.00000000, 0.05434306, 0.00000000, 0.73419738, 0.01075540, 0.01868043, 0.29888683, 0.03056797, 0.00000000, 2.47487350, 0.50040901,40.26707488
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.000000e+00,4.128905e-01,1.458753e-02,5.073923e-03,1.200294e+02,0.000000e+00,0.000000e+00,6.342403e-03,0.000000e+00,8.879365e-01,0.000000e+00,5.073923e-03,0.000000e+00,1.541838e+00,2.219841e-02,1.509492e-01,3.925948e+00,1.344590e-01,0.000000e+00,5.708163e-01,5.289564e-01,3.040358e+01
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.000000e+00,7.653160e+00,5.736223e+01,3.259306e-02,1.612115e+01,0.000000e+00,0.000000e+00,3.895646e-01,4.656151e-02,2.376344e+01,0.000000e+00,1.272681e-01,0.000000e+00,1.540255e+01,7.760251e-03,4.997602e-01,8.078422e+00,9.312302e-02,0.000000e+00,6.642775e+00,1.171022e+01,1.302294e+02
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.000000e+00,2.593729e+00,3.100937e-01,7.932629e-02,3.077908e+02,0.000000e+00,0.000000e+00,9.615308e-03,1.682679e-02,3.735547e+00,0.000000e+00,1.177875e-01,2.163444e-02,4.120160e+00,0.000000e+00,1.177875e-01,6.225912e+00,0.000000e+00,0.000000e+00,1.584122e+00,7.475902e-01,5.944905e+01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,  0.00000000,  7.78708907,  0.61362840,  0.20247671,171.78082964,  0.00000000,  0.00000000,  0.59709969,  0.00000000,  4.99167079,  0.00000000,  0.06198267,  0.98552441,  2.62599900,  0.00000000,  0.07231311,  9.45442282,  0.29338462,  0.00000000,  5.47720168, 23.91704514, 96.07933224
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,  0.00000000,  3.96313116, 18.96467672,  0.05304805,196.08989453,  0.00000000,  0.01326201,  0.03536536,  0.17682682,  8.29759865,  0.00000000,  0.03094469,  0.00000000, 15.52097435,  0.00000000,  0.00000000,  1.48313497,  0.28513325,  0.00000000,  2.33190372,  5.48826250, 83.41584320
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.000000e+00,4.737416e-01,5.862949e+00,0.000000e+00,8.425605e-02,0.000000e+00,7.948684e-04,0.000000e+00,0.000000e+00,3.115884e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.543579e-01,0.000000e+00,2.464092e-02,1.134349e+02,2.305118e-02,0.000000e+00,4.363827e-01,1.208200e+00,1.044052e+02
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,  0.00000000,  0.84978971, 50.88656029,  9.02601503,566.46406156,  0.03840857,  0.04320965,  0.01920429,  2.10767053, 69.62994470,  0.45130075,  0.21124716,  0.00000000,123.62279845,  0.33127396,  0.00000000, 13.91350615,  1.31549368,  0.00000000, 17.40388537, 32.14797695,288.70765320
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.000000e+00,1.546240e+00,1.651617e+02,2.124897e+01,1.393983e+01,5.916736e-03,7.888981e-02,4.930613e-02,5.187005e-01,6.011601e+01,0.000000e+00,1.617241e-01,5.916736e-03,6.924356e+01,8.993438e-01,8.658156e-01,1.283143e+01,6.821996e+00,0.000000e+00,2.353480e+01,2.508696e+01,8.208287e+01
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz, 0.00000000,13.66091672,66.24059039, 0.10430594,43.65993582, 0.00000000, 0.30343545, 0.00000000, 0.18964715, 1.89014998, 0.00000000, 0.15171772, 0.00000000, 2.61080916, 0.00000000, 0.01896472, 5.54085771, 0.00000000, 0.00000000, 6.68506221, 9.88377755,81.51982949
