genus,dec,inc,both
g__Tundrisphaera,,x,
g__Terrimonas,x,,
g__Taibaiella,x,,
g__Sphingomonas,,,x
g__Shinella,x,,
g__SH-PL14,,,x
g__Rhodoplanes,,,x
g__Rhodococcus,,x,
g__Rhodoblastus,x,,
g__Rhizobium,x,,
g__Reyranella,x,,
g__Qipengyuania,x,,
g__Pontibacter,x,,
g__Planococcus,x,,
g__Pirellula,,x,
g__Pir4 lineage,,,x
g__Phenylobacterium,,x,
g__Pedobacter,x,,
g__Paucibacter,x,,
g__Parasegetibacter,x,,
g__Paracoccus,x,,
g__Parablastomonas,,x,
g__Pajaroellobacter,,x,
g__Oxalicibacterium,x,,
g__Nocardioides,,,x
g__Nitrosospira,,x,
g__Nitrobacter,,x,
g__Mycoplana,,x,
g__Mesorhizobium,x,,
g__Massilia,x,,
g__Luteitalea,x,,
g__Iamia,x,,
g__Edaphobaculum,x,,
g__Dyadobacter,x,,
g__Devosia,,x,
g__Conexibacter,x,,
g__Chthoniobacter,x,,
g__Chryseobacterium,x,,
g__Cellvibrio,x,,
g__Calulobacter,,,x
g__Cenimonas,x,,
g__Bradyrhizobium,x,,
g__Bosea,x,,
g__Blastococcus,,x,
g__Azohydromonas,,x,
g__Asticcacaulis,x,,
g__Afipia,x,,
g__Adhaeribacter,,,x
