input,filtered,denoisedF,denoisedR,merged,nonchim,Sequencing_ID
177757,177757,168537,168503,160599,153688,DO_PCR_R_bc003_PCR_F_bc020_R1.fastq.gz
463773,463773,443791,444875,420101,393856,DO_PCR_R_bc003_PCR_F_bc021_R1.fastq.gz
412208,412208,392448,391866,372784,352415,DO_PCR_R_bc003_PCR_F_bc022_R1.fastq.gz
384084,384084,367060,364887,353951,346242,DO_PCR_R_bc004_PCR_F_bc001_R1.fastq.gz
299571,299571,290774,289574,279976,273722,DO_PCR_R_bc004_PCR_F_bc002_R1.fastq.gz
126514,126514,117706,116908,110387,108210,DO_PCR_R_bc004_PCR_F_bc003_R1.fastq.gz
316820,316820,300875,298649,286328,282207,DO_PCR_R_bc004_PCR_F_bc004_R1.fastq.gz
411969,411969,398692,396569,378417,347277,DO_PCR_R_bc004_PCR_F_bc005_R1.fastq.gz
332515,332515,318892,316672,306084,294623,DO_PCR_R_bc004_PCR_F_bc006_R1.fastq.gz
289077,289077,273554,271919,254585,238408,DO_PCR_R_bc004_PCR_F_bc007_R1.fastq.gz
393977,393977,379155,376357,363190,349110,DO_PCR_R_bc004_PCR_F_bc008_R1.fastq.gz
349424,349424,342852,342121,335134,328431,DO_PCR_R_bc004_PCR_F_bc009_R1.fastq.gz
385325,385325,377124,375755,367503,348770,DO_PCR_R_bc004_PCR_F_bc010_R1.fastq.gz
491904,491904,472379,469245,452707,436109,DO_PCR_R_bc004_PCR_F_bc011_R1.fastq.gz
175114,175114,168950,168125,163039,159617,DO_PCR_R_bc004_PCR_F_bc012_R1.fastq.gz
303396,303396,290871,289269,279077,271700,DO_PCR_R_bc004_PCR_F_bc013_R1.fastq.gz
351360,351360,338704,337084,326289,320828,DO_PCR_R_bc004_PCR_F_bc014_R1.fastq.gz
499449,499449,487499,485816,469703,438885,DO_PCR_R_bc004_PCR_F_bc015_R1.fastq.gz
477653,477653,468329,467438,457411,447831,DO_PCR_R_bc004_PCR_F_bc016_R1.fastq.gz
479106,479106,460964,458511,441981,430459,DO_PCR_R_bc004_PCR_F_bc017_R1.fastq.gz
36449,36449,32297,32078,29167,29086,DO_PCR_R_bc004_PCR_F_bc019_R1.fastq.gz
1548126,1548126,1538837,1540462,1518126,1499080,DO_PCR_R_bc004_PCR_F_bc020_R1.fastq.gz
214075,214075,212586,212549,210394,207141,DO_PCR_R_bc004_PCR_F_bc021_R1.fastq.gz
223439,223439,213623,212625,203661,199230,DO_PCR_R_bc004_PCR_F_bc022_R1.fastq.gz
942145,942145,939424,939494,925746,915520,DO_PCR_R_bc005_PCR_F_bc001_R1.fastq.gz
170709,170709,162761,162108,155259,153516,DO_PCR_R_bc005_PCR_F_bc003_R1.fastq.gz
61294,61294,60237,60280,59906,59162,DO_PCR_R_bc005_PCR_F_bc004_R1.fastq.gz
278383,278383,273073,272823,264638,258066,DO_PCR_R_bc005_PCR_F_bc006_R1.fastq.gz
395498,395498,385757,386006,372386,362406,DO_PCR_R_bc005_PCR_F_bc007_R1.fastq.gz
379904,379904,373232,372408,361019,353095,DO_PCR_R_bc005_PCR_F_bc008_R1.fastq.gz
367506,367506,357577,356383,346831,342900,DO_PCR_R_bc005_PCR_F_bc009_R1.fastq.gz
303466,303466,296092,295532,287309,282479,DO_PCR_R_bc005_PCR_F_bc010_R1.fastq.gz
268185,268185,258120,257365,247542,242606,DO_PCR_R_bc005_PCR_F_bc011_R1.fastq.gz
195338,195338,188326,188114,180830,179265,DO_PCR_R_bc005_PCR_F_bc012_R1.fastq.gz
290538,290538,282610,282018,273108,262087,DO_PCR_R_bc005_PCR_F_bc013_R1.fastq.gz
289820,289820,282675,282325,275933,273778,DO_PCR_R_bc005_PCR_F_bc014_R1.fastq.gz
232863,232863,221713,220406,205499,194805,DO_PCR_R_bc005_PCR_F_bc015_R1.fastq.gz
84127,84127,80352,80495,77724,77411,DO_PCR_R_bc005_PCR_F_bc016_R1.fastq.gz
162687,162687,155748,155516,151936,150359,DO_PCR_R_bc005_PCR_F_bc017_R1.fastq.gz
165225,165225,160567,160828,157695,155844,DO_PCR_R_bc005_PCR_F_bc018_R1.fastq.gz
226397,226397,219776,219695,213652,210900,DO_PCR_R_bc005_PCR_F_bc019_R1.fastq.gz
382190,382190,374721,374075,365469,358339,DO_PCR_R_bc005_PCR_F_bc020_R1.fastq.gz
187895,187895,182078,181599,176754,174868,DO_PCR_R_bc005_PCR_F_bc021_R1.fastq.gz
353213,353213,344501,343771,335342,332373,DO_PCR_R_bc005_PCR_F_bc022_R1.fastq.gz
238756,238756,233012,232656,226945,221968,DO_PCR_R_bc006_PCR_F_bc001_R1.fastq.gz
329839,329839,320206,319032,308565,302304,DO_PCR_R_bc006_PCR_F_bc002_R1.fastq.gz
228736,228736,222332,222166,214347,212616,DO_PCR_R_bc006_PCR_F_bc003_R1.fastq.gz
193592,193592,187159,186445,181655,180310,DO_PCR_R_bc006_PCR_F_bc004_R1.fastq.gz
266822,266822,256765,256073,245087,241314,DO_PCR_R_bc006_PCR_F_bc005_R1.fastq.gz
338507,338507,328387,327528,318270,314400,DO_PCR_R_bc006_PCR_F_bc006_R1.fastq.gz
290664,290664,282309,281661,272956,268364,DO_PCR_R_bc006_PCR_F_bc007_R1.fastq.gz
346436,346436,336175,335609,322591,315837,DO_PCR_R_bc006_PCR_F_bc008_R1.fastq.gz
304365,304365,294446,293478,283739,279410,DO_PCR_R_bc006_PCR_F_bc009_R1.fastq.gz
213942,213942,206051,205822,199314,195942,DO_PCR_R_bc006_PCR_F_bc010_R1.fastq.gz
216923,216923,210097,209779,203169,200548,DO_PCR_R_bc006_PCR_F_bc011_R1.fastq.gz
85763,85763,81677,81530,77687,77305,DO_PCR_R_bc006_PCR_F_bc012_R1.fastq.gz
207744,207744,201823,201872,196568,193602,DO_PCR_R_bc006_PCR_F_bc013_R1.fastq.gz
2529,2529,1161,1124,947,947,DO_PCR_R_bc006_PCR_F_bc014_R1.fastq.gz
276983,276983,273696,273941,270972,233398,DO_PCR_R_bc006_PCR_F_bc015_R1.fastq.gz
2430,2430,1105,1111,868,868,DO_PCR_R_bc006_PCR_F_bc016_R1.fastq.gz
