input,filtered,denoisedF,denoisedR,merged,nonchim,Sequencing_ID
4998,4986,4180,4198,3782,3782,sub_DO_PCR_R_bc003_PCR_F_bc020_R1.fastq
4994,4984,4184,4140,3949,3949,sub_DO_PCR_R_bc003_PCR_F_bc021_R1.fastq
4999,4988,4103,4121,3835,3835,sub_DO_PCR_R_bc003_PCR_F_bc022_R1.fastq
4997,4988,3837,3886,3507,3507,sub_DO_PCR_R_bc004_PCR_F_bc001_R1.fastq
4995,4989,4243,4244,3758,3758,sub_DO_PCR_R_bc004_PCR_F_bc002_R1.fastq
4998,4992,3759,3748,3356,3356,sub_DO_PCR_R_bc004_PCR_F_bc003_R1.fastq
4991,4978,3636,3700,3122,3122,sub_DO_PCR_R_bc004_PCR_F_bc004_R1.fastq
4995,4993,4380,4346,4080,4080,sub_DO_PCR_R_bc004_PCR_F_bc005_R1.fastq
4997,4992,4117,4139,3762,3762,sub_DO_PCR_R_bc004_PCR_F_bc006_R1.fastq
4996,4986,3949,3970,3384,3344,sub_DO_PCR_R_bc004_PCR_F_bc007_R1.fastq
4999,4997,4115,4076,3778,3778,sub_DO_PCR_R_bc004_PCR_F_bc008_R1.fastq
4992,4988,4471,4493,4281,4281,sub_DO_PCR_R_bc004_PCR_F_bc009_R1.fastq
4999,4993,4502,4483,4349,4349,sub_DO_PCR_R_bc004_PCR_F_bc010_R1.fastq
4992,4988,3954,3946,3490,3490,sub_DO_PCR_R_bc004_PCR_F_bc011_R1.fastq
4993,4990,4441,4407,4212,4212,sub_DO_PCR_R_bc004_PCR_F_bc012_R1.fastq
4992,4989,4010,4017,3614,3614,sub_DO_PCR_R_bc004_PCR_F_bc013_R1.fastq
4997,4995,4063,4049,3737,3718,sub_DO_PCR_R_bc004_PCR_F_bc014_R1.fastq
4993,4990,4343,4345,4037,4005,sub_DO_PCR_R_bc004_PCR_F_bc015_R1.fastq
4999,4995,4161,4175,3844,3844,sub_DO_PCR_R_bc004_PCR_F_bc016_R1.fastq
4993,4990,3816,3848,3263,3263,sub_DO_PCR_R_bc004_PCR_F_bc017_R1.fastq
4996,4993,3750,3839,2954,2937,sub_DO_PCR_R_bc004_PCR_F_bc019_R1.fastq
4996,4992,4551,4553,4409,4409,sub_DO_PCR_R_bc004_PCR_F_bc020_R1.fastq
4996,4992,4392,4321,3905,3905,sub_DO_PCR_R_bc004_PCR_F_bc021_R1.fastq
4997,4993,4030,4047,3544,3529,sub_DO_PCR_R_bc004_PCR_F_bc022_R1.fastq
4998,4991,4510,4555,4240,4240,sub_DO_PCR_R_bc005_PCR_F_bc001_R1.fastq
4999,4998,4023,4014,3705,3705,sub_DO_PCR_R_bc005_PCR_F_bc003_R1.fastq
4995,4990,4675,4661,4411,4396,sub_DO_PCR_R_bc005_PCR_F_bc004_R1.fastq
4996,4987,4398,4398,4065,4065,sub_DO_PCR_R_bc005_PCR_F_bc006_R1.fastq
4999,4994,4384,4343,4113,4095,sub_DO_PCR_R_bc005_PCR_F_bc007_R1.fastq
4999,4992,4432,4434,4076,4056,sub_DO_PCR_R_bc005_PCR_F_bc008_R1.fastq
4999,4996,4141,4109,3619,3619,sub_DO_PCR_R_bc005_PCR_F_bc009_R1.fastq
4994,4988,4355,4318,4045,4023,sub_DO_PCR_R_bc005_PCR_F_bc010_R1.fastq
4996,4989,3913,3894,3400,3400,sub_DO_PCR_R_bc005_PCR_F_bc011_R1.fastq
4995,4989,4014,4004,3527,3527,sub_DO_PCR_R_bc005_PCR_F_bc012_R1.fastq
4998,4995,4462,4477,4347,4347,sub_DO_PCR_R_bc005_PCR_F_bc013_R1.fastq
4998,4994,4264,4287,3887,3887,sub_DO_PCR_R_bc005_PCR_F_bc014_R1.fastq
4996,4988,4043,4042,3633,3633,sub_DO_PCR_R_bc005_PCR_F_bc015_R1.fastq
4991,4986,4341,4329,3912,3912,sub_DO_PCR_R_bc005_PCR_F_bc016_R1.fastq
