input,filtered,denoisedF,denoisedR,merged,nonchim,Sequencing_ID
212816,212816,210369,209295,204178,199292,DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz
161486,161486,160031,158724,150254,148556,DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz
199707,199707,197313,195882,186495,185627,DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz
130414,130414,127169,125564,115958,114905,DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz
211509,211509,206008,203337,187858,184297,DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz
277558,277558,273927,270941,245481,244360,DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz
153105,153105,151928,150817,145342,142707,DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz
118317,118317,116117,113676,106279,105474,DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz
255668,255668,252310,249903,236080,231750,DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz
219596,219596,217768,216620,211127,207720,DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz
168033,168033,166649,166366,164996,164704,DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz
181846,181846,179946,178383,173386,171689,DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz
274132,274132,271303,269288,259903,253907,DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz
205588,205588,203526,200180,186062,184430,DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz
172695,172695,171078,170102,165046,163708,DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz
170325,170325,168911,167398,161640,160367,DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz
169566,169566,167490,166497,156392,155158,DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz
291891,291891,290593,289946,287427,286744,DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz
274809,274809,271980,268721,253993,250537,DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz
269125,269125,267009,265355,253248,251879,DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz
89788,89788,88174,86176,78207,78041,DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz
339259,339259,337362,334882,331077,329479,DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz
909021,909021,906806,905438,879310,879310,DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz
350054,350054,348666,347064,340632,339840,DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz
415051,415051,413832,411761,404306,404091,DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz
1205147,1205147,1202054,1193385,1172004,1171532,DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz
313628,313628,311130,309349,297266,296811,DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz
104331,104331,102385,101051,95852,95852,DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz
187844,187844,186375,182591,178754,178754,DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz
4976,4976,3502,3165,2718,2718,DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz
384923,384923,382593,380215,372114,371533,DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz
376528,376528,375233,373416,367042,366571,DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz
141809,141809,140208,139814,136974,136974,DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz
206824,206824,205640,205242,204164,204139,DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz
275622,275622,274215,270932,267391,267334,DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz
256200,256200,253833,252082,244646,244469,DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz
1639831,1639831,1637926,1632310,1557003,1553756,DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz
253049,253049,251385,250009,242150,240960,DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz
223055,223055,221317,220666,214493,214426,DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz
260350,260350,258438,257449,253119,252634,DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz
432942,432942,430854,428070,420866,420839,DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz
1928585,1928585,1926050,1920482,1916078,1915093,DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz
299209,299209,296232,294040,284393,284224,DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz
242230,242230,239453,236816,231193,231191,DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz
297877,297877,276008,275879,269227,269222,DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz
314626,314626,311799,310512,303064,303064,DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz
80040,80040,78501,78215,77686,77672,DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz
2419565,2419565,2414180,2409754,2399261,2397417,DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz
455020,455020,452732,450440,438859,438859,DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz
1410263,1410263,1407777,1403048,1382524,1381960,DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz
357172,357172,355227,347493,337529,337529,DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz
4872,4872,3578,3579,3284,3284,DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz
2466968,2466968,2463659,2459412,2457123,2450187,DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz
4636,4636,3461,3526,3010,3010,DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz
