Animal_biotrophic_capacity_template,,animal-associated,animal-associated/opportunistic_human_parasite,animal_parasite,animal_parasite/opportunistic_human_parasite,arthropod-associated,arthropod_parasite,fish_parasite,invertebrate-associated,invertebrate_parasite,nematophagous,opportunistic_animal_parasite,opportunistic_animal_parasite_G._destructans,opportunistic_human_parasite,vertebrate-associated,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,4.786116e-01,5.602384e-05,9.065675e-04,3.651226e-02,7.028445e-04,0.000000e+00,1.018615e-05,0.000000e+00,0.000000e+00,2.246046e-03,7.079376e-04,2.037230e-05,9.676844e-05,4.016909e-02,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.3365011583,0.0000000000,0.0003279466,0.0100616819,0.0065868431,0.0000000000,0.0007535795,0.0000000000,0.0026096179,0.0025607748,0.0118967875,0.0000000000,0.0001465293,0.0200605655,0.0000000000,0.6084945156
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.4027440727,0.0000000000,0.0027529174,0.0856113080,0.0045108044,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001326707,0.0260089884,0.0002321738,0.0070094362,0.2523783990,0.0000000000,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.4024261748,0.0000000000,0.0067342844,0.0029136088,0.0046910933,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018416206,0.0671321111,0.0005772244,0.0000000000,0.0575025425,0.0000000000,0.4561813401
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,5.611820e-01,8.496321e-05,1.144738e-02,4.923901e-02,3.936629e-03,1.132843e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.775465e-04,1.427382e-03,4.395430e-03,0.000000e+00,7.060443e-02,0.000000e+00,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,6.813458e-01,0.000000e+00,0.000000e+00,1.186668e-02,4.365529e-04,0.000000e+00,7.135961e-05,0.000000e+00,3.651933e-04,1.091382e-04,1.847374e-02,0.000000e+00,4.071695e-04,7.001637e-03,0.000000e+00,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,7.352393e-01,0.000000e+00,0.000000e+00,3.118334e-04,2.126137e-05,0.000000e+00,4.535758e-04,0.000000e+00,0.000000e+00,7.937577e-04,1.630038e-04,0.000000e+00,0.000000e+00,3.621519e-03,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.4054998511,0.0000000000,0.0040107217,0.0039511566,0.0072669513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007048546,0.0533207585,0.0002978259,0.0000000000,0.0238856349,0.0000000000,0.5010622456
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,6.653800e-01,0.000000e+00,2.051259e-03,1.107680e-02,4.014293e-03,0.000000e+00,8.381490e-05,0.000000e+00,3.529048e-05,2.646786e-05,1.468966e-03,3.661388e-04,3.308483e-04,4.117958e-02,0.000000e+00,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8321491444,0.0000000000,0.0000000000,0.0001121607,0.0006534577,0.0001560496,0.0000000000,0.0000000000,0.0000585186,0.0002779634,0.0001658027,0.0000000000,0.0000000000,0.0041840800,0.0000000000,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,2.494327e-01,0.000000e+00,0.000000e+00,1.421217e-03,8.295516e-04,0.000000e+00,1.567608e-03,0.000000e+00,0.000000e+00,8.539501e-05,1.158932e-04,0.000000e+00,3.110818e-04,9.393451e-04,0.000000e+00,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.4968841349,0.0000000000,0.0001126573,0.0604673501,0.0011740082,0.0000177880,0.0000000000,0.0000000000,0.0001897387,0.0015297682,0.0047078914,0.0000000000,0.0000177880,0.0131216166,0.0000000000,0.4217772586
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.7974940630,0.0000000000,0.0000799597,0.0035222248,0.0002678650,0.0000000000,0.0004557703,0.0000000000,0.0000000000,0.0015432222,0.0014272807,0.0000000000,0.0000000000,0.0034182772,0.0001399295,0.1916514077
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.4168540517,0.0000000000,0.0000000000,0.0306939477,0.0270727203,0.0000000000,0.0008369555,0.0000000000,0.0028400690,0.0004798545,0.0300801803,0.0000000000,0.0002622461,0.0226982329,0.0000000000,0.4681817421
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,8.306101e-01,5.591451e-05,0.000000e+00,4.448310e-03,1.522117e-03,0.000000e+00,1.056163e-04,0.000000e+00,1.180417e-04,8.076541e-04,4.721670e-04,0.000000e+00,0.000000e+00,8.213221e-03,0.000000e+00,1.536469e-01
