Aquatic_habitat_template,,freshwater,marine,non-aquatic,partly_aquatic,partly_freshwater_(partly_non-aquatic),partly_marine_(partly_non-aquatic),NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,0.0010084290,0.0160431893,0.0000000000,0.1176347755,0.4088466729,0.0163946115,0.0001120477,0.4399602740
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.1067291859,0.0007884674,0.0000000000,0.1945979514,0.0513131821,0.0379022579,0.0001744397,0.6084945156
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.0342069332,0.0135876926,0.0000000000,0.1487349294,0.5035793454,0.0809844167,0.0002874532,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.0258193379,0.0117918694,0.0000000000,0.2116580999,0.2883373189,0.0054332390,0.0007787948,0.4561813401
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.0267973967,0.0054999519,0.0004984508,0.3036188664,0.2784131138,0.0424419560,0.0453363694,0.2973938951
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.539168031,0.001746212,0.000000000,0.119145364,0.046925240,0.009902195,0.003190194,0.279922764
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.0006661895,0.0011693751,0.0000000000,0.7107036803,0.0255349005,0.0025301026,0.0000000000,0.2593957520
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.018395711,0.017134915,0.000168768,0.263000099,0.197468480,0.002769781,0.000000000,0.501062246
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.1226609026,0.0005161233,0.0000000000,0.4757422030,0.1180863735,0.0082094490,0.0007984472,0.2739865014
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.006749145,0.000000000,0.000000000,0.814510663,0.015965825,0.000531544,0.000000000,0.162242823
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.0003293808,0.0000000000,0.0000000000,0.0160359635,0.2348240863,0.0035133948,0.0000000000,0.7452971746
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,1.208991e-02,3.557601e-04,0.000000e+00,4.691171e-01,9.502351e-02,1.612779e-03,2.371734e-05,4.217773e-01
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.0036901402,0.0006396776,0.0000000000,0.7664936872,0.0373171921,0.0002078952,0.0000000000,0.1916514077
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.0965679245,0.0003068837,0.0000000000,0.1386779451,0.0905251059,0.2057403987,0.0000000000,0.4681817421
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.006262425,0.000000000,0.000000000,0.806461233,0.031243787,0.002385686,0.000000000,0.153646869
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,5.156638e-03,1.710402e-03,0.000000e+00,6.218232e-01,7.520681e-02,3.687855e-04,5.086696e-05,2.956833e-01
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.0618025920,0.0003090458,0.0000000000,0.6057298413,0.0726257718,0.0113820924,0.0000000000,0.2481506566
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.0264020381,0.0000000000,0.0000000000,0.0021229709,0.5104323843,0.0001333436,0.0000000000,0.4609092632
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,5.859154e-02,2.891647e-03,0.000000e+00,5.382134e-01,1.115548e-01,4.341957e-02,7.341276e-05,2.452557e-01
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.3577331807,0.0038043722,0.0000000000,0.2006704493,0.2141446069,0.0536726040,0.0004521256,0.1695226613
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,2.820178e-01,5.302876e-04,0.000000e+00,2.434292e-01,1.145149e-01,8.756544e-03,6.798559e-05,3.506833e-01
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,0.0019682448,0.0151184467,0.0000000000,0.1471530854,0.6673849893,0.0148643809,0.0002999813,0.1532108716
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.0825108252,0.0001585146,0.0000000000,0.5294956842,0.0797636194,0.0103673090,0.0006272159,0.2970768317
