Ectomycorrhiza_lineage_template,,/cantharellus,/cenococcum,/clavulina,/coltricia,/cortinarius,/densospora,/elaphomyces,/endogone3,/entoloma,/genea-humaria,/geopora,/hebeloma-alnicola,/hysterangium,/inocybe,/laccaria,/marcelleina-peziza_gerardii,/otidea,/pachyphloeus-amylascus,/paralyophyllum,/paxillus-gyrodon,/phaeohelotium,/pisolithus-scleroderma,/pseudotomentella,/pulvinula,/pustularia,/russula-lactarius,/sebacina,/sphaerosporella,/sphaerosporella (T. woolhopeia clade) or /wilcoxina (T. hybrida group),/suillus-rhizopogon,/terfezia-peziza_depressa,/tomentella-thelephora,/tuber-helvella,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,5.576867e-01,0.000000e+00,8.148922e-05,1.273269e-04,0.000000e+00,2.139092e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.319107e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.055846e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.597469e-04,0.000000e+00,5.602384e-05,0.000000e+00,0.000000e+00,2.037230e-05,0.000000e+00,2.546538e-05,1.426061e-04,7.639614e-05,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,3.489492e-01,0.000000e+00,5.156438e-03,9.070864e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.046638e-04,0.000000e+00,8.373106e-05,0.000000e+00,8.512657e-04,0.000000e+00,3.314354e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.093276e-05,2.023501e-03,1.081526e-03,6.084945e-01
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,7.807506e-01,0.000000e+00,0.000000e+00,1.326707e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.869563e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.658384e-04,0.000000e+00,1.271428e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.547825e-04,1.105589e-05,2.186192e-01
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,4.844287e-01,0.000000e+00,1.864526e-02,0.000000e+00,0.000000e+00,1.191098e-04,0.000000e+00,2.198950e-04,0.000000e+00,2.748688e-04,0.000000e+00,9.162292e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.748688e-05,0.000000e+00,1.557590e-04,3.023556e-04,0.000000e+00,6.413604e-05,0.000000e+00,2.382196e-04,0.000000e+00,9.162292e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.556279e-03,0.000000e+00,4.517010e-03,3.216881e-02,4.561813e-01
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,6.968343e-01,0.000000e+00,0.000000e+00,3.964950e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.706962e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.832107e-04,0.000000e+00,2.775465e-04,0.000000e+00,9.062742e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.869191e-04,1.869191e-04,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,6.552953e-01,0.000000e+00,9.990345e-04,1.804978e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.204718e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.458129e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.938337e-05,0.000000e+00,2.644503e-03,0.000000e+00,1.343240e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.007430e-04,6.800151e-03,2.810729e-02,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,5.024769e-02,0.000000e+00,1.458104e-01,4.322436e-02,0.000000e+00,1.417424e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.294803e-02,2.026917e-03,3.401819e-04,0.000000e+00,3.894019e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.241664e-02,3.006357e-02,3.411032e-02,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,3.759754e-01,0.000000e+00,3.638439e-02,2.998114e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.956517e-05,0.000000e+00,1.038420e-02,3.971012e-05,0.000000e+00,0.000000e+00,1.886231e-04,4.963765e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.927529e-06,0.000000e+00,5.956517e-04,0.000000e+00,2.362752e-03,0.000000e+00,0.000000e+00,0.000000e+00,7.544922e-04,0.000000e+00,7.743473e-03,6.139184e-02,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,7.037143e-01,0.000000e+00,3.264370e-04,1.543959e-04,0.000000e+00,0.000000e+00,3.308483e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.323393e-05,0.000000e+00,0.000000e+00,2.646786e-05,0.000000e+00,9.969562e-04,0.000000e+00,4.940668e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.852750e-03,1.142529e-03,1.696149e-02,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.0284546700,0.0000000000,0.0203839796,0.1466817515,0.0000000000,0.0164388505,0.0000000000,0.0862076533,0.0000000000,0.0000000000,0.0237780585,0.0000000000,0.0000000000,0.0000000000,0.0000390124,0.0000000000,0.0191404593,0.0000000000,0.0069880963,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003754944,0.0000000000,0.0105821138,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1519923146,0.2632995714,0.0633951517,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,2.523972e-01,0.000000e+00,3.720783e-04,3.903772e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.319573e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.659786e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.269751e-05,0.000000e+00,1.463915e-04,0.000000e+00,7.929537e-05,0.000000e+00,0.000000e+00,1.280925e-04,7.929537e-04,2.439858e-04,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,1.236266e-01,0.000000e+00,1.524728e-01,2.429723e-01,5.929334e-05,0.000000e+00,0.000000e+00,3.018031e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.522268e-05,0.000000e+00,0.000000e+00,9.611451e-03,0.000000e+00,0.000000e+00,2.561472e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.929334e-05,0.000000e+00,4.743467e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.097170e-02,2.757140e-03,4.217773e-01
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.0517339261,0.0000000000,0.0384965977,0.0619127960,0.0000000000,0.3461935185,0.0000000000,0.0005797078,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1555336111,0.0014032927,0.0002438771,0.0000000000,0.0847492864,0.0000000000,0.0000000000,0.0000000000,0.0001519234,0.0057131206,0.0583945691,0.0032423658,0.1916514077
