Hymenium_type_template,,closed,gills,hydnoid,none,other,poroid,smooth,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,0.0520104917,0.0906822175,0.2925310041,0.0000000000,0.0333087168,0.0001171407,0.0000000000,0.0913901551,0.4399602740
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.08940383,0.07810014,0.11954701,0.00000000,0.08616623,0.00000000,0.00000000,0.01828826,0.60849452
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.3349825040,0.2690396298,0.0011940365,0.0000000000,0.0669047369,0.0004035401,0.0000000000,0.1088563231,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.046223761,0.105036512,0.001209423,0.000000000,0.288465591,0.000000000,0.000000000,0.102883373,0.456181340
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,1.533133e-01,2.342209e-01,5.186154e-02,0.000000e+00,1.816570e-01,2.152401e-04,5.097793e-05,8.128714e-02,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.01802880,0.07674516,0.03912186,0.00000000,0.55964824,0.00000000,0.00000000,0.02653318,0.27992276
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.02167242,0.06795841,0.39332818,0.00000000,0.14785863,0.00000000,0.00000000,0.10978661,0.25939575
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.03397200,0.17535987,0.01954730,0.00000000,0.18747146,0.00000000,0.00000000,0.08258711,0.50106225
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.11770700,0.09655036,0.04267943,0.00000000,0.38328113,0.00000000,0.00000000,0.08579558,0.27398650
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.004262105,0.300215056,0.027245286,0.000000000,0.025055715,0.000000000,0.000000000,0.480979016,0.162242823
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.003635388,0.016420241,0.229852877,0.000000000,0.001134534,0.000000000,0.000000000,0.003659786,0.745297175
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.0199284922,0.0193829935,0.0099909281,0.0000000000,0.2332718659,0.0000000000,0.0001541627,0.2954942989,0.4217772586
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,2.712633e-02,1.783381e-01,4.315905e-01,0.000000e+00,4.668847e-02,1.199396e-05,0.000000e+00,1.245932e-01,1.916514e-01
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.07260310,0.15283365,0.01202426,0.00000000,0.24445796,0.00000000,0.00000000,0.04989929,0.46818174
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.01749503,0.05194458,0.12620527,0.00000000,0.11423956,0.00000000,0.00000000,0.53646869,0.15364687
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.03741265,0.31634801,0.17617773,0.00000000,0.10910964,0.00000000,0.00000000,0.06526867,0.29568330
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.01017879,0.09932865,0.01710930,0.00000000,0.09947331,0.00000000,0.00000000,0.52575930,0.24815066
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.0070496670,0.0030318130,0.4678641860,0.0000000000,0.0607239857,0.0000000000,0.0000000000,0.0004210851,0.4609092632
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,0.116840478,0.134006827,0.005656861,0.000000000,0.070994213,0.000000000,0.000000000,0.427245920,0.245255701
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.09964278,0.21550506,0.03135959,0.00000000,0.39168741,0.00000000,0.00000000,0.09228250,0.16952266
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.022244884,0.196886260,0.004215106,0.000000000,0.395295397,0.000000000,0.000000000,0.030675097,0.350683255
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,0.0642174314,0.0807439537,0.5532023007,0.0000000000,0.0367354685,0.0002510048,0.0002877372,0.1113512322,0.1532108716
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.08877956,0.07318241,0.44201275,0.00000000,0.07393051,0.00000000,0.00000000,0.02501793,0.29707683
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,0.4640289373,0.0902746611,0.0018724866,0.0000000000,0.0352384151,0.0001159158,0.0000000000,0.1022466867,0.3062228972
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,2.052846e-01,1.702945e-01,4.031723e-03,7.517196e-06,3.959633e-01,0.000000e+00,7.517196e-06,6.897779e-02,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,0.01851974,0.14121910,0.04170300,0.00000000,0.06781615,0.00000000,0.00000000,0.53842441,0.19231760
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,2.247823e-01,3.221043e-01,6.431064e-02,1.732880e-05,1.715413e-01,3.361787e-04,2.426032e-05,5.667904e-02,1.602048e-01
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.04815118,0.21677171,0.10332552,0.00000000,0.12137280,0.00000000,0.00000000,0.12022199,0.39015681
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,0.05769698,0.10759340,0.51619094,0.00000000,0.13797716,0.00000000,0.00000000,0.08243635,0.09810518
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.17359667,0.09251559,0.08419958,0.00000000,0.25103950,0.00000000,0.00000000,0.18918919,0.20945946
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,0.28515927,0.15702531,0.06746404,0.00000000,0.13302780,0.00000000,0.00000000,0.04372826,0.31359532
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,0.00921769,0.18320399,0.14234594,0.00000000,0.05560800,0.00000000,0.00000000,0.47875184,0.13087254
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,4.859160e-02,3.636256e-02,3.922436e-02,0.000000e+00,3.371392e-01,0.000000e+00,2.950309e-05,4.607646e-01,7.788817e-02
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,0.01617296,0.03369530,0.85204009,0.00000000,0.01284874,0.00000000,0.00000000,0.03451774,0.05072517
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,0.03893711,0.02502346,0.03712441,0.00000000,0.34165690,0.00000000,0.00000000,0.41836285,0.13889527
DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz,4.063923e-02,1.045044e-01,6.982850e-01,0.000000e+00,3.155386e-02,0.000000e+00,2.058308e-05,8.439062e-02,4.060630e-02
DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz,0.16635124,0.21381080,0.02893704,0.00000000,0.06963242,0.00000000,0.00000000,0.18642198,0.33484652
DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz,0.02111863,0.05527903,0.50975414,0.00000000,0.10039820,0.00000000,0.00000000,0.19592769,0.11752231
DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz,0.13487116,0.33626388,0.13254369,0.00000000,0.07302341,0.00000000,0.00000000,0.04267198,0.28062587
DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz,0.1761847293,0.4120403894,0.0468702229,0.0000643656,0.1415198326,0.0000000000,0.0000160914,0.0185815432,0.2047228256
DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz,1.677746e-02,1.217743e-01,3.378075e-01,0.000000e+00,5.208054e-02,7.184183e-05,0.000000e+00,1.237595e-01,3.477288e-01
DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz,0.006948755,0.003736126,0.916308473,0.000000000,0.006530376,0.000000000,0.000000000,0.000683004,0.065793265
DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz,0.12034572,0.16882471,0.02476559,0.00000000,0.04526519,0.00000000,0.00000000,0.20542910,0.43536969
DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz,0.01149255,0.05812693,0.34625771,0.00000000,0.06971561,0.00000000,0.00000000,0.33912622,0.17528098
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.007834032,0.142832534,0.265132564,0.000000000,0.038076693,0.000000000,0.000000000,0.396288945,0.149835231
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,0.2142691318,0.2185118517,0.0534999916,0.0000000000,0.0669044295,0.0000000000,0.0001177599,0.0987870733,0.3479097623
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,0.030667208,0.010890791,0.799654011,0.000000000,0.012712475,0.000000000,0.000000000,0.002162431,0.143913083
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,4.591343e-02,1.590666e-02,4.643392e-01,8.105197e-05,7.333449e-02,0.000000e+00,0.000000e+00,4.696419e-03,3.957287e-01
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.21851614,0.14940774,0.01634911,0.00000000,0.09202975,0.00000000,0.00000000,0.05566778,0.46802948
DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz,2.139980e-01,3.460949e-01,3.957720e-03,6.901311e-05,1.533115e-01,0.000000e+00,0.000000e+00,2.464640e-02,2.579223e-01
DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz,0.034132973,0.088482093,0.834030613,0.000000000,0.006308247,0.000000000,0.000000000,0.019002107,0.018043967
DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz,0.08277901,0.05136733,0.37287509,0.00000000,0.12158167,0.00000000,0.00000000,0.19660015,0.17479675
DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz,0.3541387684,0.0001518754,0.0008504207,0.0000000000,0.6439444169,0.0000000000,0.0000000000,0.0002335289,0.0006809898
DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz,0.06129666,0.07269155,0.30451866,0.00000000,0.09941061,0.00000000,0.00000000,0.30176817,0.16031434
