Plant_pathogenic_capacity_template,,algal_parasite,leaf/fruit/seed_pathogen,"leaf/fruit/seed_pathogen,algal_parasite",moss-associated,other_plant_pathogen,root-associated,root_pathogen,unspecified_plant_pathogen,wood_pathogen,"wood_pathogen,leaf/fruit/seed_pathogen",NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,0.4452214215,0.0000000000,0.0892306909,0.0000000000,0.0002953984,0.0018895312,0.0171025491,0.0000000000,0.0000000000,0.0063001350,0.0000000000,0.4399602740
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.29875241,0.00000000,0.04870356,0.00000000,0.00000000,0.00000000,0.03323425,0.00000000,0.00000000,0.01081526,0.00000000,0.60849452
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.4667632215,0.0001713663,0.2846505509,0.0000000000,0.0004090680,0.0001271428,0.0022830419,0.0000000000,0.0000000000,0.0269763791,0.0000000000,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,4.545688e-01,3.069368e-03,2.918190e-02,0.000000e+00,0.000000e+00,5.497375e-05,4.793711e-02,0.000000e+00,0.000000e+00,8.346848e-03,6.596850e-04,4.561813e-01
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.4782918996,0.0013707398,0.2004055577,0.0000000000,0.0001869191,0.0036590823,0.0150271599,0.0000000000,0.0000000000,0.0036647465,0.0000000000,0.2973938951
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.6940603618,0.0002812408,0.0179322503,0.0000000000,0.0000000000,0.0000000000,0.0071653444,0.0000000000,0.0000000000,0.0006380389,0.0000000000,0.2799227637
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.717464795,0.000000000,0.005435823,0.000000000,0.000000000,0.000000000,0.014103373,0.000000000,0.000000000,0.003600258,0.000000000,0.259395752
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.3984115954,0.0000000000,0.0493795294,0.0000000000,0.0000000000,0.0000694927,0.0361362057,0.0000000000,0.0000000000,0.0146431053,0.0002978259,0.5010622456
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.2551457938,0.0009572544,0.4436719749,0.0000000000,0.0000000000,0.0005028894,0.0032246680,0.0000000000,0.0001279280,0.0223829900,0.0000000000,0.2739865014
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8149593052,0.0000000000,0.0166436656,0.0000000000,0.0000000000,0.0000000000,0.0055982796,0.0000000000,0.0000000000,0.0005559267,0.0000000000,0.1622428229
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,2.525131e-01,0.000000e+00,1.817694e-03,0.000000e+00,0.000000e+00,4.269751e-05,2.805836e-04,0.000000e+00,0.000000e+00,4.879715e-05,0.000000e+00,7.452972e-01
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.5647868701,0.0006344388,0.0101925255,0.0000000000,0.0000000000,0.0000000000,0.0018973869,0.0000000000,0.0000000000,0.0005751454,0.0001363747,0.4217772586
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.7736980562,0.0000000000,0.0095671781,0.0000000000,0.0000000000,0.0000000000,0.0205416470,0.0001319335,0.0000000000,0.0044097775,0.0000000000,0.1916514077
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.43144498,0.00000000,0.07145368,0.00000000,0.00000000,0.00000000,0.01393252,0.00000000,0.00000000,0.01498708,0.00000000,0.46818174
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.817333499,0.000000000,0.013245527,0.000000000,0.000000000,0.000000000,0.015593936,0.000000000,0.000000000,0.000180169,0.000000000,0.153646869
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,6.737520e-01,0.000000e+00,1.701500e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.219535e-02,6.358370e-06,2.543348e-05,1.322541e-03,0.000000e+00,2.956833e-01
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,6.884884e-01,5.852145e-04,6.016531e-02,0.000000e+00,0.000000e+00,3.945266e-05,2.472367e-03,0.000000e+00,0.000000e+00,9.863165e-05,0.000000e+00,2.481507e-01
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.5046635179,0.0000000000,0.0020808624,0.0000000000,0.0000000000,0.0000000000,0.0319322895,0.0000000000,0.0000000000,0.0004140671,0.0000000000,0.4609092632
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,0.6323285302,0.0005016538,0.0757048644,0.0000000000,0.0003833777,0.0257189352,0.0013826069,0.0000000000,0.0000000000,0.0187243310,0.0000000000,0.2452557007
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,6.191310e-01,6.109805e-05,1.950902e-01,0.000000e+00,0.000000e+00,1.120131e-03,5.783949e-03,0.000000e+00,8.146407e-06,9.282831e-03,0.000000e+00,1.695227e-01
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.622217690,0.000000000,0.015405534,0.000000000,0.000000000,0.000000000,0.010197838,0.000000000,0.000000000,0.001495683,0.000000000,0.350683255
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,0.7377581600,0.0001530517,0.0772758022,0.0000000000,0.0003214086,0.0008417843,0.0266616058,0.0000000000,0.0000000000,0.0037773159,0.0000000000,0.1532108716
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.61775751,0.00000000,0.04419363,0.00000000,0.00000000,0.00000000,0.03510471,0.00000000,0.00000000,0.00586732,0.00000000,0.29707683
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,5.902226e-01,2.407483e-04,7.563063e-02,0.000000e+00,3.031645e-04,8.619383e-05,9.451599e-04,0.000000e+00,0.000000e+00,2.634856e-02,0.000000e+00,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,7.611511e-01,4.572961e-03,3.056241e-02,0.000000e+00,0.000000e+00,0.000000e+00,4.120927e-02,7.016049e-05,2.255159e-05,5.389829e-03,1.588634e-03,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,7.792170e-01,3.679475e-05,1.733632e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.075716e-03,0.000000e+00,0.000000e+00,4.016618e-03,0.000000e+00,1.923176e-01
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,0.6385350926,0.0045852005,0.1752461556,0.0000000000,0.0001005070,0.0008040563,0.0109275414,0.0000000000,0.0000000000,0.0095966895,0.0000000000,0.1602047571
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.5767278281,0.0004302093,0.0197681172,0.0000000000,0.0000000000,0.0000000000,0.0106046592,0.0000000000,0.0000000000,0.0023123750,0.0000000000,0.3901568113
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,0.861272133,0.000000000,0.011390383,0.000000000,0.000000000,0.000000000,0.026043225,0.000000000,0.000000000,0.003189081,0.000000000,0.098105178
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.698544699,0.000000000,0.068087318,0.000000000,0.000000000,0.000000000,0.007796258,0.000000000,0.002079002,0.014033264,0.000000000,0.209459459
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,4.416093e-01,3.680600e-03,2.016833e-01,0.000000e+00,2.246529e-03,1.142349e-03,7.721081e-03,2.726371e-05,4.141357e-03,2.415292e-02,0.000000e+00,3.135953e-01
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,8.570942e-01,0.000000e+00,7.340673e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.514171e-03,1.646506e-05,0.000000e+00,1.619064e-04,0.000000e+00,1.308725e-01
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,0.7998141305,0.0000000000,0.0345112444,0.0000000000,0.0000000000,0.0000000000,0.0865989571,0.0000000000,0.0000000000,0.0008408382,0.0003466614,0.0778881685
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,0.937612962,0.000000000,0.001211494,0.000000000,0.000000000,0.000000000,0.007677723,0.000000000,0.000000000,0.002772648,0.000000000,0.050725173
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,0.8484384834,0.0008743136,0.0066967903,0.0000000000,0.0000000000,0.0000000000,0.0046052210,0.0000000000,0.0000000000,0.0001846611,0.0003052561,0.1388952746
