Secondary_lifestyle,,algal_decomposer,algal_parasite,animal_decomposer,animal_parasite,arthropod-associated,bryophilous,dung_saprotroph,epiphyte,ericoid_mycorrhizal,foliar_endophyte,fungal_decomposer,insect-associated,litter_saprotroph,nematophagous,plant_pathogen,pollen_saprotroph,rock-inhabiting,root-associated,root_endophyte,root_endophyte_dark_septate,soil_saprotroph,unspecified_symbiotroph,vertebrate-associated,wood_saprotroph,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,3.424024e-01,0.000000e+00,0.000000e+00,1.981207e-03,6.111691e-04,0.000000e+00,0.000000e+00,7.779164e-02,1.731646e-04,0.000000e+00,1.232015e-02,1.426061e-04,0.000000e+00,5.033487e-02,0.000000e+00,3.636456e-02,0.000000e+00,2.546538e-05,1.702106e-02,0.000000e+00,8.148922e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.005653e-02,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,2.263530e-01,6.628709e-04,0.000000e+00,5.993748e-03,8.861537e-04,0.000000e+00,0.000000e+00,1.057105e-02,4.528455e-03,2.632644e-02,7.479974e-03,1.043847e-02,0.000000e+00,3.992576e-02,0.000000e+00,7.214826e-03,0.000000e+00,0.000000e+00,4.338664e-02,5.163415e-04,2.581708e-04,8.791761e-04,6.977588e-06,0.000000e+00,6.077479e-03,6.084945e-01
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.1861038480,0.0000000000,0.0001713663,0.0003095650,0.0004367078,0.0000000000,0.0000000000,0.0312715935,0.0035489417,0.0000000000,0.1932791226,0.0036263329,0.0000000000,0.1726322423,0.0000000000,0.0786460953,0.0000000000,0.0002321738,0.0077114854,0.0000000000,0.0012382600,0.0000000000,0.0000000000,0.0000000000,0.1021730358,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.1874513253,0.0006963342,0.0029594202,0.0028494727,0.0642185023,0.0000000000,0.0000000000,0.0000000000,0.1327157949,0.0000000000,0.0467460121,0.0005039260,0.0000000000,0.0355588540,0.0000000000,0.0019790550,0.0000000000,0.0006688473,0.0561740102,0.0019057567,0.0023180598,0.0023730335,0.0002748688,0.0000000000,0.0044253869,0.4561813401
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.3244008678,0.0002039117,0.0013594114,0.0001189485,0.0012404629,0.0000000000,0.0000000000,0.0096234997,0.0239766181,0.0052677191,0.1134655361,0.0119741485,0.0000000000,0.1286682866,0.0000000000,0.0255342770,0.0000000000,0.0046276629,0.0237557138,0.0047069619,0.0032059452,0.0032059452,0.0003002033,0.0000000000,0.0169699853,0.2973938951
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,1.260295e-01,1.746212e-03,2.812408e-04,1.136297e-02,7.765605e-04,0.000000e+00,0.000000e+00,1.690803e-02,5.339378e-03,0.000000e+00,1.424254e-02,1.007430e-04,0.000000e+00,1.595937e-02,0.000000e+00,1.061999e-03,0.000000e+00,0.000000e+00,5.250430e-01,0.000000e+00,1.595097e-04,7.555723e-05,1.385216e-04,0.000000e+00,8.521177e-04,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,7.074861e-01,4.039660e-04,0.000000e+00,1.247333e-03,1.417424e-05,0.000000e+00,0.000000e+00,1.275682e-04,9.284130e-04,0.000000e+00,3.600258e-03,0.000000e+00,0.000000e+00,7.384781e-03,0.000000e+00,2.834849e-04,0.000000e+00,0.000000e+00,1.381989e-03,1.406085e-02,7.087122e-06,1.155201e-03,0.000000e+00,0.000000e+00,2.523015e-03,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.1940037725,0.0003375360,0.0000000000,0.0046163010,0.0518713392,0.0000000000,0.0000000000,0.0000000000,0.0652834310,0.0000000000,0.0712101658,0.0002481882,0.0000000000,0.0424798968,0.0000000000,0.0013699990,0.0000000000,0.0002978259,0.0504020649,0.0005658692,0.0068996327,0.0047255038,0.0000000000,0.0000000000,0.0046262285,0.5010622456
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,1.226785e-01,1.720411e-04,5.867043e-04,3.087917e-04,2.779126e-04,0.000000e+00,0.000000e+00,2.373285e-03,3.401120e-03,3.087917e-05,3.406017e-01,1.698355e-03,0.000000e+00,1.437778e-01,0.000000e+00,5.178879e-03,0.000000e+00,5.073007e-04,6.103048e-02,0.000000e+00,2.333583e-03,1.195465e-02,1.720411e-04,0.000000e+00,2.892937e-02,2.739865e-01
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8173488148,0.0000000000,0.0000000000,0.0003754944,0.0000000000,0.0000000000,0.0000000000,0.0005510502,0.0001901855,0.0000000000,0.0006680874,0.0000292593,0.0000000000,0.0127326724,0.0000000000,0.0000877779,0.0000000000,0.0000000000,0.0038329684,0.0015263602,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004145068,0.1622428229
