Specific_hosts,,Fabaceae,Fragaria,"Mucorales,Ascomycota",Oncorhynchus,Pinaceae,Pinus,Poaceae,Rhizopoda,Stereum,Tectona,Thelebolales,algae,amoebae,angiosperms,mosses,snakes,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,5.597036e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.074461e-05,2.953984e-04,0.000000e+00,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.3909961205,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005093639,0.0000000000,0.0000000000,0.6084945156
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.7807450566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001050310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001216148,0.0004090680,0.0000000000,0.2186192295
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.5386877766,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025562794,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002015704,0.0023730335,0.0000000000,0.4561813401
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,7.013656e-01,0.000000e+00,0.000000e+00,9.062742e-05,0.000000e+00,0.000000e+00,7.363478e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.345953e-04,1.416054e-04,0.000000e+00,2.973939e-01
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.7200772,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2799228
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,7.405830e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.126137e-05,0.000000e+00,0.000000e+00,2.593958e-01
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.4957510176,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007544922,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002184056,0.0022138390,0.0000000000,0.5010622456
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.7254400282,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003705501,0.0000000000,0.0002029203,0.0000000000,0.0000000000,0.2739865014
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,8.376938e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.339515e-05,0.000000e+00,1.622428e-01
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.2547028,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7452972
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.57795592,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00026682,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42177726
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,8.079448e-01,1.199396e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.519234e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.398791e-05,0.000000e+00,0.000000e+00,7.596172e-05,0.000000e+00,1.399295e-04,1.916514e-01
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.5318183,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4681817
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,8.441476e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.212724e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.199304e-03,0.000000e+00,1.536469e-01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.7043167,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2956833
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.74047383,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01137552,0.00000000,0.24815066
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.5390907,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4609093
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,7.536431e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.223546e-05,1.088956e-03,0.000000e+00,2.452557e-01
