primary_photobiont,,chlorococcoid,cyanobacterial,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,5.599430e-01,0.000000e+00,9.676844e-05,4.399603e-01
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.3915055,0.0000000,0.0000000,0.6084945
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,7.769031e-01,4.389190e-03,8.844714e-05,2.186192e-01
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.5412990297,0.0006688473,0.0018507829,0.4561813401
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.699598407,0.001937161,0.001070536,0.297393895
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,7.198967e-01,5.456911e-05,1.259287e-04,2.799228e-01
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.7406042,0.0000000,0.0000000,0.2593958
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,4.988583e-01,7.942023e-05,0.000000e+00,5.010622e-01
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.7249327275,0.0003352596,0.0007455115,0.2739865014
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8377572,0.0000000,0.0000000,0.1622428
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.2547028,0.0000000,0.0000000,0.7452972
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.5782227,0.0000000,0.0000000,0.4217773
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.8083486,0.0000000,0.0000000,0.1916514
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,5.316509e-01,5.579703e-05,1.115941e-04,4.681817e-01
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,8.463096e-01,0.000000e+00,4.348907e-05,1.536469e-01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.7043167,0.0000000,0.0000000,0.2956833
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.7513233080,0.0000000000,0.0005260355,0.2481506566
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.5390907,0.0000000,0.0000000,0.4609093
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,0.7529538438,0.0012724878,0.0005179678,0.2452557007
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.8294060862,0.0003788079,0.0006924446,0.1695226613
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.6485009178,0.0001495683,0.0006662588,0.3506832551
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,0.8467891,0.0000000,0.0000000,0.1532109
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.7026255259,0.0000000000,0.0002976425,0.2970768317
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,6.926655e-01,1.093770e-03,1.783321e-05,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,0.8431035995,0.0003984114,0.0010649360,0.1554330531
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,0.8076824,0.0000000,0.0000000,0.1923176
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,0.8357437694,0.0030637319,0.0009877416,0.1602047571
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.6095312870,0.0003119017,0.0000000000,0.3901568113
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,0.90189482,0.00000000,0.00000000,0.09810518
