input,filtered,denoisedF,denoisedR,merged,nonchim,Sequencing_ID
4997,4997,3635,3464,2749,2749,sub_DO_PCR_R_bc001_PCR_F_bc001_R1.fastq
4993,4993,4556,4343,3946,3862,sub_DO_PCR_R_bc001_PCR_F_bc002_R1.fastq
4992,4992,4534,3913,3636,3636,sub_DO_PCR_R_bc001_PCR_F_bc003_R1.fastq
4995,4995,4274,4054,3156,3156,sub_DO_PCR_R_bc001_PCR_F_bc004_R1.fastq
4996,4996,4249,3950,3207,3207,sub_DO_PCR_R_bc001_PCR_F_bc006_R1.fastq
4994,4994,4519,4289,3925,3925,sub_DO_PCR_R_bc001_PCR_F_bc007_R1.fastq
4997,4997,3716,3607,2766,2766,sub_DO_PCR_R_bc001_PCR_F_bc008_R1.fastq
4994,4994,4406,4106,3430,3430,sub_DO_PCR_R_bc001_PCR_F_bc009_R1.fastq
4996,4996,3753,3646,2916,2916,sub_DO_PCR_R_bc001_PCR_F_bc010_R1.fastq
4994,4994,4819,4153,4041,4041,sub_DO_PCR_R_bc001_PCR_F_bc011_R1.fastq
4999,4999,3461,3432,3019,3019,sub_DO_PCR_R_bc001_PCR_F_bc013_R1.fastq
4997,4997,4279,3202,2785,2785,sub_DO_PCR_R_bc001_PCR_F_bc014_R1.fastq
4997,4997,4691,3558,3347,3347,sub_DO_PCR_R_bc001_PCR_F_bc015_R1.fastq
4992,4992,4606,4297,3904,3904,sub_DO_PCR_R_bc001_PCR_F_bc016_R1.fastq
4996,4996,4106,3914,3465,3465,sub_DO_PCR_R_bc001_PCR_F_bc017_R1.fastq
4996,4996,4465,3797,3241,3241,sub_DO_PCR_R_bc001_PCR_F_bc018_R1.fastq
4996,4996,4628,3896,3463,3463,sub_DO_PCR_R_bc001_PCR_F_bc020_R1.fastq
4995,4995,3177,3197,2437,2437,sub_DO_PCR_R_bc001_PCR_F_bc021_R1.fastq
4996,4996,4409,4052,3276,3276,sub_DO_PCR_R_bc001_PCR_F_bc022_R1.fastq
4998,4998,4535,4221,3597,3597,sub_DO_PCR_R_bc002_PCR_F_bc003_R1.fastq
4988,4988,4471,3818,3061,3061,sub_DO_PCR_R_bc002_PCR_F_bc006_R1.fastq
4996,4996,2829,3383,2196,2196,sub_DO_PCR_R_bc002_PCR_F_bc009_R1.fastq
4997,4997,3906,3443,2890,2890,sub_DO_PCR_R_bc002_PCR_F_bc010_R1.fastq
4998,4998,3167,3321,2424,2424,sub_DO_PCR_R_bc002_PCR_F_bc011_R1.fastq
4996,4996,4542,3721,3457,3457,sub_DO_PCR_R_bc002_PCR_F_bc012_R1.fastq
4999,4999,3884,4019,3368,3368,sub_DO_PCR_R_bc002_PCR_F_bc013_R1.fastq
4997,4997,4418,4238,3605,3605,sub_DO_PCR_R_bc002_PCR_F_bc014_R1.fastq
4995,4995,4615,4152,3683,3683,sub_DO_PCR_R_bc002_PCR_F_bc015_R1.fastq
4995,4995,3051,3537,2293,2293,sub_DO_PCR_R_bc002_PCR_F_bc016_R1.fastq
4767,4767,3419,3043,2691,2691,sub_DO_PCR_R_bc002_PCR_F_bc017_R1.fastq
4996,4996,4653,3967,3542,3542,sub_DO_PCR_R_bc002_PCR_F_bc018_R1.fastq
4998,4998,4234,3560,3278,3278,sub_DO_PCR_R_bc002_PCR_F_bc019_R1.fastq
4997,4997,3084,2918,2016,2016,sub_DO_PCR_R_bc002_PCR_F_bc020_R1.fastq
4999,4999,1738,2456,1040,1040,sub_DO_PCR_R_bc002_PCR_F_bc021_R1.fastq
4993,4993,4130,3091,2802,2802,sub_DO_PCR_R_bc002_PCR_F_bc022_R1.fastq
4997,4997,2763,3147,2059,2059,sub_DO_PCR_R_bc003_PCR_F_bc001_R1.fastq
4997,4997,4800,4319,3985,3985,sub_DO_PCR_R_bc003_PCR_F_bc002_R1.fastq
4993,4993,4749,3165,2912,2912,sub_DO_PCR_R_bc003_PCR_F_bc003_R1.fastq
4998,4998,3461,3188,2331,2331,sub_DO_PCR_R_bc003_PCR_F_bc004_R1.fastq
4999,4999,3880,3922,3240,3240,sub_DO_PCR_R_bc003_PCR_F_bc005_R1.fastq
4994,4994,4723,3240,3005,3005,sub_DO_PCR_R_bc003_PCR_F_bc006_R1.fastq
4997,4997,1473,2334,847,847,sub_DO_PCR_R_bc003_PCR_F_bc007_R1.fastq
4995,4995,3564,3805,2946,2946,sub_DO_PCR_R_bc003_PCR_F_bc008_R1.fastq
4994,4994,3447,2832,2187,2187,sub_DO_PCR_R_bc003_PCR_F_bc009_R1.fastq
4998,4998,3898,2884,2568,2568,sub_DO_PCR_R_bc003_PCR_F_bc010_R1.fastq
4998,4998,4628,4442,3859,3859,sub_DO_PCR_R_bc003_PCR_F_bc011_R1.fastq
4996,4996,2064,2446,1313,1313,sub_DO_PCR_R_bc003_PCR_F_bc012_R1.fastq
5000,5000,3073,3337,2465,2465,sub_DO_PCR_R_bc003_PCR_F_bc013_R1.fastq
4992,4992,3582,3548,2778,2778,sub_DO_PCR_R_bc003_PCR_F_bc014_R1.fastq
4997,4997,3658,3494,2771,2771,sub_DO_PCR_R_bc003_PCR_F_bc015_R1.fastq
4994,4994,2292,3488,1782,1782,sub_DO_PCR_R_bc003_PCR_F_bc016_R1.fastq
4767,4767,3554,3031,2713,2713,sub_DO_PCR_R_bc003_PCR_F_bc017_R1.fastq
4998,4998,1587,2540,1018,1018,sub_DO_PCR_R_bc003_PCR_F_bc018_R1.fastq
4636,4636,3493,3363,2859,2859,sub_DO_PCR_R_bc003_PCR_F_bc019_R1.fastq
