"","tid","Genus"
"Unclass_f__Gemmatimonadaceae","bt_1","Unclass_f__Gemmatimonadaceae"
"g__Bradyrhizobium","bt_2","g__Bradyrhizobium"
"g__Arthrobacter","bt_3","g__Arthrobacter"
"Unclass_o__Gaiellales","bt_4","Unclass_o__Gaiellales"
"Unclass_o__Subgroup 2","bt_5","Unclass_o__Subgroup 2"
"g__JG30a-KF-32","bt_6","g__JG30a-KF-32"
"g__Candidatus Udaeobacter","bt_7","g__Candidatus Udaeobacter"
"g__GOUTA6","bt_8","g__GOUTA6"
"Unclass_c__KD4-96","bt_9","Unclass_c__KD4-96"
"g__Adhaeribacter","bt_10","g__Adhaeribacter"
"Unclass_k__Bacteria","bt_11","Unclass_k__Bacteria"
"g__Bacillus","bt_12","g__Bacillus"
"Unclass_f__67-14","bt_13","Unclass_f__67-14"
"g__Staphylococcus","bt_14","g__Staphylococcus"
"Unclass_f__Xanthobacteraceae","bt_15","Unclass_f__Xanthobacteraceae"
"g__Blastococcus","bt_16","g__Blastococcus"
"g__Massilia","bt_17","g__Massilia"
"Unclass_o__Vicinamibacterales","bt_18","Unclass_o__Vicinamibacterales"
"g__Limosilactobacillus","bt_19","g__Limosilactobacillus"
"g__Acidothermus","bt_20","g__Acidothermus"
"Unclass_p__Desulfobacterota","bt_21","Unclass_p__Desulfobacterota"
"g__ADurb.Bin118","bt_22","g__ADurb.Bin118"
"g__Noviherbaspirillum","bt_23","g__Noviherbaspirillum"
"g__Conexibacter","bt_24","g__Conexibacter"
"g__Listeria","bt_25","g__Listeria"
"g__Caenimonas","bt_26","g__Caenimonas"
"g__Sphingomonas","bt_27","g__Sphingomonas"
"g__Solirubrobacter","bt_28","g__Solirubrobacter"
"Unclass_f__BIrii41","bt_29","Unclass_f__BIrii41"
"g__Gaiella","bt_30","g__Gaiella"
"g__Bryobacter","bt_31","g__Bryobacter"
"g__Escherichia-Shigella","bt_32","g__Escherichia-Shigella"
"Unclass_c__Subgroup 5","bt_33","Unclass_c__Subgroup 5"
"g__RB41","bt_34","g__RB41"
"Unclass_c__bacteriap25","bt_35","Unclass_c__bacteriap25"
"g__MND1","bt_36","g__MND1"
"g__Candidatus Solibacter","bt_37","g__Candidatus Solibacter"
"Unclass_o__Acidobacteriales","bt_38","Unclass_o__Acidobacteriales"
"Unclass_c__MB-A2-108","bt_39","Unclass_c__MB-A2-108"
"g__Catenulispora","bt_40","g__Catenulispora"
"g__Salmonella","bt_41","g__Salmonella"
"Unclass_c__Actinobacteria","bt_42","Unclass_c__Actinobacteria"
"g__Ellin6055","bt_43","g__Ellin6055"
"Unclass_c__Subgroup 18","bt_44","Unclass_c__Subgroup 18"
"g__Enterococcus","bt_45","g__Enterococcus"
"g__Phaselicystis","bt_46","g__Phaselicystis"
