"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"Unclass_f__Gemmatimonadaceae","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","Unclass_f__Gemmatimonadaceae",NA,NA,"Unclass_f__Gemmatimonadaceae"
"g__Bradyrhizobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium",NA,NA,"g__Bradyrhizobium"
"g__Arthrobacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter",NA,NA,"g__Arthrobacter"
"Unclass_o__Gaiellales","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__","Unclass_o__Gaiellales",NA,NA,"Unclass_o__Gaiellales"
"Unclass_o__Subgroup 2","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup 2","f__","Unclass_o__Subgroup 2",NA,NA,"Unclass_o__Subgroup 2"
"g__JG30a-KF-32","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__JG30a-KF-32",NA,NA,"g__JG30a-KF-32"
"g__Candidatus Udaeobacter","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","g__Candidatus Udaeobacter",NA,NA,"g__Candidatus Udaeobacter"
"g__GOUTA6","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__GOUTA6",NA,NA,"g__GOUTA6"
"Unclass_c__KD4-96","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","Unclass_c__KD4-96",NA,NA,"Unclass_c__KD4-96"
"g__Adhaeribacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Adhaeribacter",NA,NA,"g__Adhaeribacter"
"Unclass_k__Bacteria","k__Bacteria","p__","c__","o__","f__","Unclass_k__Bacteria",NA,NA,"Unclass_k__Bacteria"
"g__Bacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",NA,NA,"g__Bacillus"
"Unclass_f__67-14","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__67-14","Unclass_f__67-14",NA,NA,"Unclass_f__67-14"
"g__Staphylococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus",NA,NA,"g__Staphylococcus"
"Unclass_f__Xanthobacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","Unclass_f__Xanthobacteraceae",NA,NA,"Unclass_f__Xanthobacteraceae"
"g__Blastococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","g__Blastococcus",NA,NA,"g__Blastococcus"
"g__Massilia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia",NA,NA,"g__Massilia"
"Unclass_o__Vicinamibacterales","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__","Unclass_o__Vicinamibacterales",NA,NA,"Unclass_o__Vicinamibacterales"
"g__Limosilactobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus",NA,NA,"g__Limosilactobacillus"
"g__Acidothermus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Acidothermaceae","g__Acidothermus",NA,NA,"g__Acidothermus"
"Unclass_p__Desulfobacterota","k__Bacteria","p__Desulfobacterota","c__","o__","f__","Unclass_p__Desulfobacterota",NA,NA,"Unclass_p__Desulfobacterota"
"g__ADurb.Bin118","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__ADurb.Bin118",NA,NA,"g__ADurb.Bin118"
"g__Noviherbaspirillum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Noviherbaspirillum",NA,NA,"g__Noviherbaspirillum"
"g__Conexibacter","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Conexibacter",NA,NA,"g__Conexibacter"
"g__Listeria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Listeria",NA,NA,"g__Listeria"
"g__Caenimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Caenimonas",NA,NA,"g__Caenimonas"
"g__Sphingomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas",NA,NA,"g__Sphingomonas"
"g__Solirubrobacter","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Solirubrobacter",NA,NA,"g__Solirubrobacter"
"Unclass_f__BIrii41","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__BIrii41","Unclass_f__BIrii41",NA,NA,"Unclass_f__BIrii41"
"g__Gaiella","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__Gaiella",NA,NA,"g__Gaiella"
"g__Bryobacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Bryobacterales","f__Bryobacteraceae","g__Bryobacter",NA,NA,"g__Bryobacter"
"g__Escherichia-Shigella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella",NA,NA,"g__Escherichia-Shigella"
"Unclass_c__Subgroup 5","k__Bacteria","p__Acidobacteriota","c__Subgroup 5","o__","f__","Unclass_c__Subgroup 5",NA,NA,"Unclass_c__Subgroup 5"
"g__RB41","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Pyrinomonadales","f__Pyrinomonadaceae","g__RB41",NA,NA,"g__RB41"
"Unclass_c__bacteriap25","k__Bacteria","p__Myxococcota","c__bacteriap25","o__","f__","Unclass_c__bacteriap25",NA,NA,"Unclass_c__bacteriap25"
"g__MND1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__MND1",NA,NA,"g__MND1"
"g__Candidatus Solibacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Solibacterales","f__Solibacteraceae","g__Candidatus Solibacter",NA,NA,"g__Candidatus Solibacter"
"Unclass_o__Acidobacteriales","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__","Unclass_o__Acidobacteriales",NA,NA,"Unclass_o__Acidobacteriales"
"Unclass_c__MB-A2-108","k__Bacteria","p__Actinobacteriota","c__MB-A2-108","o__","f__","Unclass_c__MB-A2-108",NA,NA,"Unclass_c__MB-A2-108"
"g__Catenulispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Catenulisporales","f__Catenulisporaceae","g__Catenulispora",NA,NA,"g__Catenulispora"
"g__Salmonella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella",NA,NA,"g__Salmonella"
"Unclass_c__Actinobacteria","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__","f__","Unclass_c__Actinobacteria",NA,NA,"Unclass_c__Actinobacteria"
"g__Ellin6055","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Ellin6055",NA,NA,"g__Ellin6055"
"Unclass_c__Subgroup 18","k__Bacteria","p__Acidobacteriota","c__Subgroup 18","o__","f__","Unclass_c__Subgroup 18",NA,NA,"Unclass_c__Subgroup 18"
"g__Enterococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus",NA,NA,"g__Enterococcus"
"g__Phaselicystis","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Phaselicystidaceae","g__Phaselicystis",NA,NA,"g__Phaselicystis"
"Unclass_p__RCP2-54","k__Bacteria","p__RCP2-54","c__","o__","f__","Unclass_p__RCP2-54",NA,NA,"Unclass_p__RCP2-54"
"g__Pseudomonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA,NA,"g__Pseudomonas"
"Unclass_o__Elsterales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__","Unclass_o__Elsterales",NA,NA,"Unclass_o__Elsterales"
"Unclass_c__AD3","k__Bacteria","p__Chloroflexi","c__AD3","o__","f__","Unclass_c__AD3",NA,NA,"Unclass_c__AD3"
"g__Nocardioides","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides",NA,NA,"g__Nocardioides"
"g__Ramlibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Ramlibacter",NA,NA,"g__Ramlibacter"
"Unclass_f__JG30-KF-CM45","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__JG30-KF-CM45","Unclass_f__JG30-KF-CM45",NA,NA,"Unclass_f__JG30-KF-CM45"
"g__Kribbella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Kribbella",NA,NA,"g__Kribbella"
"Unclass_o__Rokubacteriales","k__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Rokubacteriales","f__","Unclass_o__Rokubacteriales",NA,NA,"Unclass_o__Rokubacteriales"
"g__Streptomyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,NA,"g__Streptomyces"
"Unclass_f__Vicinamibacteraceae","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","Unclass_f__Vicinamibacteraceae",NA,NA,"Unclass_f__Vicinamibacteraceae"
"g__Dongia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Dongiales","f__Dongiaceae","g__Dongia",NA,NA,"g__Dongia"
"Unclass_f__Isosphaeraceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","Unclass_f__Isosphaeraceae",NA,NA,"Unclass_f__Isosphaeraceae"
