Sample_id,clay_percent,silt_percent,sand_percent,TextureClass
DO_T02_0-7.5,17.67,36.69,45.64,Lo
DO_T02_7.5-15,23.02,49,27.98,Lo
DO_T02_15-22.5,27.03,39.28,33.69,Lo
DO_T02_22.5-30,27.64,38.48,33.88,ClLo
DO_T02_30-37.5,30.68,39.8,29.52,ClLo
DO_T02_37.5-45,27.36,42.73,29.91,Lo
DO_T03_0-7.5,17.53,39.64,42.83,Lo
DO_T03_7.5-15,23.34,39.13,37.53,Lo
DO_T03_15-22.5,18.39,42.42,39.19,Lo
DO_T03_22.5-30,22.56,43.09,34.35,Lo
DO_T03_30-37.5,30.93,36.43,32.64,ClLo
DO_T03_37.5-45,33.54,36.34,30.12,ClLo
DO_T04_0-7.5,22.86,37.71,39.43,Lo
DO_T04_7.5-15,22.38,39.94,37.68,Lo
DO_T04_15-22.5,27.92,36.66,35.42,ClLo
DO_T04_22.5-30,29.48,37.52,33,ClLo
DO_T04_30-37.5,37.08,34.91,28.01,ClLo
DO_T04_37.5-45,39.98,36.07,23.95,ClLo
DO_T05_0-7.5,23.22,40.68,36.1,Lo
DO_T05_7.5-15,20.31,38.7,40.99,Lo
DO_T05_15-22.5,23.25,42.19,34.56,Lo
DO_T05_22.5-30,22.83,33.09,44.08,Lo
DO_T05_30-37.5,28.33,36.15,35.52,ClLo
DO_T05_37.5-45,27.46,37.81,34.73,Lo
DO_T06_0-7.5,22.29,38.96,38.75,Lo
DO_T06_7.5-15,28.05,47.41,24.54,ClLo
DO_T06_15-22.5,33.39,42.04,24.57,ClLo
DO_T06_22.5-30,35.59,40.76,23.65,ClLo
DO_T06_30-37.5,34.68,42.04,23.28,ClLo
DO_T06_37.5-45,33.64,43.65,22.71,ClLo
DO_T07_0-7.5,27.92,35.99,36.09,ClLo
DO_T07_7.5-15,27.99,44.12,27.89,ClLo
DO_T07_15-22.5,32.9,38.8,28.3,ClLo
DO_T07_22.5-30,31.93,39.86,28.21,ClLo
DO_T07_30-37.5,31.64,33.24,35.12,ClLo
DO_T07_37.5-45,22.04,30.18,47.78,Lo
