"Brookside Laboratories, Inc.  New Bremen, OH 45869 (Phone: 419-977-2766)",,,,,,,,,,,,,,,,,,,,,,
Client Number,90403,,,,,,,,,,,,,,,,,,,,,
Date Submitted,,,,,,,,,,,,,,,,,,,,,,
Date Received,8/28/2024,,,,,,,,,,,,,,,,,,,,,
Date Reported,9/3/2024,,,,,,,,,,,,,,,,,,,,,
Purchase Order # ,UCDPO00071699,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sample Location,Sample Description #1,Sample Description #2,Lab Number,Clay (%),Silt (%),Sand (%),,,,,,,,,,,,,,,,
DO,T02,0-7.5,013,17.67,36.69,45.64,,,,,,,,,,,,,,,,
DO,T02,7.5-15,014,23.02,49,27.98,,,,,,,,,,,,,,,,
DO,T02,15-22.5,015,27.03,39.28,33.69,,,,,,,,,,,,,,,,
DO,T02,22.5-30,016,27.64,38.48,33.88,,,,,,,,,,,,,,,,
DO,T02,30-37.5,017,30.68,39.8,29.52,,,,,,,,,,,,,,,,
DO,T02,37.5-45,018,27.36,42.73,29.91,,,,,,,,,,,,,,,,
DO,T03,0-7.5,019,17.53,39.64,42.83,,,,,,,,,,,,,,,,
DO,T03,7.5-15,020,23.34,39.13,37.53,,,,,,,,,,,,,,,,
DO,T03,15-22.5,021,18.39,42.42,39.19,,,,,,,,,,,,,,,,
DO,T03,22.5-30,022,22.56,43.09,34.35,,,,,,,,,,,,,,,,
DO,T03,30-37.5,023,30.93,36.43,32.64,,,,,,,,,,,,,,,,
DO,T03,37.5-45,024,33.54,36.34,30.12,,,,,,,,,,,,,,,,
DO,T04,0-7.5,025,22.86,37.71,39.43,,,,,,,,,,,,,,,,
DO,T04,7.5-15,026,22.38,39.94,37.68,,,,,,,,,,,,,,,,
DO,T04,15-22.5,027,27.92,36.66,35.42,,,,,,,,,,,,,,,,
DO,T04,22.5-30,028,29.48,37.52,33,,,,,,,,,,,,,,,,
DO,T04,30-37.5,029,37.08,34.91,28.01,,,,,,,,,,,,,,,,
DO,T04,37.5-45,030,39.98,36.07,23.95,,,,,,,,,,,,,,,,
DO,T05,0-7.5,031,23.22,40.68,36.1,,,,,,,,,,,,,,,,
DO,T05,7.5-15,032,20.31,38.7,40.99,,,,,,,,,,,,,,,,
DO,T05,15-22.5,033,23.25,42.19,34.56,,,,,,,,,,,,,,,,
DO,T05,22.5-30,034,22.83,33.09,44.08,,,,,,,,,,,,,,,,
DO,T05,30-37.5,035,28.33,36.15,35.52,,,,,,,,,,,,,,,,
DO,T05,37.5-45,036,27.46,37.81,34.73,,,,,,,,,,,,,,,,
DO,T06,0-7.5,037,22.29,38.96,38.75,,,,,,,,,,,,,,,,
DO,T06,7.5-15,038,28.05,47.41,24.54,,,,,,,,,,,,,,,,
DO,T06,15-22.5,039,33.39,42.04,24.57,,,,,,,,,,,,,,,,
DO,T06,22.5-30,040,35.59,40.76,23.65,,,,,,,,,,,,,,,,
DO,T06,30-37.5,041,34.68,42.04,23.28,,,,,,,,,,,,,,,,
DO,T06,37.5-45,042,33.64,43.65,22.71,,,,,,,,,,,,,,,,
DO,T07,0-7.5,043,27.92,35.99,36.09,,,,,,,,,,,,,,,,
DO,T07,7.5-15,044,27.99,44.12,27.89,,,,,,,,,,,,,,,,
DO,T07,15-22.5,045,32.9,38.8,28.3,,,,,,,,,,,,,,,,
DO,T07,22.5-30,046,31.93,39.86,28.21,,,,,,,,,,,,,,,,
DO,T07,30-37.5,047,31.64,33.24,35.12,,,,,,,,,,,,,,,,
DO,T07,37.5-45,048,22.04,30.18,47.78,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
