"Brookside Laboratories, Inc.  New Bremen, OH 45869 (Phone: 419-977-2766)",,,,,,
Client Number,90403,,,,,
Date Submitted,,,,,,
Date Received,8/28/2024,,,,,
Date Reported,8/30/2024,,,,,
Purchase Order # ,UCDPO00071699,,,,,
,,,,,,
Sample Location,Sample Description #1,Sample Description #2,Lab Number,Carbon   (%),Nitrogen (%),C/N Ratio
DO,T02,0-7.5,144,1.33,0.09,14.78
DO,T02,7.5-15,145,2.53,0.15,16.87
DO,T02,15-22.5,146,2.03,0.15,13.53
DO,T02,22.5-30,147,1.74,0.11,15.82
DO,T02,30-37.5,148,1.32,0.1,13.2
DO,T02,37.5-45,149,1.07,0.08,13.38
DO,T03,0-7.5,150,3.7,0.27,13.7
DO,T03,7.5-15,151,2.44,0.15,16.27
DO,T03,15-22.5,152,2.29,0.18,12.72
DO,T03,22.5-30,154,1.74,0.14,12.43
DO,T03,30-37.5,155,1.06,0.09,11.78
DO,T03,37.5-45,156,0.88,0.1,8.8
DO,T04,0-7.5,157,3.76,0.36,10.44
DO,T04,7.5-15,158,2.34,0.19,12.32
DO,T04,15-22.5,159,1.27,0.12,10.58
DO,T04,22.5-30,160,0.74,0.08,9.25
DO,T04,30-37.5,161,0.62,0.06,10.33
DO,T04,37.5-45,162,0.8,0.06,13.33
DO,T05,0-7.5,163,2.28,0.23,9.91
DO,T05,7.5-15,164,1.41,0.12,11.75
DO,T05,15-22.5,165,1.04,0.08,13
DO,T05,22.5-30,166,0.81,0.07,11.57
DO,T05,30-37.5,167,0.58,0.06,9.67
DO,T05,37.5-45,168,0.39,0.05,7.8
DO,T06,0-7.5,169,2.3,0.22,10.45
DO,T06,7.5-15,170,2.29,0.18,12.72
DO,T06,15-22.5,171,1.36,0.11,12.36
DO,T06,22.5-30,172,1.24,0.12,10.33
DO,T06,30-37.5,173,0.94,0.09,10.44
DO,T06,37.5-45,174,0.85,0.08,10.63
DO,T07,0-7.5,175,4.41,0.34,12.97
DO,T07,7.5-15,176,1.71,0.15,11.4
DO,T07,15-22.5,177,1.44,0.13,11.08
DO,T07,22.5-30,178,0.79,0.08,9.88
DO,T07,30-37.5,179,0.58,0.06,9.67
DO,T07,37.5-45,180,0.51,0.06,8.5
