DO_ID,merge_top,merge_bottom,merge_all
DO_T02_0-7.5,DO_T02_0-15,DO_T02_0-7.5,DO_T02_0-22.5
DO_T02_7.5-15,DO_T02_0-15,DO_T02_7.5-22.5,DO_T02_0-22.5
DO_T02_15-22.5,DO_T02_15-22.5,DO_T02_7.5-22.5,DO_T02_0-22.5
DO_T02_22.5-30,DO_T02_22.5-30,DO_T02_22.5-30,DO_T02_22.5-30
DO_T02_30-37.5,DO_T02_30-37.5,DO_T02_30-37.5,DO_T02_30-37.5
DO_T02_37.5-45,DO_T02_37.5-45,DO_T02_37.5-45,DO_T02_37.5-45
DO_T03_0-7.5,DO_T03_0-15,DO_T03_0-7.5,DO_T03_0-22.5
DO_T03_7.5-15,DO_T03_0-15,DO_T03_7.5-22.5,DO_T03_0-22.5
DO_T03_15-22.5,DO_T03_15-22.5,DO_T03_7.5-22.5,DO_T03_0-22.5
DO_T03_22.5-30,DO_T03_22.5-30,DO_T03_22.5-30,DO_T03_22.5-30
DO_T03_30-37.5,DO_T03_30-37.5,DO_T03_30-37.5,DO_T03_30-37.5
DO_T03_37.5-45,DO_T03_37.5-45,DO_T03_37.5-45,DO_T03_37.5-45
DO_T04_0-7.5,DO_T04_0-15,DO_T04_0-7.5,DO_T04_0-22.5
DO_T04_7.5-15,DO_T04_0-15,DO_T04_7.5-22.5,DO_T04_0-22.5
DO_T04_15-22.5,DO_T04_15-22.5,DO_T04_7.5-22.5,DO_T04_0-22.5
DO_T04_22.5-30,DO_T04_22.5-30,DO_T04_22.5-30,DO_T04_22.5-30
DO_T04_30-37.5,DO_T04_30-37.5,DO_T04_30-37.5,DO_T04_30-37.5
DO_T04_37.5-45,DO_T04_37.5-45,DO_T04_37.5-45,DO_T04_37.5-45
DO_T05_0-7.5,DO_T05_0-15,DO_T05_0-7.5,DO_T05_0-22.5
DO_T05_7.5-15,DO_T05_0-15,DO_T05_7.5-22.5,DO_T05_0-22.5
DO_T05_15-22.5,DO_T05_15-22.5,DO_T05_7.5-22.5,DO_T05_0-22.5
DO_T05_22.5-30,DO_T05_22.5-30,DO_T05_22.5-30,DO_T05_22.5-30
DO_T05_30-37.5,DO_T05_30-37.5,DO_T05_30-37.5,DO_T05_30-37.5
DO_T05_37.5-45,DO_T05_37.5-45,DO_T05_37.5-45,DO_T05_37.5-45
DO_T06_0-7.5,DO_T06_0-15,DO_T06_0-7.5,DO_T06_0-22.5
DO_T06_7.5-15,DO_T06_0-15,DO_T06_7.5-22.5,DO_T06_0-22.5
DO_T06_15-22.5,DO_T06_15-22.5,DO_T06_7.5-22.5,DO_T06_0-22.5
DO_T06_22.5-30,DO_T06_22.5-30,DO_T06_22.5-30,DO_T06_22.5-30
DO_T06_30-37.5,DO_T06_30-37.5,DO_T06_30-37.5,DO_T06_30-37.5
DO_T06_37.5-45,DO_T06_37.5-45,DO_T06_37.5-45,DO_T06_37.5-45
DO_T07_0-7.5,DO_T07_0-15,DO_T07_0-7.5,DO_T07_0-22.5
DO_T07_7.5-15,DO_T07_0-15,DO_T07_7.5-22.5,DO_T07_0-22.5
DO_T07_15-22.5,DO_T07_15-22.5,DO_T07_7.5-22.5,DO_T07_0-22.5
DO_T07_22.5-30,DO_T07_22.5-30,DO_T07_22.5-30,DO_T07_22.5-30
DO_T07_30-37.5,DO_T07_30-37.5,DO_T07_30-37.5,DO_T07_30-37.5
DO_T07_37.5-45,DO_T07_37.5-45,DO_T07_37.5-45,DO_T07_37.5-45
