DO RNA Box ID,16S FWD barcode,16S REV barcode,DO DNA Box ID,16S FWD barcode,16S REV barcode
D01-R,PCR_F_bc020,PCR_R_bc003,D33-D,PCR_F_bc006,PCR_R_bc005
D02-R,PCR_F_bc021,PCR_R_bc003,D34-D,PCR_F_bc007,PCR_R_bc005
D03-R,PCR_F_bc022,PCR_R_bc003,D35-D,PCR_F_bc008,PCR_R_bc005
D04-R,PCR_F_bc001,PCR_R_bc004,D36-D,PCR_F_bc009,PCR_R_bc005
D05-R,PCR_F_bc002,PCR_R_bc004,D37-D,PCR_F_bc010,PCR_R_bc005
D06-R,PCR_F_bc003,PCR_R_bc004,D38-D,PCR_F_bc011,PCR_R_bc005
D07-R,PCR_F_bc004,PCR_R_bc004,D39-D,PCR_F_bc012,PCR_R_bc005
D08-R,PCR_F_bc005,PCR_R_bc004,D40-D,PCR_F_bc013,PCR_R_bc005
D09-R,PCR_F_bc006,PCR_R_bc004,D41-D,PCR_F_bc014,PCR_R_bc005
D10-R,PCR_F_bc007,PCR_R_bc004,D42-D,PCR_F_bc015,PCR_R_bc005
D11-R,PCR_F_bc008,PCR_R_bc004,D43-D,PCR_F_bc016,PCR_R_bc005
D31-R,PCR_F_bc009,PCR_R_bc004,D44-D,PCR_F_bc017,PCR_R_bc005
D12-R,PCR_F_bc010,PCR_R_bc004,D45-D,PCR_F_bc018,PCR_R_bc005
D13-R,PCR_F_bc011,PCR_R_bc004,D46-D,PCR_F_bc019,PCR_R_bc005
D14-R,PCR_F_bc012,PCR_R_bc004,D47-D,PCR_F_bc020,PCR_R_bc005
D15-R,PCR_F_bc013,PCR_R_bc004,D48-D,PCR_F_bc021,PCR_R_bc005
D16-R,PCR_F_bc014,PCR_R_bc004,D49-D,PCR_F_bc022,PCR_R_bc005
D17-R,PCR_F_bc015,PCR_R_bc004,D50-D,PCR_F_bc001,PCR_R_bc006
D18-R,PCR_F_bc016,PCR_R_bc004,D51-D,PCR_F_bc002,PCR_R_bc006
D19-R,PCR_F_bc017,PCR_R_bc004,D52-D,PCR_F_bc003,PCR_R_bc006
D20-R,PCR_F_bc018,PCR_R_bc004,D53-D,PCR_F_bc004,PCR_R_bc006
D21-R,PCR_F_bc019,PCR_R_bc004,D54-D,PCR_F_bc005,PCR_R_bc006
D22-R,PCR_F_bc020,PCR_R_bc004,D55-D,PCR_F_bc006,PCR_R_bc006
D23-R,PCR_F_bc021,PCR_R_bc004,D56-D,PCR_F_bc007,PCR_R_bc006
D24-R,PCR_F_bc022,PCR_R_bc004,D57-D,PCR_F_bc008,PCR_R_bc006
D25-R,PCR_F_bc001,PCR_R_bc005,D58-D,PCR_F_bc009,PCR_R_bc006
D26-R,PCR_F_bc002,PCR_R_bc005,D59-D,PCR_F_bc010,PCR_R_bc006
D27-R,PCR_F_bc003,PCR_R_bc005,D60-D,PCR_F_bc011,PCR_R_bc006
D28-R,PCR_F_bc004,PCR_R_bc005,D61-D,PCR_F_bc012,PCR_R_bc006
D30-R,PCR_F_bc005,PCR_R_bc005,D62-D,PCR_F_bc013,PCR_R_bc006
,,,D63-D,PCR_F_bc014,PCR_R_bc006
,,,MMC,PCR_F_bc015,PCR_R_bc006
,,,Negative,PCR_F_bc016,PCR_R_bc006
