DO RNA Box ID,ITS FWD barcode,ITS REV barcode,DO DNA Box ID,ITS FWD barcode,ITS REV barcode
D01-R,PCR_F_bc001,PCR_R_bc001,D33-D,PCR_F_bc009,PCR_R_bc002
D02-R,PCR_F_bc002,PCR_R_bc001,D34-D,PCR_F_bc010,PCR_R_bc002
D03-R,PCR_F_bc003,PCR_R_bc001,D35-D,PCR_F_bc011,PCR_R_bc002
D04-R,PCR_F_bc004,PCR_R_bc001,D36-D,PCR_F_bc012,PCR_R_bc002
D05-R,PCR_F_bc005,PCR_R_bc001,D37-D,PCR_F_bc013,PCR_R_bc002
D06-R,PCR_F_bc006,PCR_R_bc001,D38-D,PCR_F_bc014,PCR_R_bc002
D07-R,PCR_F_bc007,PCR_R_bc001,D39-D,PCR_F_bc015,PCR_R_bc002
D08-R,PCR_F_bc008,PCR_R_bc001,D40-D,PCR_F_bc016,PCR_R_bc002
D09-R,PCR_F_bc009,PCR_R_bc001,D41-D,PCR_F_bc017,PCR_R_bc002
D10-R,PCR_F_bc010,PCR_R_bc001,D42-D,PCR_F_bc018,PCR_R_bc002
D11-R,PCR_F_bc011,PCR_R_bc001,D43-D,PCR_F_bc019,PCR_R_bc002
D31-R,PCR_F_bc012,PCR_R_bc001,D44-D,PCR_F_bc020,PCR_R_bc002
D12-R,PCR_F_bc013,PCR_R_bc001,D45-D,PCR_F_bc021,PCR_R_bc002
D13-R,PCR_F_bc014,PCR_R_bc001,D46-D,PCR_F_bc022,PCR_R_bc002
D14-R,PCR_F_bc015,PCR_R_bc001,D47-D,PCR_F_bc001,PCR_R_bc003
D15-R,PCR_F_bc016,PCR_R_bc001,D48-D,PCR_F_bc002,PCR_R_bc003
D16-R,PCR_F_bc017,PCR_R_bc001,D49-D,PCR_F_bc003,PCR_R_bc003
D17-R,PCR_F_bc018,PCR_R_bc001,D50-D,PCR_F_bc004,PCR_R_bc003
D18-R,PCR_F_bc019,PCR_R_bc001,D51-D,PCR_F_bc005,PCR_R_bc003
D19-R,PCR_F_bc020,PCR_R_bc001,D52-D,PCR_F_bc006,PCR_R_bc003
D20-R,PCR_F_bc021,PCR_R_bc001,D53-D,PCR_F_bc007,PCR_R_bc003
D21-R,PCR_F_bc022,PCR_R_bc001,D54-D,PCR_F_bc008,PCR_R_bc003
D22-R,PCR_F_bc001,PCR_R_bc002,D55-D,PCR_F_bc009,PCR_R_bc003
D23-R,PCR_F_bc002,PCR_R_bc002,D56-D,PCR_F_bc010,PCR_R_bc003
D24-R,PCR_F_bc003,PCR_R_bc002,D57-D,PCR_F_bc011,PCR_R_bc003
D25-R,PCR_F_bc004,PCR_R_bc002,D58-D,PCR_F_bc012,PCR_R_bc003
D26-R,PCR_F_bc005,PCR_R_bc002,D59-D,PCR_F_bc013,PCR_R_bc003
D27-R,PCR_F_bc006,PCR_R_bc002,D60-D,PCR_F_bc014,PCR_R_bc003
D28-R,PCR_F_bc007,PCR_R_bc002,D61-D,PCR_F_bc015,PCR_R_bc003
D30-R,PCR_F_bc008,PCR_R_bc002,D62-D,PCR_F_bc016,PCR_R_bc003
,,,D63-D,PCR_F_bc017,PCR_R_bc003
,,,MMC,PCR_F_bc018,PCR_R_bc003
,,,Negative,PCR_F_bc019,PCR_R_bc003
