"","bcComboNum","Forward","Reverse","libPrepBy","Sample.ID","Target","PCR.ng.per.uL","libPrepNotes","unq.id","sequenced","Extraction.Date","Date.Collected","Starting.depth..cm.","Tree","Depth.cm","RNA.ng.uL","DNA.ng.uL","Soil.Mass..g.","X20uL.RNA.DILUTION.2ng.uL","X20uL.DNA.Dilution.2ng.uL","Letter.in.Batch","RNA.PCR.Water.to.be.Added.","DNA.PCR.Water.to.be.added.","X","cDNA.conc..ng.uL","uL.of.cDNA.to.input","Final.Input.ng","nucleicAcid-box","nucleicAcid"
"1",1,"PCR_F_bc001","PCR_R_bc001","Nate","D01-R","ITS",15.88,"","D01-R-ITS","yes","8/22/23","260523",0,"T05","0-7.5",34.6,35,2.1,"1.156069364",1.142857143,"B","50uL","150uL","",3.7,1,3.7,"DO.RNA.Box.ID","R"
"2",2,"PCR_F_bc002","PCR_R_bc001","Nate","D02-R","ITS",0.536,"","D02-R-ITS","yes","8/22/23","290523",15,"T07","15-22.5",9.12,18.9,2.1,"4.385964912",2.116402116,"C","","","",0.494,3,1.482,"DO.RNA.Box.ID","R"
"3",3,"PCR_F_bc003","PCR_R_bc001","Nate","D03-R","ITS",9.7,"","D03-R-ITS","yes","8/30/23","290523",0,"T07","0-7.5",32.7,31.13,2,"1.22324159",1.284934147,"A","50uL","100uL","",2.2,1,2.2,"DO.RNA.Box.ID","R"
"4",4,"PCR_F_bc004","PCR_R_bc001","Nate","D04-R","ITS",3.36,"","D04-R-ITS","yes","8/30/23","80523",22.5,"T02","22.5-30",26.3,41.429,2,"1.520912548",0.9655072534,"D","50uL","300uL","",2.12,1,2.12,"DO.RNA.Box.ID","R"
"5",5,"PCR_F_bc005","PCR_R_bc001","Nate","D05-R","ITS",NA,"","D05-R-ITS","no","8/30/23","200523",37.5,"T03","37.5-45",2.32,44.4,1.9,"17.24137931",0.9009009009,"B","","","",1.668,1,1.668,"DO.RNA.Box.ID","R"
"6",6,"PCR_F_bc006","PCR_R_bc001","Nate","D06-R","ITS",14.24,"","D06-R-ITS","yes","9/8/23","80523",0,"T02","0-7.5",38,36,1.9,"1.052631579",1.111111111,"D","100uL","100uL","",1.672,1,1.672,"DO.RNA.Box.ID","R"
"7",7,"PCR_F_bc007","PCR_R_bc001","Nate","D07-R","ITS",7.1,"","D07-R-ITS","yes","9/12/23","220523",7.5,"T04","7.5-15",38.55,45.33,2,"1.037613489",0.8824178248,"C","25uL","250uL","",1.512,1,1.512,"DO.RNA.Box.ID","R"
"8",8,"PCR_F_bc008","PCR_R_bc001","Nate","D08-R","ITS",3.78,"","D08-R-ITS","yes","9/12/23","280523",22.5,"T06","22.5-30",5.78,48.4,2,"6.920415225",0.826446281,"D","","","",0.296,5,1.48,"DO.RNA.Box.ID","R"
"9",9,"PCR_F_bc009","PCR_R_bc001","Nate","D09-R","ITS",2.04,"","D09-R-ITS","yes","9/12/23","80523",30,"T02","30-37.5",15.2,8.14,2.2,"2.631578947",4.914004914,"A","","","",1.034,1,1.034,"DO.RNA.Box.ID","R"
"10",10,"PCR_F_bc010","PCR_R_bc001","Nate","D10-R","ITS",8.28,"","D10-R-ITS","yes","9/19/2023","280523",0,"T06","0-7.5",32.2666,36.95,2.1,"1.239671983",1.082543978,"A","50uL","150uL","",2.24,1,2.24,"DO.RNA.Box.ID","R"
