Cust ID,Name,Company,Address 1,Address 2,City,ST,Zip,Date Received,Date Reported,Lab No,Results For,Field ID,Sample ID 1,Current Crop,Season,Total Living Microbial Biomass ng/g,Total Bacteria ng/g,Total Bacteria % of Total Biomass,Gram (+) ng/g,Gram (+) % of Total Biomass,Actinomycetes ng/g,Actinomycetes % of Total Biomass,Gram (-) ng/g,Gram (-) % of Total Biomass,Rhizobia ng/g,Total Fungi ng/g,Arbuscular Mycorrhizal ng/g,Saprophytes % of Total Biomass,Saprophytes ng/g,Protozoa % of Total Biomass,Protozoa ng/g,Undifferentiated % of Total Biomass,Undifferentiated ng/g,Fungi:Bacteria ng/g,Predator:Prey ng/g,Gram(+):Gram(-) ng/g,Saturated:Unsaturated ng/g,Monounsaturated:Polyunsaturated ng/g,Pre 16:1 w7c:17:0 cyclo ng/g,Pre 18:1 w7c:19:0 cyclo ng/g,Functional Group Diversity Index,Sample Depth,Beginning Depth,End Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003244,GLADE BOGAR,,DO-T02-0-7.5,,,5202.31,1481.23,28.47,541.06,10.4,183.73,3.53,940.17,18.07,0,963.6,158.07,15.48,805.53,2.34,121.86,50.66,2635.63,0.65,0.08,0.58,1.13,2.23,0,5.66,2.17,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003245,GLADE BOGAR,,DO-T02-7.5-15,,,2927.52,960.48,32.81,302.94,10.35,123.55,4.22,657.54,22.46,0,233.04,54.77,6.09,178.26,1.1,32.09,58.14,1701.92,0.24,0.03,0.46,1.82,10.71,1.07,2.29,1.88,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003246,GLADE BOGAR,,DO-T02-15-22.5,,,2797.66,1037.18,37.07,372.69,13.32,159.53,5.7,664.49,23.75,0,232.46,42.54,6.79,189.92,1.66,46.41,52.51,1469.15,0.22,0.04,0.56,1.76,9.12,1.54,1.39,2,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003247,GLADE BOGAR,,DO-T02-22.5-30,,,2398.18,1014.46,42.3,356.65,14.87,168.26,7.02,657.81,27.43,0,216.74,45.29,7.15,171.46,1.36,32.64,47.3,1134.33,0.21,0.03,0.54,1.92,13.5,1.48,1,2.07,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003248,GLADE BOGAR,,DO-T02-30-37.5,,,2386.02,683.05,28.63,277.49,11.63,142.06,5.95,405.56,17,0,161.89,27.03,5.65,134.86,0.47,11.29,64.11,1529.79,0.24,0.02,0.68,2.18,6.77,1.36,0.81,1.79,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003249,GLADE BOGAR,,DO-102-37-5-45,,,2273.05,634.89,27.93,308.25,13.56,188.39,8.29,326.64,14.37,0,148.44,26.18,5.38,122.26,0.44,10.05,65.1,1479.67,0.23,0.02,0.94,2.92,3.43,0,0.62,1.81,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003250,GLADE BOGAR,,DO-T03-0-7.5,,,6135.09,2040.66,33.26,741.01,12.08,300.01,4.89,1299.65,21.18,0,1177.17,173.78,16.36,1003.39,1.67,102.21,45.88,2815.04,0.58,0.05,0.57,1.03,4.08,0,2.8,2.24,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003251,GLADE BOGAR,,DO-T03-7.5-15,,,3408.07,1270.03,37.27,536.08,15.73,252.57,7.41,733.95,21.54,0,336.15,68.09,7.87,268.06,1.16,39.59,51.71,1762.3,0.26,0.03,0.73,1.97,10.21,0,0.83,2.07,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003252,GLADE BOGAR,,DO-T03-15-22.5,,,3397.46,1270.86,37.41,450.36,13.26,208.86,6.15,820.5,24.15,0,386.92,56.94,9.71,329.98,0.99,33.69,50.21,1705.98,0.3,0.03,0.55,1.65,4.05,1.47,0.71,2.08,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98477,,UC DAVIS BOGAR LAB  -  GLADE BOGAR,1 SHIELDS AVENUE,,DAVIS,CA,95616,8/20/2024 4:05:00 PM,9/27/2024 4:44:01 PM,B24-003253,GLADE BOGAR,,DO-T03-22.5-30,,,2187.26,813.67,37.2,335.14,15.32,183.15,8.37,478.52,21.88,0,219.42,40.49,8.18,178.92,1.3,28.5,50.96,1114.67,0.27,0.04,0.7,2.44,4.13,0,0.6,2.09,IN,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
