Sample ID,Hue,Value,Chroma,Moisture,Notes
T04_22.5_30,10YR,6,3,Dry,
T04_22.5_30,10YR,4,3,Wet,
T03_30_37.5,10YR,5,4,Dry,
T03_30_37.5,10YR,3,4,Wet,
T03_37.5_45,10YR,5,4,Dry,
T03_37.5_45,10YR,4,4,Wet,
T02_37.5_45,10YR,5,4,Dry,
T02_37.5_45,10YR,4,4,Wet,
T03_22.5_30,10YR,5,4,Dry,
T03_22.5_30,10YR,4,3,Wet,
T04_30_37.5,10YR,6,6,Dry,
T04_30_37.5,10YR,5,6,Wet,
T06_37.5_45,10YR,7,3,Dry,
T06_37.5_45,10YR,5,3,Wet,
T05_22.5_30,10YR,6,4,Dry,
T05_22.5_30,10YR,4,4,Wet,
T04_0_7.5,10YR,4,2.5,Dry,
T04_0_7.5,10YR,3,2,Wet,
T03_0_7.5,10YR,6,3,Dry,
T03_0_7.5,10YR,4,3,Wet,
T04_37.5_45,10YR,6,6,Dry,
T04_37.5_45,10YR,4,6,Wet,
T04_7.5_15,10YR,6,3,Dry,
T04_7.5_15,10YR,4,3,Wet,
T03_7.5_15,10YR,5,4,Dry,
T03_7.5_15,10YR,4,3,Wet,
T04_15_22.5,10YR,6,3,Dry,
T04_15_22.5,10YR,4,3,Wet,
T03_15_22.5,10YR,5,4,Dry,
T03_15_22.5,10YR,4,3,Wet,
T06_7.5_15,10YR,6,3,Dry,
T06_7.5_15,10YR,4,3,Wet,
T06_15_22.5,10YR,6,3,Dry,
T06_15_22.5,10YR,4,3,Wet,
T05_37.5_45,10YR,6,6,Dry,
T05_37.5_45,10YR,5,6,Wet,
T05_15_22.5,10YR,6,4,Dry,
T05_15_22.5,10YR,4,4,Wet,
T07_7.5_15,10YR,6,3,Dry,
T07_7.5_15,10YR,4,3,Wet,
T07_22.5_30,10YR,6,4,Dry,
T07_22.5_30,10YR,4,4,Wet,
T05_0_7.5,10YR,5,4,Dry,
T05_0_7.5,10YR,3,3,Wet,
T07_37.5_45,10YR,6,4,Dry,
T07_37.5_45,10YR,5,4,Wet,
T07_0_7.5,10YR,5,3,Dry,
T07_0_7.5,10YR,3,2,Wet,
T07_30_37.5,10YR,6,4,Dry,
T07_30_37.5,10YR,5,4,Wet,
T05_30_37.5,10YR,6,6,Dry,
T05_30_37.5,10YR,5,4,Wet,
T05_7.5_15,10YR,6,4,Dry,
T05_7.5_15,10YR,4,3,Wet,
T06_0_7.5,10YR,4,3,Dry,
T06_0_7.5,10YR,3,2,Wet,
T06_22.5_30,10YR,6,4,Dry,
T06_22.5_30,10YR,4,3,Wet,
T06_30_37.5,10YR,6,4,Dry,
T06_30_37.5,10YR,5,4,Wet,
T07_15_22.5,10YR,6,3,Dry,
T07_15_22.5,10YR,4,4,Wet,
T02_30_37.5,10YR,6,4,Dry,
T02_30_37.5,10YR,4,4,Wet,
T02_15_22.5,10YR,5,4,Dry,
T02_15_22.5,10YR,4,3,Wet,
T02_0_7.5,10YR,5,3,Dry,
T02_0_7.5,10YR,3,3,Wet,
T02_22.5_30,10YR,6,4,Dry,
T02_22.5_30,10YR,4,4,Wet,
T02_37.5_45,10YR,5,4,Dry,"Likely mislabeled - given color, texture, root fragments, probably actually 7.5-15.0 cm"
T02_37.5_45,10YR,3,3,Wet,"Likely mislabeled - given color, texture, root fragments, probably actually 7.5-15.0 cm"
