Sample_ID,empty_tin_mass_g,FM_soil_plus_tin_mass_g,Mass_g_large_whirltop_empty,AD_soil_plus_tin_mass_g,OD_soil_plus_tin_mass_g,Notes,,,,,,,,,,,,,,,,,,,,
DO-T03-15-22.5,3,103.39,14.56,95.65,92.62, Weigher EW ,,,,,,,,,,,,,,,,,,,,
DO-T03-0-7.5,3.05,104.36,14.64,101.91,98.45,,,,,,,,,,,,,,,,,,,,,
DO-T03-7.5-15,3.08,103.22,14.64,96.93,93.82,,,,,,,,,,,,,,,,,,,,,
DO-T03-22.5-30,3.07,104.77,14.79,95.57,92.56,,,,,,,,,,,,,,,,,,,,,
DO-T03-30-37.5,,,14.65,,,,,,,,,,,,,,,,,,,,,,,
DO-T03-37.5-45,,,16.3,,,,,,,,,,,,,,,,,,,,,,,
DO-T04-0-7.5,3.01,103.43,14.49,99.73,96.51,,,,,,,,,,,,,,,,,,,,,
DO-T04-7.5-15,3.02,103.45,14.59,98.63,95.46,,,,,,,,,,,,,,,,,,,,,
DO-T04-15-22.5,2.99,103.88,14.71,98.92,95.83,,,,,,,,,,,,,,,,,,,,,
DO-T04-22.5-30,3.04,104.82,14.75,100.05,97.02,,,,,,,,,,,,,,,,,,,,,
DO-T04-30-37.5,3.01,103.53,14.98,97.35,93.7,,,,,,,,,,,,,,,,,,,,,
DO-T04-37.5-45,2.99,103.52,14.82,96.88,92.67,,,,,,,,,,,,,,,,,,,,,
DO-T04-90-100,2.99,103.77,14.88,96.03,91.89,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
