DO RNA Box ID,16S FWD barcode,16S REV barcode,Well Position,,DO DNA Box ID,16S FWD barcode,16S REV barcode,Well position
D01-R,PCR_F_bc018,PCR_R_bc003,A1,,D33-D,PCR_F_bc004,PCR_R_bc005,G4
D02-R,PCR_F_bc019,PCR_R_bc003,B1,,D34-D,PCR_F_bc005,PCR_R_bc005,H4
D03-R,PCR_F_bc020,PCR_R_bc003,C1,,D35-D,PCR_F_bc006,PCR_R_bc005,A5
D04-R,PCR_F_bc021,PCR_R_bc003,D1,,D36-D,PCR_F_bc007,PCR_R_bc005,B5
D05-R,PCR_F_bc022,PCR_R_bc003,E1,,D37-D,PCR_F_bc008,PCR_R_bc005,C5
D06-R,PCR_F_bc001,PCR_R_bc004,F1,,D38-D,PCR_F_bc009,PCR_R_bc005,D5
D07-R,PCR_F_bc002,PCR_R_bc004,G1,,D39-D,PCR_F_bc010,PCR_R_bc005,E5
D08-R,PCR_F_bc003,PCR_R_bc004,H1,,D40-D,PCR_F_bc011,PCR_R_bc005,F5
D09-R,PCR_F_bc004,PCR_R_bc004,A2,,D41-D,PCR_F_bc012,PCR_R_bc005,G5
D10-R,PCR_F_bc005,PCR_R_bc004,B2,,D42-D,PCR_F_bc013,PCR_R_bc005,H5
D11-R,PCR_F_bc006,PCR_R_bc004,C2,,D43-D,PCR_F_bc014,PCR_R_bc005,A6
D31-R,PCR_F_bc007,PCR_R_bc004,D2,,D44-D,PCR_F_bc015,PCR_R_bc005,B6
D12-R,PCR_F_bc008,PCR_R_bc004,E2,,D45-D,PCR_F_bc016,PCR_R_bc005,C6
D13-R,PCR_F_bc009,PCR_R_bc004,F2,,D46-D,PCR_F_bc017,PCR_R_bc005,D6
D14-R,PCR_F_bc010,PCR_R_bc004,G2,,D47-D,PCR_F_bc018,PCR_R_bc005,E6
D15-R,PCR_F_bc011,PCR_R_bc004,H2,,D48-D,PCR_F_bc019,PCR_R_bc005,F6
D16-R,PCR_F_bc012,PCR_R_bc004,A3,,D49-D,PCR_F_bc020,PCR_R_bc005,G6
D17-R,PCR_F_bc013,PCR_R_bc004,B3,,D50-D,PCR_F_bc021,PCR_R_bc005,H6
D18-R,PCR_F_bc014,PCR_R_bc004,C3,,D51-D,PCR_F_bc022,PCR_R_bc005,A7
D19-R,PCR_F_bc015,PCR_R_bc004,D3,,D52-D,PCR_F_bc001,PCR_R_bc006,B7
D20-R,PCR_F_bc016,PCR_R_bc004,E3,,D53-D,PCR_F_bc002,PCR_R_bc006,C7
D21-R,PCR_F_bc017,PCR_R_bc004,F3,,D54-D,PCR_F_bc003,PCR_R_bc006,D7
D22-R,PCR_F_bc018,PCR_R_bc004,G3,,D55-D,PCR_F_bc004,PCR_R_bc006,E7
D23-R,PCR_F_bc019,PCR_R_bc004,H3,,D56-D,PCR_F_bc005,PCR_R_bc006,F7
D24-R,PCR_F_bc020,PCR_R_bc004,A4,,D57-D,PCR_F_bc006,PCR_R_bc006,G7
D25-R,PCR_F_bc021,PCR_R_bc004,B4,,D58-D,PCR_F_bc007,PCR_R_bc006,H7
D26-R,PCR_F_bc022,PCR_R_bc004,C4,,D59-D,PCR_F_bc008,PCR_R_bc006,A8
D27-R,PCR_F_bc001,PCR_R_bc005,D4,,D60-D,PCR_F_bc009,PCR_R_bc006,B8
D28-R,PCR_F_bc002,PCR_R_bc005,E4,,D61-D,PCR_F_bc010,PCR_R_bc006,C8
D29-R,PCR_F_bc024,PCR_R_bc006,,,D62-D,PCR_F_bc011,PCR_R_bc006,D8
D30-R,PCR_F_bc003,PCR_R_bc005,F4,,D63-D,PCR_F_bc012,PCR_R_bc006,E8
