DO RNA Box ID,ITS FWD barcode,ITS REV barcode,Well Position,,DO DNA Box ID,ITS FWD barcode,ITS REV barcode,Well position
D01-R,PCR_F_bc001,PCR_R_bc001,A1,,D33-D,PCR_F_bc009,PCR_R_bc002,G4
D02-R,PCR_F_bc002,PCR_R_bc001,B1,,D34-D,PCR_F_bc010,PCR_R_bc002,H4
D03-R,PCR_F_bc003,PCR_R_bc001,C1,,D35-D,PCR_F_bc011,PCR_R_bc002,A5
D04-R,PCR_F_bc004,PCR_R_bc001,D1,,D36-D,PCR_F_bc012,PCR_R_bc002,B5
D05-R,PCR_F_bc005,PCR_R_bc001,E1,,D37-D,PCR_F_bc013,PCR_R_bc002,C5
D06-R,PCR_F_bc006,PCR_R_bc001,F1,,D38-D,PCR_F_bc014,PCR_R_bc002,D5
D07-R,PCR_F_bc007,PCR_R_bc001,G1,,D39-D,PCR_F_bc015,PCR_R_bc002,E5
D08-R,PCR_F_bc008,PCR_R_bc001,H1,,D40-D,PCR_F_bc016,PCR_R_bc002,F5
D09-R,PCR_F_bc009,PCR_R_bc001,A2,,D41-D,PCR_F_bc017,PCR_R_bc002,G5
D10-R,PCR_F_bc010,PCR_R_bc001,B2,,D42-D,PCR_F_bc018,PCR_R_bc002,H5
D11-R,PCR_F_bc011,PCR_R_bc001,C2,,D43-D,PCR_F_bc019,PCR_R_bc002,A6
D31-R,PCR_F_bc012,PCR_R_bc001,D2,,D44-D,PCR_F_bc020,PCR_R_bc002,B6
D12-R,PCR_F_bc013,PCR_R_bc001,E2,,D45-D,PCR_F_bc021,PCR_R_bc002,C6
D13-R,PCR_F_bc014,PCR_R_bc001,F2,,D46-D,PCR_F_bc022,PCR_R_bc002,D6
D14-R,PCR_F_bc015,PCR_R_bc001,G2,,D47-D,PCR_F_bc001,PCR_R_bc003,E6
D15-R,PCR_F_bc016,PCR_R_bc001,H2,,D48-D,PCR_F_bc002,PCR_R_bc003,F6
D16-R,PCR_F_bc017,PCR_R_bc001,A3,,D49-D,PCR_F_bc003,PCR_R_bc003,G6
D17-R,PCR_F_bc018,PCR_R_bc001,B3,,D50-D,PCR_F_bc004,PCR_R_bc003,H6
D18-R,PCR_F_bc019,PCR_R_bc001,C3,,D51-D,PCR_F_bc005,PCR_R_bc003,A7
D19-R,PCR_F_bc020,PCR_R_bc001,D3,,D52-D,PCR_F_bc006,PCR_R_bc003,B7
D20-R,PCR_F_bc021,PCR_R_bc001,E3,,D53-D,PCR_F_bc007,PCR_R_bc003,C7
D21-R,PCR_F_bc022,PCR_R_bc001,F3,,D54-D,PCR_F_bc008,PCR_R_bc003,D7
D22-R,PCR_F_bc001,PCR_R_bc002,G3,,D55-D,PCR_F_bc009,PCR_R_bc003,E7
D23-R,PCR_F_bc002,PCR_R_bc002,H3,,D56-D,PCR_F_bc010,PCR_R_bc003,F7
D24-R,PCR_F_bc003,PCR_R_bc002,A4,,D57-D,PCR_F_bc011,PCR_R_bc003,G7
D25-R,PCR_F_bc004,PCR_R_bc002,B4,,D58-D,PCR_F_bc012,PCR_R_bc003,H7
D26-R,PCR_F_bc005,PCR_R_bc002,C4,,D59-D,PCR_F_bc013,PCR_R_bc003,A8
D27-R,PCR_F_bc006,PCR_R_bc002,D4,,D60-D,PCR_F_bc014,PCR_R_bc003,B8
D28-R,PCR_F_bc007,PCR_R_bc002,E4,,D61-D,PCR_F_bc015,PCR_R_bc003,C8
D29-R,PCR_F_bc023,PCR_R_bc023,,,D62-D,PCR_F_bc016,PCR_R_bc003,D8
D30-R,PCR_F_bc008,PCR_R_bc002,F4,,D63-D,PCR_F_bc017,PCR_R_bc003,E8
