Extraction Date,Date Collected,Starting depth (cm),Tree,Depth cm,RNA ng/uL,DNA ng/uL,S1 RNA,S2 RNA,S1 DNA,S2 DNA,S1 DNA 2nd round,S2 DNA 2nd round,Notes_Intial_ Extractions,20uL RNA DILUTION 2ng/uL,20uL DNA Dilution 2ng/uL,Soil Mass (g)
9/8/23,80523,0,T02,0-7.5,114,108,65.55,1333.35,36.3,19762.5,,,,0.350877193,0.3703703704,1.9
10/31/23,80523,15,T02,15-22.5,36.2,204,66.93,1511.77,37.59,15915.54,,,,1.104972376,0.1960784314,2.09
8/30/23,80523,22.5,T02,22.5-30,52.6,290,74.08,1381.9,32.53,15621.61,,,,0.7604562738,0.1379310345,2
9/12/23,80523,30,T02,30-37.5,15.2,8.14,65.37,1424.89,34.95,15961.24,,,"Brown, lots of DNA, 1st batch with new hsDNA 1X program",2.631578947,4.914004914,2.2
10/31/23,80523,37.5,T02,37.5-45,10.6,0.806,66.93,1511.77,37.59,15915.54,,,,3.773584906,49.62779156,2.1
9/29/2023,80523,7.5,T02,7.5-15,48.4,78,67.53,1501.25,34.5,17885.8,,,,0.826446281,0.5128205128,1.9
10/24/23,200523,0,T03,0-7.5,136,246,70.25,1191.69,36.85,17293.9,,,,0.2941176471,0.162601626,1.99
9/27/2023,200523,15,T03,15-22.5,69,308,63.09,1050.1,34.21,16394.42,,,,0.5797101449,0.1298701299,2
9/19/2023,200523,22.5,T03,22.5-30,28.2,224,63.47,1344.78,35.24,16798.52,,,,1.418439716,0.1785714286,2.1
10/24/23,200523,30,T03,30-37.5,4.72,87.6,70.25,1191.69,36.85,17293.9,,,,8.474576271,0.4566210046,2.11
8/15/23,280523,7.5,T06,7.5-15,0,0,62.05,1357.47,34.45,15994.4,,,,#DIV/0!,#DIV/0!,
8/22/23,280523,7.5,T06,7.5-15,27,14.3,63.69,1373.49,37.08,15684.5,,,,1.481481481,2.797202797,
8/30/23,200523,37.5,T03,37.5-45,2.32,44.4,74.08,1381.9,32.53,15621.61,,,,17.24137931,0.9009009009,1.9
9/29/2023,200523,7.5,T03,7.5-15,56.2,252,67.53,1501.25,34.5,17885.8,,,,0.7117437722,0.1587301587,1.9
