Extraction Date,temp qubit label,Tree,Depth cm,RNA ng/uL,DNA ng/uL,DNA calculated from qubit read of a dilution?,dilution used,
8/14/2023,A,T07,15,0,0,,,
8/14/2023,B,T05,37.5,0,0,,,
8/14/2023,C,T04,37.5,0,0,,,
8/14/2023,D,T06,7.5,0,34.45,,,
8/22/2023,A,T04,37.5,0,0,,,
8/22/2023,B,T05,0,69.2,too high,,,
8/22/2023,C,T07,15,9.12,18.9,,,
8/22/2023,D,T06,7.5,27,14.3,,,
8/30/2023,A,T07,0,65.4,99.4,,,
8/30/2023,B,T03,37.5,2.32,44.4,yes,  1/10,
8/30/2023,C,T05,60,0,0,,,
8/30/2023,D,T02,22.5,52.6,290,yes,  1/10,
9/6/2023,A,T07,22.5,0.337,0.758,,,
9/6/2023,B,T03,30,0,0.0219,,,
9/6/2023,C,T06,37.5,0,0.0076,,,
9/6/2023,D,T02,0,114,10.8,yes,  1/10,
9/12/2023,A,T02,30,15.2,8.14,assumedly,  1/10,
9/12/2023,B,T05,37.5,0,0,,,
9/12/2023,C,T04,7.5,51.4,272,assumedly,  1/10,
9/12/2023,D,T06,22.5,5.78,48.4,assumedly,  1/10,
9/19/2023,A,T06,0,96.8,147.8,assumedly,  1/10,
9/19/2023,B,T05,30,0,24.6,assumedly,  1/10,
9/19/2023,C,T03,22.5,28.2,224,assumedly,  1/10,
9/19/2023,D,T04,30,0.608,6.24,,,
9/25/2023,A,T05,7.5,4.2,11.24,,,
9/25/2023,B,T04,22.5,11.8,105,yes,  1/10,
9/25/2023,C,T06,30,13.8,97.2,yes,  1/10,
9/25/2023,D,T07,30,0,0.0656,,,
9/27/2023,A,T07,7.5,49.4,200,,,
9/27/2023,B,T05,22.5,0,51.8,,,
9/27/2023,C,T06,15,35.8,82.6,,,
9/27/2023,D,T03,15,69,308,,,
9/29/2023,A,T05,15,7.58,45.6,,,
9/29/2023,B,T02,7.5,48.4,78,,,
9/29/2023,C,T03,7.5,56.2,252,,,
9/29/2023,D,control,NA,0,0,,,
10/2/2023,A,T07,7.5,0,652,,,"""Dirty RNA Pilot"""
10/2/2023,B,T07,90,0,0,,,"""Dirty RNA Pilot"""
10/2/2023,C,T05,90,0,0,,,"""Dirty RNA Pilot"""
10/2/2023,D,T02,37.5,0,79.4,,,"""Dirty RNA Pilot"""
10/24/2023,A,T03,0,136,246,,,
10/24/2023,B,T03,30,4.72,87.6,yes,  1/10,
10/24/2023,C,T04,15,25.2,107.6,yes,  1/10,
10/24/2023,D,T07,30,0,0.067,,,
10/25/2023,A,T04,0,26.2,36.4,,,
10/25/2023,B,T04,37.5,0,0,,,
10/25/2023,C,T05,22.5,19.1,137.6,yes,  1/10,
10/25/2023,D,T05,30,0,61.4,yes,  1/10,
10/31/2023,A,T02,15,36.2,204,yes,  1/10,
10/31/2023,B,T06,7.5,23.4,76.4,yes,  1/10,
10/31/2023,C,T02,37.5,10.6,0.806,,,DNA was contaminated with DNA from DO_TO6_37.5; DNA concentration here read after contamination
10/31/2023,D,T06,37.5,23.4,31.8,yes,  1/10,
,,,,,,,,
,,,,,,,,
