Burned (Dead?) ,Tree,Depth,Wet mass of core (cm) <--- Including bag,Soil mass (extraction tube) (ideal= 2.0g),Soil mass in pH tube (g)~5g +- 1,Sol mass saved in whirl-top bag (g) ~40-50g,Notes,"Weighers LB, EW Start at 12pm",,,,,,,,,,,,,,,,
N,T04,~90-100,866.4,2.1,5,45.9,"Actual Deepest composition is about 90-96cm. Don't use mass for bulk density some was lost in wet mass. Burned but alive, core not standard, from auger.",,,,,,,,,,,,,,,,,
N,T04,0-7.5,659.6,2,5,56.2, ,,,,,,,,,,,,,,,,,
N,T04,7.5-15,736.8,2,5,49.5,Lots of potential oak roots,,,,,,,,,,,,,,,,,
N,T04,15-22.5,859.6,1.9,4.5,50.4,ditto,,,,,,,,,,,,,,,,,
N,T04,22.5-30,934.8,1.9,4.9,49.5,Lost about 50% of sample after seiving,,,,,,,,,,,,,,,,,
N,T04,30-37.5,735.9,2.1,4.3,48.9,"Could not hammer fully flush w/ surface. Either subtract 1cm from height (6.5cm) or don't use for bulk density. Also hat to shift, composition bulk density is suspect.",,,,,,,,,,,,,,,,,
N,T04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
N,T04,37.5-45,473.2,2,,49.3,"Could not hammer fully flush. Left 3cm head space all around. (Height = 4.5cm for bulk density). HIT ROOT, Core also ragged on bottom, don't use bulk density. True comp depth is somewhere between 40-45cm depending on what part of the ""hill"" is ""surface"".",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Frozen sameple stired -70C @6pm. Cooler had small layer of maybe 50% dry ice pebbles & 50% water ice at the bottom; samples still cole, prob frozen but not sure. Take more dy ice from scientific storeroom next time.",,,,,,,,,,,,,,,,,
