Sample_ID,empty_tin_mass_g,FM_soil_plus_tin_mass_g,Mass_g_large_whirltop_empty,AD_soil_plus_tin_mass_g,OD_soil_plus_tin_mass_g,Notes
DO-T05-0-7.5,3.03,103.48,14.56,102.75,99.58,
DO-T05-7.5-15,3.06,103.66,14.72,101.68,98.57,
DO-T05-15-22.5,3.03,104.4,14.62,101.87,98.84,
DO-T05-22.5-30,3.04,103.58,14.75,101.61,98.15,
DO-T05-30-37.5,3.03,104.3,14.64,99.33,96.93,
DO-T05-37.5-45,3.02,103.3,14.32,98.74,94.38,
DO-T05-60-70,3,103.45,13.99,97.35,92.85,
DO-T05-90-98,3.02,104.18,14.58,96.15,92.42,
DO-T06-0-7.5,3.03,103.99,14.83,102.98,99.45,
DO-T06-7.5-15,3.03,103.45,14.67,99.43,95.48,
DO-T06-15-22.5,3,103.39,14.92,100.14,96.2,
DO-T06-22.5-30,3.03,103.67,15.12,99.54,95.73,
DO-T06-30-37.5,2.99,104.53,14.18,100.54,95.43,
DO-T06-37.5-45,3.02,104.33,14.92,98.84,94.79,
DO-T06-100-110,3.01,103.5,13.82,96.64,91.65,
DO-T07-0-7.5,3.03,103.14,14.75,101.94,97.49,
DO-T07-7.5-15,3.03,103.36,14.63,99.38,95.46,
DO-T07-15-22.5,3.04,103.61,14.64,98.96,95.04,
DO-T07-22.5-30,3.01,104.12,14.69,99.39,91.42,
DO-T07-30-37.5,3.05,103.5,14.64,99.09,94.62,
DO-T07-37.5-45,3,103.46,14.19,99.52,95.15,
DO-T07-90-100,3.03,103.55,14.7,99.94,92.03,
