Sample_ID,pH,Notes,date_pH
DO-T05-0-7.5,7.06,Ernest walker measurer,300523
DO-T05-7.5-15,6.85,,300523
DO-T05-15-22.5,6.6,,300523
DO-T05-22.5-30,6.63,,300523
DO-T05-30-37.5,6.61,,300523
DO-T05-37.5-45,6.42,,300523
DO-T05-60-70,4.85,,300523
DO-T05-90-98,4.59,,300523
DO-T06-0-7.5,6.95,,300523
DO-T06-7.5-15,5.95,,300523
DO-T06-15-22.5,4.67,,300523
DO-T06-22.5-30,4.66,,300523
DO-T06-30-37.5,4.61,,300523
DO-T06-37.5-45,4.7,,300523
DO-T06-100-110,4.83,,300523
DO-T07-0-7.5,6.94,,300523
DO-T07-7.5-15,6.48,,300523
DO-T07-15-22.5,6.43,,300523
DO-T07-22.5-30,6.28,,300523
DO-T07-30-37.5,6.36,,300523
DO-T07-37.5-45,6.55,,300523
DO-T07-90-100,5.49,,300523
CaCl2 Control,5.95,,300523
