Model,Factor,Estimate,Std. Error,df,t value,Pr(>|t|)
Model 1,(Intercept),4011.1911111111035,458.74169599951523,26.777856828244616,8.74389911815503,2.4976975842493415e-9
Model 1,Depth,-36.670730158729896,14.920672001610289,27.99999991194665,-2.457713040992542,0.020434544638803256
Model 1,Tree mortality,734.5497777777861,648.75872810855,26.77785682222957,1.1322387598843704,0.26757137131675907
Model 1,Depth:Tree mortality,-37.45239365079394,21.10101670439779,27.99999991695829,-1.7749094356665884,0.08678645437037405
Model 2,(Intercept),1175.9544444444414,165.28284734183867,25.979382788663692,7.114800255179096,1.4886876392187182e-7
Model 2,Depth,-7.60361904761894,5.327112537092174,27.99999998770727,-1.4273434237920954,0.16453900715645892
Model 2,Tree mortality,348.0508888888926,233.74524433847026,25.97938278810414,1.4890180541380524,0.1485228668931999
Model 2,Depth:Tree mortality,-17.248965079365206,7.533674798243504,27.99999998481474,-2.2895818496687497,0.029789081420432652
Model 7,(Intercept),14.021555555555633,1.236783887145813,8.74631652832052,11.337110469569478,1.5882767241728167e-6
Model 7,Depth,-0.07959365079365208,0.027300511699614546,28.000000018472623,-2.915463697875518,0.006916459916251643
Model 7,Tree mortality,-1.1144444444445512,1.7490765469261225,8.746316530100675,-0.6371616190286857,0.5403365690921335
Model 7,Depth:Tree mortality,0.0299682539682555,0.038608753905320224,28.00000001625898,0.7762036050618542,0.4441363829051086
Model 8,(Intercept),20.45297740215141,2.311689100255259,21.083479662675146,8.847633273822579,1.5277446518198027e-8
Model 8,Depth,-0.32565178937669886,0.07452397390877957,25.75628046382789,-4.36975878091673,1.8045565856096983e-4
Model 8,Tree mortality,5.129502523076871,3.2834161268370603,21.083349388341595,1.5622456383614587,0.13311641580500377
Model 8,Depth:Tree mortality,-0.12245880973617838,0.10783118468861876,26.319837754959075,-1.1356530125287916,0.2663377246488252
Model 2.1 - living trees only,(Intercept),1524.0053333333328,181.99510279411282,8.133040257710201,8.373880999739908,2.8446143612900047e-5
Model 2.1 - living trees only,Depth,-24.85258412698412,5.140526020818724,14.000001001349894,-4.8346383281269505,2.647758462853413e-4
Model 2.2 - dead trees only,(Intercept),1175.9544444444466,151.79337997297495,15.999999999675532,7.747073321997386,8.39170494144619e-7
Model 2.2 - dead trees only,Depth,-7.6036190476191114,5.19692557225044,15.999999999783364,-1.4630994694670014,0.16280729696028193
Model 3,(Intercept),6.236722034823259,0.25130187541055254,12.090411007674073,24.81765018519782,9.653380652098507e-12
Model 3,Depth,-0.024495080658733407,0.006426355000685229,28.000000007020972,-3.811660055524718,6.946552946188243e-4
Model 3,Tree mortality,0.6960622079354541,0.355394520455397,12.090411010408772,1.9585620145283358,0.07363796736527323
Model 3,Depth:Tree mortality,-0.029689778992623175,0.009088238398593207,28.000000004234142,-3.266835407532766,0.0028736319720485235
Model 3.1 - living trees only,(Intercept),6.932784242758727,0.2266873811610593,5.201785716286274,30.58301793090568,4.4999228677940626e-7
Model 3.1 - living trees only,Depth,-0.0541848596513568,0.005451483109916329,14.000000007382402,-9.939471251922937,1.0070453523609606e-7
Model 3.2 - dead trees only,(Intercept),6.236722034823278,0.2737117033504061,6.719660978359735,22.785733888912368,1.2949832253625342e-7
Model 3.2 - dead trees only,Depth,-0.024495080658733608,0.0072716854349653744,14.000000001512179,-3.3685561453127195,0.004591292681523811
Model 4,(Intercept),-0.7822149767327292,0.21327739750776029,9.439654966716127,-3.6675943436728575,0.0047733619303715795
Model 4,Depth,-0.0178565968304656,0.004900073670188224,28.000000040783306,-3.6441486459895787,0.0010814335619352491
Model 4,Tree mortality,0.286524199521901,0.3016197881031126,9.439654967489979,0.94995159741956,0.3658232899375302
Model 4,Depth:Tree mortality,-0.006358655897342815,0.006929750641007499,28.000000042655152,-0.9175879806864661,0.366671286418665
Model 5,(Intercept),-7.367564953385186,1.0724176279777184,14.431647319065695,-6.8700520778256555,6.5396435438461945e-6
Model 5,Depth,0.14133070609491044,0.04696108121007723,15.800004833938432,3.009528368026219,0.008404227603280386
Model 5,Tree mortality,4.145097787237693,1.489820932447602,14.54883322799043,2.782279196754056,0.014266300317531625
Model 5,Depth:Tree mortality,-0.04729461820031535,0.06209976009505125,15.128171694695192,-0.7615909969366255,0.4580131796769309
Model 6,(Intercept),-0.537058689316441,1.1128846675702055,9.886942321164497,-0.48258252177111693,0.6398983750205544
Model 6,Depth,0.08157891623543068,0.039823575073209834,14.139202887391015,2.048508103189122,0.05954882926454814
Model 6,Tree mortality,4.419158941635994,1.5503468308149635,9.596894809882443,2.8504324669809504,0.017924372214406428
Model 6,Depth:Tree mortality,-0.05128425577368035,0.05213416419684355,13.81997662848035,-0.9836976685776683,0.34217331334144374
Model 9,(Intercept),15.882566328655795,1.7932359764984542,7.308795561600364,8.856930452437577,3.649580268039389e-5
Model 9,Biomass sum of ectomycorrhizal fungi + associated bacteria,0.0013210729103457818,0.008068738413113702,9.597603378004314,0.16372731927939446,0.8733420787408289
Model 10,(Intercept),12.124105555716433,0.7611014613042697,6.505178785561738,15.929683717779005,1.8696011321816491e-6
Model 10,Biomass sum of ectomycorrhizal fungi + associated bacteria,-2.0432156085887392e-4,0.002635420244036984,17.935288851037427,-0.07752902457252528,0.9390610754822784
