Model,Factor,R2,F,Pr(>F)
16S ASVs,Depth,0.16561429068766972,11.49615739040712,0.001
16S ASVs,Tree Mortality,0.03688329530821826,2.560263164365383,0.819
16S ASVs,Nucleic Acid,0.03319793364552153,2.3044428632366927,0.01
16S ASVs,Depth x Tree Mortality,0.03232992857063701,2.244190073968867,0.006
16S ASVs,Depth x Nucleic Acid,0.011550986698051251,0.8018146293047091,0.447
16S ASVs,Tree Mortality x Nucleic Acid,0.0069035433091061355,0.47921118463531803,0.967
16S ASVs,Depth x Tree Mortality x Nucleic Acid,0.007623262706551193,0.5291706865333833,0.921
16S ASVs,Residual,0.705896759074245,NA,NA
16S ASVs,Total,1,NA,NA
ITS ASVs,Depth,0.06990594790016369,4.04552281905466,0.001
ITS ASVs,Tree Mortality,0.0848082098474458,4.9079307052814425,0.011
ITS ASVs,Nucleic Acid,0.024915324656346945,1.441873223511082,0.002
ITS ASVs,Depth x Tree Mortality,0.03549522566949475,2.05414202548993,0.001
ITS ASVs,Depth x Nucleic Acid,0.013288294341646615,0.7690060660105923,0.628
ITS ASVs,Tree Mortality x Nucleic Acid,0.01604672250616562,0.9286388929657728,0.137
ITS ASVs,Depth x Tree Mortality x Nucleic Acid,0.012507570986992872,0.7238248726859363,0.793
ITS ASVs,Residual,0.7430327040917438,NA,NA
ITS ASVs,Total,1,NA,NA
16S Traits,Depth,0.5313387783066483,70.26525178102779,0.001
16S Traits,Tree Mortality,0.01748404856815535,2.3121238745427033,0.96
16S Traits,Nucleic Acid,0.045078526385015714,5.961270164499117,0.012
16S Traits,Depth x Tree Mortality,0.02541688559065021,3.361177347545138,0.041
16S Traits,Depth x Nucleic Acid,-1.9892625291614223e-4,-0.026306386466945084,0.999
16S Traits,Tree Mortality x Nucleic Acid,0.005454722288255853,0.7213428618956981,0.45
16S Traits,Depth x Tree Mortality x Nucleic Acid,0.004892885432612182,0.6470444862953385,0.464
16S Traits,Residual,0.37053307968157884,NA,NA
16S Traits,Total,1,NA,NA
ITS Traits,Depth,0.21535787121022662,22.165492666418807,0.001
ITS Traits,Tree Mortality,0.24462268675582052,25.177544423406818,0.001
ITS Traits,Nucleic Acid,0.04078819279155402,4.198083790098009,0.002
ITS Traits,Depth x Tree Mortality,0.03790352826185023,3.9011825896965093,0.002
ITS Traits,Depth x Nucleic Acid,0.005267570049552956,0.5421593584997739,0.662
ITS Traits,Tree Mortality x Nucleic Acid,0.030796071926453967,3.1696547825455412,0.01
ITS Traits,Depth x Tree Mortality x Nucleic Acid,0.007480066647828874,0.7698783494424771,0.538
ITS Traits,Residual,0.4177840123567129,NA,NA
ITS Traits,Total,1,NA,NA
ITS Traits - DNA only,Depth,0.24423691784124515,14.163679788220671,0.001
ITS Traits - DNA only,Tree Mortality,0.25884082960017796,15.010583408022345,0.037
ITS Traits - DNA only,Depth x Tree Mortality,0.048581146375596594,2.8172964476070192,0.016
ITS Traits - DNA only,Residual,0.4483411061829802,NA,NA
ITS Traits - DNA only,Total,1,NA,NA
ITS Traits - RNA only,Depth,0.18484439094519312,7.284203481020958,0.001
ITS Traits - RNA only,Tree Mortality,0.33085786523184085,13.038188507215892,0.001
ITS Traits - RNA only,Depth x Tree Mortality,0.05290470898316401,2.084827477680007,0.073
ITS Traits - RNA only,Residual,0.43139303483980224,NA,NA
ITS Traits - RNA only,Total,1,NA,NA
