Sample_id,carbon_percent,nitrogen_percent,C_per_N_Ratio
DO_T02_0-7.5,1.33,0.09,14.78
DO_T02_7.5-15,2.53,0.15,16.87
DO_T02_15-22.5,2.03,0.15,13.53
DO_T02_22.5-30,1.74,0.11,15.82
DO_T02_30-37.5,1.32,0.1,13.2
DO_T02_37.5-45,1.07,0.08,13.38
DO_T03_0-7.5,3.7,0.27,13.7
DO_T03_7.5-15,2.44,0.15,16.27
DO_T03_15-22.5,2.29,0.18,12.72
DO_T03_22.5-30,1.74,0.14,12.43
DO_T03_30-37.5,1.06,0.09,11.78
DO_T03_37.5-45,0.88,0.1,8.8
DO_T04_0-7.5,3.76,0.36,10.44
DO_T04_7.5-15,2.34,0.19,12.32
DO_T04_15-22.5,1.27,0.12,10.58
DO_T04_22.5-30,0.74,0.08,9.25
DO_T04_30-37.5,0.62,0.06,10.33
DO_T04_37.5-45,0.8,0.06,13.33
DO_T05_0-7.5,2.28,0.23,9.91
DO_T05_7.5-15,1.41,0.12,11.75
DO_T05_15-22.5,1.04,0.08,13
DO_T05_22.5-30,0.81,0.07,11.57
DO_T05_30-37.5,0.58,0.06,9.67
DO_T05_37.5-45,0.39,0.05,7.8
DO_T06_0-7.5,2.3,0.22,10.45
DO_T06_7.5-15,2.29,0.18,12.72
DO_T06_15-22.5,1.36,0.11,12.36
DO_T06_22.5-30,1.24,0.12,10.33
DO_T06_30-37.5,0.94,0.09,10.44
DO_T06_37.5-45,0.85,0.08,10.63
DO_T07_0-7.5,4.41,0.34,12.97
DO_T07_7.5-15,1.71,0.15,11.4
DO_T07_15-22.5,1.44,0.13,11.08
DO_T07_22.5-30,0.79,0.08,9.88
DO_T07_30-37.5,0.58,0.06,9.67
DO_T07_37.5-45,0.51,0.06,8.5
