Sample_id,Total_Exchange_Capacity_meq_per_100_g,pH,organic_matter_percent,Estimated_Nitrogen_Release_number_N_per_acre,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3-N_ppm,NH4-N_ppm,Bray_I_P_ppm
DO_T02_0-7.5,18.28,7,3.77,88,7,42,2410,549,285,28,65.92,25.03,4,0.67,4.4,0,0.67,216,157,3.2,3.3,760,6.8,2.4,21
DO_T02_7.5-15,17.71,6.8,5.1,100,5,33,2685,306,129,14,75.8,14.4,1.87,0.34,4.6,3,0.49,116,122,2.9,4.17,426,0,1.5,17
DO_T02_15-22.5,17.54,6.6,4.73,97,5,13,2407,381,148,12,68.61,18.1,2.16,0.3,4.8,6,0.37,81,56,2.24,1.94,437,1.8,2.4,7
DO_T02_22.5-30,13.78,6.3,3.91,89,5,11,1642,355,159,12,59.58,21.47,2.96,0.38,5.1,10.5,0.27,82,34,2.64,1.61,462,0.8,2,3
DO_T02_30-37.5,19.36,5.9,3.26,83,6,10,2033,480,209,20,52.51,20.66,2.77,0.45,5.6,18,0.29,126,80,3.99,1.6,811,0.8,3.8,2
DO_T02_37.5-45,17.99,5.9,2.93,79,6,7,1933,418,198,21,53.72,19.36,2.82,0.51,5.6,18,0.22,103,123,4.4,1.22,760,0,2.5,1
DO_T03_0-7.5,18.23,7.2,7.04,110,7,28,2718,366,304,11,74.55,16.73,4.28,0.26,4.2,0,0.61,73,107,2.59,3.52,401,0,2,14
DO_T03_7.5-15,19.54,6.9,4.39,94,6,12,2807,411,330,14,71.83,17.53,4.33,0.31,4.5,1.5,0.5,66,52,3.23,1.93,475,0,1.4,3
DO_T03_15-22.5,16.18,6.7,4.53,95,7,13,2189,363,257,14,67.65,18.7,4.07,0.38,4.7,4.5,0.32,69,59,3.29,2.87,419,0,2.6,2
DO_T03_22.5-30,21.43,6.7,3.61,86,5,12,2858,503,349,18,66.68,19.56,4.18,0.37,4.7,4.5,0.43,86,77,4.84,2.7,582,0,0,3
DO_T03_30-37.5,25.95,6.6,2.71,74,6,8,3302,666,377,27,63.62,21.39,3.73,0.45,4.8,6,0.35,88,56,4.32,1.31,744,0,1.9,2
DO_T03_37.5-45,18.7,6.6,2.7,74,4,6,2340,508,259,19,62.57,22.64,3.55,0.44,4.8,6,0.23,64,45,3.5,0.87,596,0,0.8,3
DO_T04_0-7.5,19.65,7.6,5.91,105,11,70,3232,228,310,12,82.24,9.67,4.05,0.27,3.8,0,0.62,104,176,2.53,6.39,350,0,3.8,41
DO_T04_7.5-15,19.09,7.4,4.73,97,7,23,2813,394,353,17,73.68,17.2,4.74,0.39,4,0,0.62,88,76,2.98,2.94,469,0,1.8,9
DO_T04_15-22.5,20.96,7.1,3.26,83,6,12,2702,671,339,20,64.46,26.68,4.15,0.41,4.3,0,0.4,83,42,3.93,1.68,568,0,1.5,5
DO_T04_22.5-30,23.21,6.4,2.78,76,5,7,2298,929,236,28,49.5,33.35,2.61,0.52,5,9,0.23,97,37,4.06,0.87,688,0,1.4,3
DO_T04_30-37.5,36.07,5.3,2.52,70,6,4,2096,1150,142,47,29.05,26.57,1.01,0.57,6.8,36,0.25,125,33,5.49,1.07,1062,0,1.7,2
DO_T04_37.5-45,30.68,5.1,2.59,72,5,3,1551,892,93,36,25.28,24.23,0.78,0.51,7.2,42,0,87,10,2.43,0.72,852,0,0,2
DO_T05_0-7.5,21.59,7.4,4.31,93,16,50,3559,244,319,19,82.42,9.42,3.79,0.38,4,0,0.64,102,192,2.81,4.98,426,0.9,3.2,25
DO_T05_7.5-15,13.91,7.6,3.22,82,9,15,2110,269,200,18,75.84,16.12,3.69,0.56,3.8,0,0.48,63,86,2.31,1.78,397,0,0.9,6
DO_T05_15-22.5,19.99,7.3,2.74,75,8,9,2875,470,312,19,71.91,19.59,4,0.41,4.1,0,0.46,71,81,4.83,1.47,597,0,1.4,3
DO_T05_22.5-30,22.65,7.3,2.92,78,4,8,3162,616,277,16,69.8,22.66,3.14,0.31,4.1,0,0.51,73,56,3.98,0.93,608,0,0,4
DO_T05_30-37.5,24.18,7.4,2.72,74,4,5,2942,951,193,19,60.84,32.78,2.05,0.34,4,0,0.39,68,38,4.28,0.75,655,0,0,3
DO_T05_37.5-45,25.57,7.2,2.6,72,3,5,3018,1079,109,31,59.01,35.16,1.09,0.53,4.2,0,0.28,67,14,2.66,0.53,632,0,0.7,2
DO_T06_0-7.5,19.17,7.4,4.27,93,10,66,3027,303,250,24,78.95,13.17,3.34,0.54,4,0,0.71,206,133,2.95,5.21,774,0,2.1,36
DO_T06_7.5-15,25,6.7,4.94,99,8,19,3502,546,217,20,70.04,18.2,2.23,0.35,4.7,4.5,0.44,149,108,3.32,2.28,639,0,2.6,8
DO_T06_15-22.5,33.94,5.4,3.52,85,7,11,2842,663,255,25,41.87,16.28,1.93,0.32,6.6,33,0.25,182,62,3.66,1.49,906,0,4,3
DO_T06_22.5-30,26.59,5.6,3.73,87,7,11,2443,592,201,22,45.94,18.55,1.94,0.36,6.2,27,0,108,43,3.45,1.36,751,0,3.2,3
DO_T06_30-37.5,27.27,5.4,2.45,69,7,11,2241,571,160,22,41.09,17.45,1.5,0.35,6.6,33,0,94,30,3.16,1.16,674,0,4.3,3
DO_T06_37.5-45,39.81,5.5,2.74,75,6,8,3354,934,238,36,42.13,19.55,1.53,0.39,6.4,30,0.27,144,50,4.9,1.03,968,0,3.8,3
DO_T07_0-7.5,25.84,7.4,7.36,112,17,64,4192,327,411,16,81.11,10.55,4.08,0.27,4,0,1.09,138,124,2.74,4,442,3.5,4,43
DO_T07_7.5-15,23.84,7.3,4.3,93,7,23,3597,404,562,15,75.44,14.12,6.04,0.27,4.1,0,0.68,84,49,3.22,1.57,558,0,2.1,9
DO_T07_15-22.5,21.1,7.3,3.55,86,7,15,3102,402,515,13,73.51,15.88,6.26,0.27,4.1,0,0.65,71,47,3.7,1.21,556,0.6,3.1,6
DO_T07_22.5-30,25.71,7.2,2.71,74,5,7,3745,500,649,17,72.83,16.21,6.47,0.29,4.2,0,0.62,69,47,4.79,0.94,690,0,2,3
DO_T07_30-37.5,24.92,7.2,2.62,72,6,4,3732,452,534,17,74.88,15.12,5.49,0.3,4.2,0,0.45,71,55,3.47,0.69,658,0,0.6,2
DO_T07_37.5-45,29.93,7.3,2.8,76,5,4,4687,491,431,17,78.3,13.67,3.69,0.25,4.1,0,0.57,85,65,2.94,0.77,677,0,0.9,1
