DO_ID,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g
DO_T02_0-7.5,5202.31,1481.23,28.47,541.06,10.4,183.73,3.53,940.17,18.07,963.6,158.07,15.48,805.53,2.34,121.86,50.66,2635.63,0.65,0.08,0.58,1.13,2.23
DO_T02_7.5-15,2927.52,960.48,32.81,302.94,10.35,123.55,4.22,657.54,22.46,233.04,54.77,6.09,178.26,1.1,32.09,58.14,1701.92,0.24,0.03,0.46,1.82,10.71
DO_T02_15-22.5,2797.66,1037.18,37.07,372.69,13.32,159.53,5.7,664.49,23.75,232.46,42.54,6.79,189.92,1.66,46.41,52.51,1469.15,0.22,0.04,0.56,1.76,9.12
DO_T02_22.5-30,2398.18,1014.46,42.3,356.65,14.87,168.26,7.02,657.81,27.43,216.74,45.29,7.15,171.46,1.36,32.64,47.3,1134.33,0.21,0.03,0.54,1.92,13.5
DO_T02_30-37.5,2386.02,683.05,28.63,277.49,11.63,142.06,5.95,405.56,17,161.89,27.03,5.65,134.86,0.47,11.29,64.11,1529.79,0.24,0.02,0.68,2.18,6.77
DO_T02_37.5-45,2273.05,634.89,27.93,308.25,13.56,188.39,8.29,326.64,14.37,148.44,26.18,5.38,122.26,0.44,10.05,65.1,1479.67,0.23,0.02,0.94,2.92,3.43
DO_T03_0-7.5,6135.09,2040.66,33.26,741.01,12.08,300.01,4.89,1299.65,21.18,1177.17,173.78,16.36,1003.39,1.67,102.21,45.88,2815.04,0.58,0.05,0.57,1.03,4.08
DO_T03_7.5-15,3408.07,1270.03,37.27,536.08,15.73,252.57,7.41,733.95,21.54,336.15,68.09,7.87,268.06,1.16,39.59,51.71,1762.3,0.26,0.03,0.73,1.97,10.21
DO_T03_15-22.5,3397.46,1270.86,37.41,450.36,13.26,208.86,6.15,820.5,24.15,386.92,56.94,9.71,329.98,0.99,33.69,50.21,1705.98,0.3,0.03,0.55,1.65,4.05
DO_T03_22.5-30,2187.26,813.67,37.2,335.14,15.32,183.15,8.37,478.52,21.88,219.42,40.49,8.18,178.92,1.3,28.5,50.96,1114.67,0.27,0.04,0.7,2.44,4.13
