Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification
D33-D,PCR_F_bc006,PCR_R_bc005,DNA,PCR_16S
D34-D,PCR_F_bc007,PCR_R_bc005,DNA,PCR_16S
D35-D,PCR_F_bc008,PCR_R_bc005,DNA,PCR_16S
D36-D,PCR_F_bc009,PCR_R_bc005,DNA,PCR_16S
D37-D,PCR_F_bc010,PCR_R_bc005,DNA,PCR_16S
D38-D,PCR_F_bc011,PCR_R_bc005,DNA,PCR_16S
D39-D,PCR_F_bc012,PCR_R_bc005,DNA,PCR_16S
D40-D,PCR_F_bc013,PCR_R_bc005,DNA,PCR_16S
D41-D,PCR_F_bc014,PCR_R_bc005,DNA,PCR_16S
D42-D,PCR_F_bc015,PCR_R_bc005,DNA,PCR_16S
D43-D,PCR_F_bc016,PCR_R_bc005,DNA,PCR_16S
D44-D,PCR_F_bc017,PCR_R_bc005,DNA,PCR_16S
D45-D,PCR_F_bc018,PCR_R_bc005,DNA,PCR_16S
D46-D,PCR_F_bc019,PCR_R_bc005,DNA,PCR_16S
D47-D,PCR_F_bc020,PCR_R_bc005,DNA,PCR_16S
D48-D,PCR_F_bc021,PCR_R_bc005,DNA,PCR_16S
D49-D,PCR_F_bc022,PCR_R_bc005,DNA,PCR_16S
D50-D,PCR_F_bc001,PCR_R_bc006,DNA,PCR_16S
D51-D,PCR_F_bc002,PCR_R_bc006,DNA,PCR_16S
D52-D,PCR_F_bc003,PCR_R_bc006,DNA,PCR_16S
D53-D,PCR_F_bc004,PCR_R_bc006,DNA,PCR_16S
D54-D,PCR_F_bc005,PCR_R_bc006,DNA,PCR_16S
D55-D,PCR_F_bc006,PCR_R_bc006,DNA,PCR_16S
D56-D,PCR_F_bc007,PCR_R_bc006,DNA,PCR_16S
D57-D,PCR_F_bc008,PCR_R_bc006,DNA,PCR_16S
D58-D,PCR_F_bc009,PCR_R_bc006,DNA,PCR_16S
D59-D,PCR_F_bc010,PCR_R_bc006,DNA,PCR_16S
D60-D,PCR_F_bc011,PCR_R_bc006,DNA,PCR_16S
D61-D,PCR_F_bc012,PCR_R_bc006,DNA,PCR_16S
D62-D,PCR_F_bc013,PCR_R_bc006,DNA,PCR_16S
D63-D,PCR_F_bc014,PCR_R_bc006,DNA,PCR_16S
MMC,PCR_F_bc015,PCR_R_bc006,DNA,PCR_16S
Negative,PCR_F_bc016,PCR_R_bc006,DNA,PCR_16S
D33-D,PCR_F_bc009,PCR_R_bc002,DNA,PCR_ITS
D34-D,PCR_F_bc010,PCR_R_bc002,DNA,PCR_ITS
D35-D,PCR_F_bc011,PCR_R_bc002,DNA,PCR_ITS
D36-D,PCR_F_bc012,PCR_R_bc002,DNA,PCR_ITS
D37-D,PCR_F_bc013,PCR_R_bc002,DNA,PCR_ITS
D38-D,PCR_F_bc014,PCR_R_bc002,DNA,PCR_ITS
D39-D,PCR_F_bc015,PCR_R_bc002,DNA,PCR_ITS
D40-D,PCR_F_bc016,PCR_R_bc002,DNA,PCR_ITS
D41-D,PCR_F_bc017,PCR_R_bc002,DNA,PCR_ITS
D42-D,PCR_F_bc018,PCR_R_bc002,DNA,PCR_ITS
D43-D,PCR_F_bc019,PCR_R_bc002,DNA,PCR_ITS
D44-D,PCR_F_bc020,PCR_R_bc002,DNA,PCR_ITS
D45-D,PCR_F_bc021,PCR_R_bc002,DNA,PCR_ITS
D46-D,PCR_F_bc022,PCR_R_bc002,DNA,PCR_ITS
D47-D,PCR_F_bc001,PCR_R_bc003,DNA,PCR_ITS
D48-D,PCR_F_bc002,PCR_R_bc003,DNA,PCR_ITS
D49-D,PCR_F_bc003,PCR_R_bc003,DNA,PCR_ITS
D50-D,PCR_F_bc004,PCR_R_bc003,DNA,PCR_ITS
D51-D,PCR_F_bc005,PCR_R_bc003,DNA,PCR_ITS
D52-D,PCR_F_bc006,PCR_R_bc003,DNA,PCR_ITS
D53-D,PCR_F_bc007,PCR_R_bc003,DNA,PCR_ITS
D54-D,PCR_F_bc008,PCR_R_bc003,DNA,PCR_ITS
D55-D,PCR_F_bc009,PCR_R_bc003,DNA,PCR_ITS
D56-D,PCR_F_bc010,PCR_R_bc003,DNA,PCR_ITS
D57-D,PCR_F_bc011,PCR_R_bc003,DNA,PCR_ITS
D58-D,PCR_F_bc012,PCR_R_bc003,DNA,PCR_ITS
D59-D,PCR_F_bc013,PCR_R_bc003,DNA,PCR_ITS
D60-D,PCR_F_bc014,PCR_R_bc003,DNA,PCR_ITS
D61-D,PCR_F_bc015,PCR_R_bc003,DNA,PCR_ITS
D62-D,PCR_F_bc016,PCR_R_bc003,DNA,PCR_ITS
D63-D,PCR_F_bc017,PCR_R_bc003,DNA,PCR_ITS
MMC,PCR_F_bc018,PCR_R_bc003,DNA,PCR_ITS
Negative,PCR_F_bc019,PCR_R_bc003,DNA,PCR_ITS
D01-R,PCR_F_bc020,PCR_R_bc003,RNA,PCR_16S
D02-R,PCR_F_bc021,PCR_R_bc003,RNA,PCR_16S
D03-R,PCR_F_bc022,PCR_R_bc003,RNA,PCR_16S
D04-R,PCR_F_bc001,PCR_R_bc004,RNA,PCR_16S
D05-R,PCR_F_bc002,PCR_R_bc004,RNA,PCR_16S
D06-R,PCR_F_bc003,PCR_R_bc004,RNA,PCR_16S
D07-R,PCR_F_bc004,PCR_R_bc004,RNA,PCR_16S
D08-R,PCR_F_bc005,PCR_R_bc004,RNA,PCR_16S
D09-R,PCR_F_bc006,PCR_R_bc004,RNA,PCR_16S
D10-R,PCR_F_bc007,PCR_R_bc004,RNA,PCR_16S
