DO_ID,extraction_date,date_collected,starting_depth_cm,soil_mass_g_extraction,batch_letter,notes_extraction,DNA_ng_per_uL,twenty_uL_DNA_dilution_2_ng_per_uL,Extraction_ID,DNA_PCR_water,RNA_ng_per_uL,twenty_uL_RNA_dilution_2_ng_per_uL,RNA_PCR_water,cDNA_conc_ng_per_uL,uL_cDNA_input,cDNA_final_input_ng_per_uL
DO_T05_0-7.5,8/22/23,260523,0,2.1,B,NA,35,1.142857143,D33-D,150uL,NA,NA,NA,NA,NA,NA
DO_T07_15-22.5,8/22/23,290523,15,2.1,C,NA,18.9,2.116402116,D34-D,NA,NA,NA,NA,NA,NA,NA
DO_T07_0-7.5,8/30/23,290523,0,2,A,NA,31.13,1.284934147,D35-D,100uL,NA,NA,NA,NA,NA,NA
DO_T02_22.5-30,8/30/23,80523,22.5,2,D,NA,41.429,0.965507253,D36-D,300uL,NA,NA,NA,NA,NA,NA
DO_T03_37.5-45,8/30/23,200523,37.5,1.9,B,NA,44.4,0.900900901,D37-D,NA,NA,NA,NA,NA,NA,NA
DO_T02_0-7.5,9/8/23,80523,0,1.9,D,NA,36,1.111111111,D38-D,100uL,NA,NA,NA,NA,NA,NA
DO_T04_7.5-15,9/12/23,220523,7.5,2,C,NA,45.33,0.882417825,D39-D,250uL,NA,NA,NA,NA,NA,NA
DO_T06_22.5-30,9/12/23,280523,22.5,2,D,NA,48.4,0.826446281,D40-D,NA,NA,NA,NA,NA,NA,NA
DO_T02_30-37.5,9/12/23,80523,30,2.2,A,NA,8.14,4.914004914,D41-D,NA,NA,NA,NA,NA,NA,NA
DO_T06_0-7.5,9/19/2023,280523,0,2.1,A,NA,36.95,1.082543978,D42-D,150uL,NA,NA,NA,NA,NA,NA
DO_T03_22.5-30,9/19/2023,200523,22.5,2.1,C,NA,37.333,1.071438138,D43-D,250uL,NA,NA,NA,NA,NA,NA
DO_T05_7.5-15,9/25/2023,260523,7.5,2.1,A,DNA,11.24,3.558718861,D45-D,NA,NA,NA,NA,NA,NA,NA
DO_T04_22.5-30,9/25/2023,220523,22.5,1.9,B,NA,35,1.142857143,D46-D,100uL,NA,NA,NA,NA,NA,NA
DO_T06_30-37.5,9/25/2023,280523,30,1.9,C,NA,32.4,1.234567901,D47-D,100uL,NA,NA,NA,NA,NA,NA
DO_T07_7.5-15,9/27/2023,290523,7.5,2.1,A,NA,33.333,1.200012,D48-D,250uL,NA,NA,NA,NA,NA,NA
DO_T03_15-22.5,9/27/2023,200523,15,2,D,NA,38.5,1.038961039,D49-D,350uL,NA,NA,NA,NA,NA,NA
DO_T06_15-22.5,9/27/2023,280523,15,1.9,C,NA,41.3,0.968523002,D50-D,50uL,NA,NA,NA,NA,NA,NA
DO_T02_7.5-15,9/29/2023,80523,7.5,1.9,B,NA,39,1.025641026,D51-D,50uL,NA,NA,NA,NA,NA,NA
DO_T03_7.5-15,9/29/2023,200523,7.5,1.9,C,NA,42,0.952380952,D52-D,250uL,NA,NA,NA,NA,NA,NA
DO_T05_15-22.5,9/29/2023,260523,15,2,A,NA,45.6,0.877192982,D53-D,NA,NA,NA,NA,NA,NA,NA
DO_T03_0-7.5,10/24/23,200523,0,1.99,A,NA,41,0.975609756,D54-D,250uL,NA,NA,NA,NA,NA,NA
DO_T04_15-22.5,10/24/23,220523,15,2.03,C,NA,35.8667,1.115240599,D55-D,100uL,NA,NA,NA,NA,NA,NA
DO_T03_30-37.5,10/24/23,200523,30,2.11,D,NA,43.8,0.913242009,D56-D,50uL,NA,NA,NA,NA,NA,NA
DO_T04_0-7.5,10/25/23,220523,0,1.99,A,NA,36.4,1.098901099,D57-D,NA,NA,NA,NA,NA,NA,NA
DO_T05_22.5-30,10/25/23,260523,22.5,2.11,C,NA,34.4,1.162790698,D58-D,150uL,NA,NA,NA,NA,NA,NA
DO_T06_7.5-15,10/31/23,280523,7.5,2.06,B,NA,38.2,1.047120419,D60-D,50uL,NA,NA,NA,NA,NA,NA
DO_T02_15-22.5,10/31/23,80523,15,2.09,A,NA,34,1.176470588,D61-D,250uL,NA,NA,NA,NA,NA,NA
DO_T02_37.5-45,10/31/23,80523,37.5,2.1,C,"RNA good/not DNA , DNA Mixed with another sample",0.806,49.62779156,NA,NA,NA,NA,NA,NA,NA,NA
DO_T06_37.5-45,10/31/23,280523,37.5,2.12,D,NA,31.8,1.257861635,D62-D,NA,NA,NA,NA,NA,NA,NA
DO_NA_NA,9/29/23,PCR WATER,NA,NA,D,NA,NA,NA,D63-D,NA,NA,NA,NA,NA,NA,NA
DO_T04_30-37.5,9/19/2023,220523,30,1.9,D,"Don't Dilute, just use. DNA last of batcj",6.24,6.41025641,D44-D,NA,NA,NA,NA,NA,NA,NA
DO_T05_30-37.5,10/25/23,260523,30,2.09,D,NA,30.7,1.302931596,D59-D,50uL,NA,NA,NA,NA,NA,NA
DO_T05_0-7.5,8/22/23,260523,0,2.1,B,NA,NA,NA,D01-R,NA,34.6,1.156069364,50uL,3.7,1,3.7
DO_T07_15-22.5,8/22/23,290523,15,2.1,C,NA,NA,NA,D02-R,NA,9.12,4.385964912,NA,0.494,3,1.482
DO_T07_0-7.5,8/30/23,290523,0,2,A,NA,NA,NA,D03-R,NA,32.7,1.22324159,50uL,2.2,1,2.2
DO_T02_22.5-30,8/30/23,80523,22.5,2,D,NA,NA,NA,D04-R,NA,26.3,1.520912548,50uL,2.12,1,2.12
DO_T03_37.5-45,8/30/23,200523,37.5,1.9,B,NA,NA,NA,D05-R,NA,2.32,17.24137931,NA,1.668,1,1.668
DO_T02_0-7.5,9/8/23,80523,0,1.9,D,NA,NA,NA,D06-R,NA,38,1.052631579,100uL,1.672,1,1.672
DO_T04_7.5-15,9/12/23,220523,7.5,2,C,NA,NA,NA,D07-R,NA,38.55,1.037613489,25uL,1.512,1,1.512
DO_T06_22.5-30,9/12/23,280523,22.5,2,D,NA,NA,NA,D08-R,NA,5.78,6.920415225,NA,0.296,5,1.48
DO_T02_30-37.5,9/12/23,80523,30,2.2,A,NA,NA,NA,D09-R,NA,15.2,2.631578947,NA,1.034,1,1.034
DO_T06_0-7.5,9/19/2023,280523,0,2.1,A,NA,NA,NA,D10-R,NA,32.2666,1.239671983,50uL,2.24,1,2.24
DO_T03_22.5-30,9/19/2023,200523,22.5,2.1,C,NA,NA,NA,D11-R,NA,28.2,1.418439716,NA,0.966,1,0.966
DO_T05_7.5-15,9/25/2023,260523,7.5,2.1,A,DNA,NA,NA,D12-R,NA,4.2,9.523809524,NA,0.146,7,1.022
DO_T04_22.5-30,9/25/2023,220523,22.5,1.9,B,NA,NA,NA,D13-R,NA,11.8,3.389830508,NA,0.77,2,1.54
DO_T06_30-37.5,9/25/2023,280523,30,1.9,C,NA,NA,NA,D14-R,NA,13.8,2.898550725,NA,0.6,3,1.8
DO_T07_7.5-15,9/27/2023,290523,7.5,2.1,A,NA,NA,NA,D15-R,NA,37.05,1.079622132,25uL,0.586,3,1.758
DO_T03_15-22.5,9/27/2023,200523,15,2,D,NA,NA,NA,D16-R,NA,34.5,1.15942029,50uL,0.594,3,1.782
DO_T06_15-22.5,9/27/2023,280523,15,1.9,C,NA,NA,NA,D17-R,NA,35.8,1.117318436,NA,0.518,3,1.554
DO_T02_7.5-15,9/29/2023,80523,7.5,1.9,B,NA,NA,NA,D18-R,NA,36.3,1.101928375,25uL,0.396,3,1.188
DO_T03_7.5-15,9/29/2023,200523,7.5,1.9,C,NA,NA,NA,D19-R,NA,28.1,1.423487544,50uL,0.726,2,1.452
DO_T05_15-22.5,9/29/2023,260523,15,2,A,NA,NA,NA,D20-R,NA,7.58,5.277044855,NA,0.27,5,1.35
DO_T03_0-7.5,10/24/23,200523,0,1.99,A,NA,NA,NA,D21-R,NA,40.8,0.980392157,100uL,0.79,2,1.58
DO_T04_15-22.5,10/24/23,220523,15,2.03,C,NA,NA,NA,D22-R,NA,25.2,1.587301587,NA,0.356,3,1.068
DO_T03_30-37.5,10/24/23,200523,30,2.11,D,NA,NA,NA,D23-R,NA,4.72,8.474576271,NA,0.0876,7,0.6132
DO_T04_0-7.5,10/25/23,220523,0,1.99,A,NA,NA,NA,D24-R,NA,26.2,1.526717557,NA,0.43,3,1.29
DO_T05_22.5-30,10/25/23,260523,22.5,2.11,C,NA,NA,NA,D25-R,NA,19.1,2.094240838,NA,0.368,3,1.104
DO_T06_7.5-15,10/31/23,280523,7.5,2.06,B,NA,NA,NA,D26-R,NA,23.4,1.709401709,NA,1.1,1,1.1
DO_T02_15-22.5,10/31/23,80523,15,2.09,A,NA,NA,NA,D27-R,NA,36.2,1.104972376,NA,0.608,3,1.824
DO_T02_37.5-45,10/31/23,80523,37.5,2.1,C,"RNA good/not DNA , DNA Mixed with another sample",NA,NA,D28-R,NA,10.6,3.773584906,NA,0.36,3,1.08
DO_T06_37.5-45,10/31/23,280523,37.5,2.12,D,NA,NA,NA,D29-R,NA,6.86,5.83090379,NA,0.183,5,0.915
DO_NA_NA,9/29/23,PCR WATER,NA,NA,D,NA,NA,NA,D30-R,NA,NA,NA,NA,0,1,0
DO_T04_30-37.5,9/19/2023,220523,30,1.9,D,"Don't Dilute, just use. DNA last of batcj",NA,NA,D31-R,NA,0.608,65.78947368,NA,0.162,7,1.134
DO_T05_30-37.5,10/25/23,260523,30,2.09,D,NA,NA,NA,NA,NA,0,#DIV/0!,NA,0.692,2,1.384
