Sample_ID,Tree,sample_depth_cm,core_top_depth_cm,core_bottom_depth_cm,Wet_mass_of_core_g_plus_bag_15g,Soil_for_nucleic_acid_g,Soil_for_pH_g,Soil_for_archive_g,Sample_Notes
T02_7.5-15,T02,7.5-15,7.5,15,701.3,1.9,5,41.7,NA
T02_22.5-30,T02,22.5-30,22.5,30,894.6,2,5.3,48.6,NA
T02_0-7.5,T02,0-7.5,0,7.5,873,1.9,5.3,54,cores taken 50 cm (40-50) from trunk on N side of dead tree
T02_15-22.5,T02,15-22.5,15,22.5,863.3,2,4.7,54,NA
T02_30-37.5,T02,30-37.5,30,37.5,1018.1,2.2,5.2,51.8,NA
T02_37.5-45,T02,37.5-45,37.5,45,1033.8,2,4.5,40.3,hit a root ~4 cm down Shifted core 2cm farher from tree; bulk density might be slight underestimate
T03_0-7.5,T03,0-7.5,0,7.5,641.9,2,5.6,49,"no oak roots in top core, ash layer @ top, Augered to 8.5cm with huge root, no roots"
T03_7.5-15,T03,7.5-15,7.5,15,747.7,1.9,4.2,43.9,yes root
T03_15-22.5,T03,15-22.5,15,22.5,644.7,2,4.5,44.6,yes roots
T03_22.5-30,T03,22.5-30,22.5,30,774.7,2.1,5,43.2,yes roots
T03_30-37.5,T03,30-37.5,30,37.5,860.3,2.2,5.1,49.3,"yes roots, hole in large bag, soil got wet w/ ice water"
T03_37.5-45,T03,37.5-45,37.5,45,852.9,1.9,4.8,44.5,"just a couple roots, large bag has a hole but doesn't seem to have gotten wet"
T04_90-100,T04,90-100,90,100,866.4,2.1,5,45.9,"Actual Deepest composition is about 90-96cm. Don't use mass for bulk density some was lost in wet mass. Burned but alive, core not standard, from auger."
T04_0-7.5,T04,0-7.5,0,7.5,659.6,2,5,56.2,NA
T04_7.5-15,T04,7.5-15,7.5,15,736.8,2,5,49.5,Lots of potential oak roots
T04_15-22.5,T04,15-22.5,15,22.5,859.6,1.9,4.5,50.4,ditto
T04_22.5-30,T04,22.5-30,22.5,30,934.8,1.9,4.9,49.5,Lost about 50% of sample after seiving
T04_30-37.5,T04,30-37.5,30,37.5,735.9,2.1,4.3,48.9,"Could not hammer fully flush w/ surface. Either subtract 1cm from height (6.5cm) or don't use for bulk density. Also hat to shift, composition bulk density is suspect."
T04_37.5-45,T04,37.5-45,37.5,45,473.2,2,NA,49.3,"Could not hammer fully flush. Left 3cm head space all around. (Height = 4.5cm for bulk density). HIT ROOT, Core also ragged on bottom, don't use bulk density. True comp depth is somewhere between 40-45cm depending on what part of the ""hill"" is ""surface""."
T05_0-7.5,T05,0-7.5,0,7.5,642.4,2.1,4.5,46.8,thick sod
T05_7.5-15,T05,7.5-15,7.5,15,763.7,2.1,5.2,46.5,losts of grass roots
T05_15-22.5,T05,15-22.5,15,22.5,835.8,2,4.2,44.3,"Bag mislabled 7.5-15, one huge root"
T05_22.5-30,T05,22.5-30,22.5,30,654.3,1.9,5,44.6,"One big oak root, straight rocks, lots of grass root"
T05_30-37.5,T05,30-37.5,30,37.5,625.9,1.9,4.7,42.2,NA
T05_37.5-45,T05,37.5-45,37.5,45,884.5,2,5.1,49.2,dense
T06_100-110,T06,100-110,100,110,944.6,2.1,5.4,46.8,"70+42=112cm total depth, auger diam= 7.0cm for bulk density, no roots"
T06_0-7.5,T06,0-7.5,0,7.5,596.7,2.1,5.1,48.6,NA
T06_7.5-15,T06,7.5-15,7.5,15,804.2,2,4.4,42.2,Lots of roots and ectos
T06_15-22.5,T06,15-22.5,15,22.5,878.4,1.9,4.7,49,"Lots of rooots, some sample spilled"
T06_22.5-30,T06,22.5-30,22.5,30,842.9,2,4.9,48.6,"Scooped off loose material. One side flush, other side 1.5cm from flush"
T06_30-37.5,T06,30-37.5,30,37.5,799.1,1.9,4.2,43.3,"Lots of roots! Almost dropped, some loose material fell out"
T06_37.5-45,T06,37.5-45,37.5,45,767.8,2.1,5.2,48.7,"Roots, easy core"
T07_90-100,T07,90-100,90,100,783.3,1.9,5,40.3,"Starting depth, 90cm ending depth 96cm. Spilled ~ 1/3 of sample after sieving"
T07_0-7.5,T07,0-7.5,0,7.5,581.2,2,4.4,42.1,"Some roots, fire layer"
T07_7.5-15,T07,7.5-15,7.5,15,893.6,2.1,5,47.5,some roots
T07_15-22.5,T07,15-22.5,15,22.5,780.3,2.1,5,48.4,lots of mycorrhizas on roots. Are they alive?
T07_22.5-30,T07,22.5-30,22.5,30,974.8,2.1,5.5,48.7,Very dense
T07_30-37.5,T07,30-37.5,30,37.5,919.1,2,4.9,49.2,NA
T07_37.5-45,T07,37.5-45,37.5,45,497.3,2,4.3,49.2,Hit huge root; could not extract core intact. Don't trust bulk density for this core
