Sample_id,Hue,notes_color,Value_dry,Value_wet,Chroma_dry,Chroma_wet
T04_22.5_30,10YR,NA,6,4,3,3
T03_30_37.5,10YR,NA,5,3,4,4
T03_37.5_45,10YR,NA,5,4,4,4
T02_37.5_45,10YR,NA,5,4,4,4
T03_22.5_30,10YR,NA,5,4,4,3
T04_30_37.5,10YR,NA,6,5,6,6
T06_37.5_45,10YR,NA,7,5,3,3
T05_22.5_30,10YR,NA,6,4,4,4
T04_0_7.5,10YR,NA,4,3,2.5,2
T03_0_7.5,10YR,NA,6,4,3,3
T04_37.5_45,10YR,NA,6,4,6,6
T04_7.5_15,10YR,NA,6,4,3,3
T03_7.5_15,10YR,NA,5,4,4,3
T04_15_22.5,10YR,NA,6,4,3,3
T03_15_22.5,10YR,NA,5,4,4,3
T06_7.5_15,10YR,NA,6,4,3,3
T06_15_22.5,10YR,NA,6,4,3,3
T05_37.5_45,10YR,NA,6,5,6,6
T05_15_22.5,10YR,NA,6,4,4,4
T07_7.5_15,10YR,NA,6,4,3,3
T07_22.5_30,10YR,NA,6,4,4,4
T05_0_7.5,10YR,NA,5,3,4,3
T07_37.5_45,10YR,NA,6,5,4,4
T07_0_7.5,10YR,NA,5,3,3,2
T07_30_37.5,10YR,NA,6,5,4,4
T05_30_37.5,10YR,NA,6,5,6,4
T05_7.5_15,10YR,NA,6,4,4,3
T06_0_7.5,10YR,NA,4,3,3,2
T06_22.5_30,10YR,NA,6,4,4,3
T06_30_37.5,10YR,NA,6,5,4,4
T07_15_22.5,10YR,NA,6,4,3,4
T02_30_37.5,10YR,NA,6,4,4,4
T02_15_22.5,10YR,NA,5,4,4,3
T02_0_7.5,10YR,NA,5,3,3,3
T02_22.5_30,10YR,NA,6,4,4,4
T02_7.5_15,10YR,"Sample ID altered during data tidy. Physical sample was likely mislabeled - originally labled 'T02_37.5_45', but given color, texture, root fragments, probably actually 7.5-15.0 cm",5,3,4,3
