Sample_ID,empty_tin_mass_g,FM_soil_plus_tin_mass_g,AD_soil_plus_tin_mass_g,OD_soil_plus_tin_mass_g,notes_moisture,Mass_g_large_whirltop_empty,weigher
DO_T02_0_7.5,3.06,101.21,81.88,78.85,NA,NA,NA
DO_T02_22.5_30,3.04,104.83,85.72,82.17,NA,NA,NA
DO_T02_7.5_15,3.04,102.25,87.6,84.59,NA,NA,NA
DO_T02_37.5_45,3.02,101.97,86.04,83.5,NA,NA,NA
DO_T02_30_37.5,3.08,104.4,88.91,86.39,NA,NA,NA
DO_T02_15_22.5,3.01,103.76,88.92,86.46,NA,NA,NA
DO_T03_30_37.5,3.05,15.29,14.2,13.89,@90C,NA,NA
DO_T03_37.5_45,3.03,15.4,14.4,13.86,@90C,NA,NA
DO_T03_15_22.5,3,103.39,95.65,92.62,NA,14.56,Weigher EW
DO_T03_0_7.5,3.05,104.36,101.91,98.45,NA,14.64,NA
DO_T03_7.5_15,3.08,103.22,96.93,93.82,NA,14.64,NA
DO_T03_22.5_30,3.07,104.77,95.57,92.56,NA,14.79,NA
DO_T04_0_7.5,3.01,103.43,99.73,96.51,NA,14.49,NA
DO_T04_7.5_15,3.02,103.45,98.63,95.46,NA,14.59,NA
DO_T04_15_22.5,2.99,103.88,98.92,95.83,NA,14.71,NA
DO_T04_22.5_30,3.04,104.82,100.05,97.02,NA,14.75,NA
DO_T04_30_37.5,3.01,103.53,97.35,93.7,NA,14.98,NA
DO_T04_37.5_45,2.99,103.52,96.88,92.67,NA,14.82,NA
DO_T04_90_100,2.99,103.77,96.03,91.89,NA,14.88,NA
DO_T05_0_7.5,3.03,103.48,102.75,99.58,NA,14.56,NA
DO_T05_7.5_15,3.06,103.66,101.68,98.57,NA,14.72,NA
DO_T05_15_22.5,3.03,104.4,101.87,98.84,NA,14.62,NA
DO_T05_22.5_30,3.04,103.58,101.61,98.15,NA,14.75,NA
DO_T05_30_37.5,3.03,104.3,99.33,96.93,NA,14.64,NA
DO_T05_37.5_45,3.02,103.3,98.74,94.38,NA,14.32,NA
DO_T05_60_70,3,103.45,97.35,92.85,NA,13.99,NA
DO_T05_90_98,3.02,104.18,96.15,92.42,NA,14.58,NA
DO_T06_0_7.5,3.03,103.99,102.98,99.45,NA,14.83,NA
DO_T06_7.5_15,3.03,103.45,99.43,95.48,NA,14.67,NA
DO_T06_15_22.5,3,103.39,100.14,96.2,NA,14.92,NA
DO_T06_22.5_30,3.03,103.67,99.54,95.73,NA,15.12,NA
DO_T06_30_37.5,2.99,104.53,100.54,95.43,NA,14.18,NA
DO_T06_37.5_45,3.02,104.33,98.84,94.79,NA,14.92,NA
DO_T06_100_110,3.01,103.5,96.64,91.65,NA,13.82,NA
DO_T07_0_7.5,3.03,103.14,101.94,97.49,NA,14.75,NA
DO_T07_7.5_15,3.03,103.36,99.38,95.46,NA,14.63,NA
DO_T07_15_22.5,3.04,103.61,98.96,95.04,NA,14.64,NA
DO_T07_22.5_30,3.01,104.12,99.39,91.42,NA,14.69,NA
DO_T07_30_37.5,3.05,103.5,99.09,94.62,NA,14.64,NA
DO_T07_37.5_45,3,103.46,99.52,95.15,NA,14.19,NA
DO_T07_90_100,3.03,103.55,99.94,92.03,NA,14.7,NA
