Sample_ID,pH,notes_pH,date_pH
DO_T02_0_7.5,6.76,"6.64,6.88  Neelima pH meter <--- Uncalibrated, took average of 2 measurements",230510
DO_T02_30_37.5,5.2,NA,230510
DO_T02_15_22.5,5.91,NA,230510
DO_T02_22.5_30,5.61,NA,230510
DO_T02_37.5_45,4.98,NA,230510
DO_T02_7.5_15,6.25,NA,230510
Blank CaCl2,5.82,NA,230510
DO_T03_0_7.5,6.77,Measurer was EW,230523
DO_T03_7.5_15,6.81,NA,230523
DO_T03_15_22.5,6.09,NA,230523
DO_T03_22.5_30,6.47,NA,230523
DO_T03_30_37.5,6.01,NA,230523
DO_T03_37.5_45,6.31,NA,230523
DO_T04_0_7.5,7.03,NA,230523
DO_T04_7.5_15,6.4,NA,230523
DO_T04_15_22.5,6.21,NA,230523
DO_T04_22.5_30,5.78,NA,230523
DO_T04_30_37.5,4.32,NA,230523
DO_T04_37.5_45,4.16,NA,230523
DO_T04_90_100,4.39,NA,230523
Control,7.1,NA,230523
DO_T05_0_7.5,7.06,Ernest walker measurer,300523
DO_T05_7.5_15,6.85,NA,300523
DO_T05_15_22.5,6.6,NA,300523
DO_T05_22.5_30,6.63,NA,300523
DO_T05_30_37.5,6.61,NA,300523
DO_T05_37.5_45,6.42,NA,300523
DO_T05_60_70,4.85,NA,300523
DO_T05_90_98,4.59,NA,300523
DO_T06_0_7.5,6.95,NA,300523
DO_T06_7.5_15,5.95,NA,300523
DO_T06_15_22.5,4.67,NA,300523
DO_T06_22.5_30,4.66,NA,300523
DO_T06_30_37.5,4.61,NA,300523
DO_T06_37.5_45,4.7,NA,300523
DO_T06_100_110,4.83,NA,300523
DO_T07_0_7.5,6.94,NA,300523
DO_T07_7.5_15,6.48,NA,300523
DO_T07_15_22.5,6.43,NA,300523
DO_T07_22.5_30,6.28,NA,300523
DO_T07_30_37.5,6.36,NA,300523
DO_T07_37.5_45,6.55,NA,300523
DO_T07_90_100,5.49,NA,300523
CaCl2 Control,5.95,NA,300523
